Player,Team,POS,ATT,YDS,TDS,REC,FL,FPTS
,,,,,,,,
Ja'Marr Chase,CIN,WR1,1.6,"1,586.1",12.2,120.7,0.6,353.0
Bijan Robinson,ATL,RB1,304.1,438.5,2.2,57.7,1.4,322.2
Saquon Barkley,PHI,RB2,327.8,332.5,2.2,43.5,1.4,316.8
Jahmyr Gibbs,DET,RB3,240.0,507.0,2.8,57.7,1.3,316.4
Justin Jefferson,MIN,WR2,0.5,"1,459.6",9.6,105.2,0.6,307.7
CeeDee Lamb,DAL,WR3,9.2,"1,385.7",8.0,110.9,1.0,303.1
Christian McCaffrey,SF,RB4,240.4,558.2,3.5,64.3,1.8,294.4
Puka Nacua,LAR,WR4,10.7,"1,362.7",6.9,104.9,0.6,291.1
Malik Nabers,NYG,WR5,2.6,"1,343.3",8.2,107.0,0.6,290.8
Amon-Ra St. Brown,DET,WR6,1.9,"1,263.3",8.8,110.3,0.9,289.2
De'Von Achane,MIA,RB5,216.9,506.0,3.9,68.7,1.3,286.4
Nico Collins,HOU,WR7,0.0,"1,311.9",8.9,92.1,0.5,275.7
Brian Thomas Jr.,JAC,WR8,3.8,"1,298.2",8.6,91.9,0.6,274.7
Derrick Henry,BAL,RB6,306.0,153.7,0.9,16.4,1.4,272.0
Drake London,ATL,WR9,0.3,"1,232.8",8.2,95.9,0.6,267.5
Josh Jacobs,GB,RB7,290.6,315.9,1.5,37.9,1.5,267.1
Ashton Jeanty,LV,RB8,272.8,361.4,1.9,45.9,2.4,264.3
Tyreek Hill,MIA,WR10,7.2,"1,182.8",7.7,94.2,0.6,262.5
Chase Brown,CIN,RB9,242.9,385.9,2.7,55.0,1.4,259.4
Jonathan Taylor,IND,RB10,310.1,205.1,1.3,28.6,1.6,258.7
A.J. Brown,PHI,WR11,0.0,"1,243.6",8.4,84.9,0.9,257.6
Ladd McConkey,LAC,WR12,0.0,"1,209.4",7.4,90.5,0.7,254.4
Bucky Irving,TB,RB11,244.1,349.8,1.7,45.1,1.4,254.0
Brock Bowers,LV,TE1,0.0,"1,117.0",6.0,105.2,0.5,253.0
Kyren Williams,LAR,RB12,284.2,213.6,1.7,33.7,2.3,251.5
Tee Higgins,CIN,WR13,0.0,"1,099.8",8.9,86.6,0.9,248.3
Mike Evans,TB,WR14,0.0,"1,071.3",9.9,79.7,0.5,245.5
Jaxon Smith-Njigba,SEA,WR15,2.7,"1,102.8",6.6,93.7,0.6,244.5
Davante Adams,LAR,WR16,0.3,"1,100.3",8.3,85.2,0.5,244.3
Trey McBride,ARI,TE2,0.0,"1,053.3",5.8,104.4,0.5,243.9
Alvin Kamara,NO,RB13,222.5,470.0,2.0,62.4,1.3,242.9
Terry McLaurin,WAS,WR17,1.1,"1,103.4",8.0,82.8,0.9,240.0
Garrett Wilson,NYJ,WR18,1.9,"1,082.4",6.0,90.5,1.3,233.2
