Player,Team,ATT,YDS,TDS,REC,FL,FPTS
,,,,,,,
Bijan Robinson,ATL,304.1,438.5,2.2,57.7,1.4,322.2
Saquon Barkley,PHI,327.8,332.5,2.2,43.5,1.4,316.8
Jahmyr Gibbs,DET,240.0,507.0,2.8,57.7,1.3,316.4
Christian McCaffrey,SF,240.4,558.2,3.5,64.3,1.8,294.4
De'Von Achane,MIA,216.9,506.0,3.9,68.7,1.3,286.4
Derrick Henry,BAL,306.0,153.7,0.9,16.4,1.4,272.0
Josh Jacobs,GB,290.6,315.9,1.5,37.9,1.5,267.1
Ashton Jeanty,LV,272.8,361.4,1.9,45.9,2.4,264.3
Chase Brown,CIN,242.9,385.9,2.7,55.0,1.4,259.4
Jonathan Taylor,IND,310.1,205.1,1.3,28.6,1.6,258.7
Bucky Irving,TB,244.1,349.8,1.7,45.1,1.4,254.0
Kyren Williams,LAR,284.2,213.6,1.7,33.7,2.3,251.5
Alvin Kamara,NO,222.5,470.0,2.0,62.4,1.3,242.9
James Cook,BUF,232.1,258.9,1.9,31.4,1.4,232.9
James Conner,ARI,218.1,313.0,1.7,40.7,1.4,226.1
Breece Hall,NYJ,218.3,377.3,1.9,46.2,1.6,224.9
Chuba Hubbard,CAR,246.3,230.7,1.0,37.9,1.8,220.1
Omarion Hampton,LAC,227.0,277.3,1.5,35.8,2.1,220.0
Kenneth Walker III,SEA,232.4,301.2,1.2,42.4,1.3,219.4
D'Andre Swift,CHI,237.0,284.2,1.2,36.6,1.1,203.1
Aaron Jones Sr.,MIN,198.2,328.8,2.3,44.8,1.8,202.7
Tony Pollard,TEN,233.3,257.5,0.9,40.0,1.0,200.0
David Montgomery,DET,199.1,257.8,0.9,31.4,1.0,198.1
TreVeyon Henderson,NE,212.8,264.1,1.7,33.7,1.7,197.1
RJ Harvey,DEN,190.9,269.4,1.7,35.3,1.3,186.0
Tyrone Tracy Jr.,NYG,192.7,268.1,1.1,36.1,1.6,181.2
Isiah Pacheco,KC,203.0,231.1,1.1,33.7,1.0,180.7
Jaylen Warren,PIT,149.6,347.2,1.1,47.5,1.1,175.1
Austin Ekeler,WAS,108.7,386.3,1.8,47.1,1.4,170.3
Kaleb Johnson,PIT,196.7,178.0,1.0,23.2,1.7,163.8
Joe Mixon,HOU,169.2,219.2,1.3,27.4,0.9,155.9
Travis Etienne Jr.,JAC,147.5,284.9,1.2,38.4,0.9,154.8
Javonte Williams,DAL,167.8,220.2,0.9,34.4,0.6,151.4
Zach Charbonnet,SEA,135.9,247.9,0.9,33.7,0.8,150.3
Jacory Croskey-Merritt,WAS,163.8,167.8,1.2,21.1,0.9,147.5
J.K. Dobbins,DEN,147.1,189.3,1.2,29.5,1.2,147.3
Rhamondre Stevenson,NE,154.2,173.9,1.1,27.3,1.5,140.2
Quinshon Judkins,CLE,176.7,163.1,0.9,21.2,1.3,138.9
Jordan Mason,MIN,163.6,123.5,0.7,16.9,0.7,134.8
Rachaad White,TB,105.3,269.7,2.1,35.6,1.3,131.1
Tyjae Spears,TEN,117.2,243.6,1.0,32.2,0.9,126.2
Jerome Ford,CLE,127.6,205.5,1.0,30.0,0.8,126.2
Cam Skattebo,NYG,122.4,184.8,0.9,23.8,1.2,116.8
Tank Bigsby,JAC,160.7,87.0,0.2,12.0,1.2,116.1
Dylan Sampson,CLE,120.4,178.4,0.9,22.9,0.8,111.1
Nick Chubb,HOU,129.9,86.6,0.9,11.4,0.5,109.0
Jaydon Blue,DAL,108.6,161.7,0.8,20.6,0.8,105.5
Trey Benson,ARI,127.6,105.2,0.4,13.7,0.9,104.2
Najee Harris,LAC,118.3,125.4,0.6,17.1,0.8,100.3
Tyler Allgeier,ATL,119.8,92.3,0.3,12.6,0.8,96.9
Ray Davis,BUF,109.2,105.5,1.0,12.4,0.8,95.0
Rico Dowdle,CAR,85.2,151.7,1.1,22.2,0.8,94.4
Braelon Allen,NYJ,115.2,123.6,0.8,16.5,0.4,94.4
