Player,Team,REC,YDS,TDS,ATT,FL,FPTS
,,,,,,,
Ja'Marr Chase,CIN,120.7,12.7,0.0,1.6,0.6,353.0
Justin Jefferson,MIN,105.2,2.2,0.0,0.5,0.6,307.7
CeeDee Lamb,DAL,110.9,59.3,0.3,9.2,1.0,303.1
Puka Nacua,LAR,104.9,61.2,0.6,10.7,0.6,291.1
Malik Nabers,NYG,107.0,12.2,0.0,2.6,0.6,290.8
Amon-Ra St. Brown,DET,110.3,12.6,0.1,1.9,0.9,289.2
Nico Collins,HOU,92.1,1.6,0.0,0.0,0.5,275.7
Brian Thomas Jr.,JAC,91.9,24.9,0.0,3.8,0.6,274.7
Drake London,ATL,95.9,2.0,0.0,0.3,0.6,267.5
Tyreek Hill,MIA,94.2,40.7,0.1,7.2,0.6,262.5
A.J. Brown,PHI,84.9,0.0,0.0,0.0,0.9,257.6
Ladd McConkey,LAC,90.5,1.4,0.0,0.0,0.7,254.4
Tee Higgins,CIN,86.6,0.0,0.0,0.0,0.9,248.3
Mike Evans,TB,79.7,0.0,0.0,0.0,0.5,245.5
Jaxon Smith-Njigba,SEA,93.7,20.7,0.0,2.7,0.6,244.5
Davante Adams,LAR,85.2,0.0,0.0,0.3,0.5,244.3
Terry McLaurin,WAS,82.8,4.8,0.0,1.1,0.9,240.0
Garrett Wilson,NYJ,90.5,13.5,0.0,1.9,1.3,233.2
DK Metcalf,PIT,77.8,1.2,0.0,0.0,1.3,232.6
Marvin Harrison Jr.,ARI,78.9,3.2,0.0,0.0,1.0,231.9
DJ Moore,CHI,87.1,53.8,0.1,9.5,0.9,230.8
Zay Flowers,BAL,75.9,48.4,0.1,8.2,0.5,221.5
Xavier Worthy,KC,72.0,84.4,1.5,15.4,0.5,221.1
Courtland Sutton,DEN,76.4,0.2,0.0,0.0,0.9,220.3
DeVonta Smith,PHI,81.2,1.2,0.0,0.3,0.5,218.8
Jerry Jeudy,CLE,82.0,4.8,0.0,0.3,0.6,216.7
Calvin Ridley,TEN,70.0,33.4,0.3,5.6,0.9,211.8
George Pickens,DAL,69.2,6.2,0.0,1.0,0.9,208.0
Jameson Williams,DET,60.8,63.4,0.8,7.4,0.5,203.9
Tetairoa McMillan,CAR,73.7,7.4,0.0,0.5,1.2,203.0
Jaylen Waddle,MIA,75.5,16.1,0.1,2.5,0.5,202.1
Jakobi Meyers,LV,78.6,8.9,0.0,1.2,0.5,199.4
