Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,Y/R,FL,G,FPTS,FPTS/G,ROST
1,Jahmyr Gibbs (DET),250,517,5.6,70,13,4,52,63,9.9,1,17,362.9,21.3,99.8%
2,Saquon Barkley (PHI),345,278,5.8,72,17,2,33,43,8.4,1,16,355.3,22.2,99.8%
3,Bijan Robinson (ATL),304,431,4.8,37,5,1,61,72,7.1,0,17,341.7,20.1,99.8%
4,Derrick Henry (BAL),325,193,5.9,87,19,2,19,22,10.2,1,17,336.4,19.8,99.8%
5,De'Von Achane (MIA),203,592,4.5,61,5,6,78,87,7.6,0,17,299.9,17.6,99.6%
6,Josh Jacobs (GB),301,342,4.4,38,7,1,36,43,9.5,3,17,293.1,17.2,99.7%
7,Kyren Williams (LAR),316,182,4.1,30,2,2,34,40,5.4,3,16,272.1,17.0,99.4%
8,James Cook (BUF),207,258,4.9,65,6,2,32,38,8.1,0,16,266.7,16.7,99.3%
9,Alvin Kamara (NO),228,543,4.2,24,3,2,68,89,8.0,0,14,265.3,19.0,98.1%
10,Chase Brown (CIN),229,360,4.3,40,8,4,54,65,6.7,1,16,255.0,15.9,99.1%
11,James Conner (ARI),236,414,4.6,53,6,1,47,55,8.8,1,16,253.8,15.9,96.3%
12,Jonathan Taylor (IND),303,136,4.7,70,11,1,18,31,7.6,1,14,244.7,17.5,99.6%
13,Bucky Irving (TB),207,392,5.4,56,8,0,47,52,8.3,1,17,244.4,14.4,99.6%
14,Chuba Hubbard (CAR),250,171,4.8,38,8,1,43,54,4.0,3,15,241.6,16.1,97.6%
15,Aaron Jones Sr. (MIN),255,408,4.5,41,3,2,51,62,8.0,3,17,241.6,14.2,92.5%
16,Breece Hall (NYJ),209,483,4.2,42,3,3,57,76,8.5,2,16,240.9,15.1,97.3%
17,Joe Mixon (HOU),245,309,4.1,59,8,1,36,52,8.6,0,14,240.5,17.2,88.8%
18,David Montgomery (DET),185,341,4.2,21,1,0,36,38,9.5,1,14,221.7,15.8,95.7%
19,D'Andre Swift (CHI),253,386,3.8,56,5,0,42,52,9.2,0,17,214.5,12.6,93.3%
20,Najee Harris (LAC),263,283,4.0,36,9,0,36,48,7.9,0,17,204.6,12.0,51.9%
21,Tony Pollard (TEN),260,238,4.2,41,6,0,41,57,5.8,2,16,200.7,12.5,92.1%
22,Rachaad White (TB),144,393,4.3,56,2,6,51,57,7.7,3,16,199.6,12.5,53.7%
23,Rico Dowdle (CAR),235,249,4.6,27,2,3,39,49,6.4,2,16,197.8,12.4,18.2%
24,J.K. Dobbins (DEN),195,153,4.6,61,6,0,32,38,4.8,0,13,191.8,14.8,83.1%
25,Zach Charbonnet (SEA),135,340,4.2,51,3,1,42,52,8.1,0,17,186.9,11.0,75.5%
