,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
1,Ja'Marr Chase,CIN,WR,1.15,1.60,1.56,2.49,1.17,3.70,1.10,4.90,25.83,62.49,,
2,Saquon Barkley,PHI,RB,5.12,2.50,3.62,7.58,4.82,9.60,7.10,18.90,27.08,59.62,,
3,Bijan Robinson,ATL,RB,2.65,3.70,3.08,4.37,2.64,5.60,3.50,7.70,14.73,59.26,,
4,Justin Jefferson,MIN,WR,4.10,4.90,4.76,8.15,5.36,6.00,2.00,6.20,24.78,57.16,Ques,Hamstring
5,Jahmyr Gibbs,DET,RB,4.87,5.00,5.38,6.16,4.33,7.60,4.90,9.30,14.08,57.00,,
6,CeeDee Lamb,DAL,WR,5.92,6.10,6.97,7.58,5.94,11.20,6.50,12.20,25.21,54.01,,
7,Amon-Ra St. Brown,DET,WR,10.69,7.50,10.45,12.92,10.28,15.80,9.60,15.80,24.05,50.18,,
8,Derrick Henry,BAL,RB,12.92,7.80,15.37,17.28,13.88,18.40,33.90,49.10,26.52,42.80,,
9,Puka Nacua,LAR,WR,8.08,9.30,10.25,15.95,12.23,15.70,11.70,17.50,13.44,49.09,,
10,Malik Nabers,NYG,WR,9.27,10.20,11.84,15.70,9.65,14.70,5.90,11.20,13.77,48.80,Ques,Toe
11,Ashton Jeanty,LV,RB,10.57,11.70,13.35,7.05,10.62,13.90,7.50,13.00,54.24,47.02,,
12,Christian McCaffrey,SF,RB,8.26,12.20,8.11,15.82,12.58,17.60,30.20,45.20,28.60,52.28,,
13,Nico Collins,HOU,WR,12.08,13.60,15.74,17.66,14.69,23.40,15.70,20.60,20.27,43.96,,
14,De'Von Achane,MIA,RB,14.84,14.70,15.22,18.05,13.74,22.70,17.00,27.40,12.00,43.41,Ques,Lower Body
15,Brock Bowers,LV,TE,17.76,15.70,20.86,20.26,18.93,12.20,10.90,10.10,14.17,34.84,,
16,Brian Thomas,JAX,WR,13.77,15.90,18.93,21.30,12.81,20.90,12.90,15.90,12.38,40.50,,
17,Drake London,ATL,WR,17.13,17.10,22.22,23.67,16.71,23.20,18.50,21.70,10.75,37.17,,
18,A.J. Brown,PHI,WR,19.54,18.20,19.13,28.00,21.11,27.80,23.50,33.70,18.35,39.43,Ques,Hamstring
19,Josh Jacobs,GB,RB,21.46,19.60,20.23,27.96,22.88,29.30,34.40,47.10,20.94,36.95,,
20,Josh Allen,BUF,QB,26.47,20.50,20.87,5.22,24.16,1.70,13.40,1.70,28.46,33.81,,
21,Bucky Irving,TB,RB,22.36,21.60,24.94,28.51,21.00,25.90,20.50,30.10,9.67,33.13,,
22,Lamar Jackson,BAL,QB,28.74,22.80,22.21,8.98,23.48,2.90,15.10,3.10,23.61,33.00,,
23,Jonathan Taylor,IND,RB,20.12,23.90,19.19,24.70,22.64,28.50,28.70,37.20,24.26,38.08,,
24,Ladd McConkey,LAC,WR,20.98,24.00,31.39,30.38,22.10,26.10,19.10,23.30,9.73,28.41,,
25,Tyreek Hill,MIA,WR,30.09,25.80,30.86,37.84,32.32,43.20,55.80,78.80,19.03,28.99,Ques,Oblique
26,Trey McBride,ARI,TE,24.91,26.00,26.39,26.84,26.73,21.70,22.20,19.20,13.77,30.01,,
27,Kyren Williams,LAR,RB,27.52,27.80,32.11,26.94,28.06,31.60,31.70,40.00,18.71,28.11,,
28,Chase Brown,CIN,RB,30.42,28.10,27.86,27.77,25.43,35.40,41.40,53.70,11.79,32.02,,
29,Jaxon Smith-Njigba,SEA,WR,26.81,29.60,39.12,36.70,29.55,34.30,25.20,32.00,8.87,21.15,,
30,Tee Higgins,CIN,WR,27.21,30.50,28.31,38.84,31.59,39.30,37.50,43.00,15.10,28.53,,
31,Jayden Daniels,WAS,QB,36.27,31.30,28.48,14.51,32.99,4.00,14.60,2.10,14.11,27.72,,
32,Garrett Wilson,NYJ,WR,31.09,31.70,45.19,39.55,28.29,38.90,27.00,34.20,9.45,18.63,,
33,James Cook,BUF,RB,36.20,33.40,33.73,37.59,39.13,41.40,38.70,51.10,12.53,25.00,,
34,Breece Hall,NYJ,RB,34.22,34.80,56.96,37.06,34.53,36.40,29.20,35.90,11.99,14.58,,
35,Jalen Hurts,PHI,QB,43.92,35.60,29.65,18.54,39.29,10.80,31.90,7.50,20.97,26.10,,
36,Marvin Harrison,ARI,WR,31.81,36.30,50.70,41.22,36.18,33.10,21.80,26.30,9.80,15.71,,
37,George Kittle,SF,TE,42.35,37.90,36.11,40.25,43.59,37.70,47.60,60.00,15.21,19.96,,
38,Mike Evans,TB,WR,37.29,38.40,46.33,42.30,41.22,49.30,63.60,86.10,16.03,17.35,,
39,Joe Burrow,CIN,QB,40.22,39.40,33.66,15.43,31.06,7.40,26.60,5.00,20.77,23.30,,
40,Alvin Kamara,NO,RB,45.56,39.70,43.22,42.36,48.01,47.50,61.70,81.30,18.35,18.91,,
41,Omarion Hampton,LAC,RB,36.29,41.30,45.00,18.48,41.36,39.20,23.30,25.60,37.36,21.43,,
42,Terry McLaurin,WAS,WR,46.16,42.40,43.69,56.37,40.98,45.10,43.20,61.40,11.76,19.13,,
43,Davante Adams,LAR,WR,37.64,43.60,35.88,51.58,38.29,58.10,74.20,93.70,16.50,25.07,,
44,Kenneth Walker,SEA,RB,49.90,44.30,42.82,43.44,44.24,51.00,46.80,63.20,11.86,20.48,,
45,DK Metcalf,PIT,WR,53.07,45.40,50.29,56.56,49.05,63.80,57.90,73.70,17.59,14.00,,
46,Chuba Hubbard,CAR,RB,51.19,46.00,49.60,50.44,48.64,53.40,53.20,70.30,15.40,17.33,,
47,Sam LaPorta,DET,TE,63.01,47.40,51.40,52.66,64.75,47.10,39.10,39.90,6.66,9.87,Ques,Undisclosed
48,Rashee Rice,KC,WR,74.66,47.50,68.14,58.27,46.36,46.80,42.60,44.80,7.57,9.72,,
49,DJ Moore,CHI,WR,41.67,49.70,62.07,57.22,43.74,60.60,59.70,71.40,13.15,10.66,,
50,James Conner,ARI,RB,58.03,50.80,54.24,51.02,57.45,66.00,77.00,99.10,17.08,16.02,,
51,Courtland Sutton,DEN,WR,49.74,51.30,68.21,61.03,48.54,71.90,80.00,95.10,13.87,9.45,,
52,Patrick Mahomes,KC,QB,64.72,52.90,49.78,30.92,59.33,19.50,50.10,14.60,18.99,12.11,,
53,DeVonta Smith,PHI,WR,49.11,53.50,70.23,54.41,54.36,62.10,44.90,57.20,13.90,8.68,,
54,David Montgomery,DET,RB,66.65,54.70,69.42,68.50,66.63,77.20,69.40,87.70,13.41,7.68,,
55,Zay Flowers,BAL,WR,54.56,55.10,62.87,71.49,57.00,73.30,51.70,65.10,5.06,9.67,,
56,Xavier Worthy,KC,WR,47.39,56.00,53.54,61.33,46.81,68.00,47.20,59.60,5.52,12.55,,
57,T.J. Hockenson,MIN,TE,78.01,57.30,61.90,71.41,81.14,70.10,67.50,74.20,9.10,6.65,,
58,George Pickens,DAL,WR,68.14,58.20,77.10,71.93,63.17,79.80,62.20,79.30,9.50,7.68,,
59,Tetairoa McMillan,CAR,WR,53.35,59.30,82.99,29.49,54.14,55.20,36.40,38.30,30.77,6.44,Ques,Hamstring
60,Jameson Williams,DET,WR,52.54,60.70,78.45,68.16,53.71,78.60,63.20,77.50,8.18,7.33,,
61,Isiah Pacheco,KC,RB,78.89,61.10,80.76,76.12,77.08,83.40,71.80,89.40,9.22,6.70,,
62,TreVeyon Henderson,NE,RB,47.05,62.50,60.27,25.37,58.55,57.20,39.30,41.70,32.95,14.24,,
63,Travis Kelce,KC,TE,87.59,63.70,63.98,67.01,87.03,76.40,102.90,118.80,12.35,6.93,,
64,RJ Harvey,DEN,RB,70.54,64.00,89.11,30.26,80.85,67.30,52.60,62.20,22.20,6.43,,
65,Joe Mixon,HOU,RB,116.07,65.00,90.71,89.96,70.23,65.50,68.80,85.90,12.00,6.28,NFI-A,Foot
66,Travis Hunter,JAX,WR,61.38,66.20,77.62,31.82,78.50,63.50,35.00,36.70,28.01,6.96,Ques,Upper Body
67,Baker Mayfield,TB,QB,79.74,67.40,58.73,41.10,67.60,31.10,91.30,46.30,12.21,9.04,,
68,Jaylen Waddle,MIA,WR,61.08,68.60,78.74,79.28,64.16,85.70,73.00,84.80,11.17,7.22,,
69,Aaron Jones,MIN,RB,69.65,69.90,80.92,68.37,74.11,87.20,95.50,119.60,14.25,6.38,,
70,D'Andre Swift,CHI,RB,80.02,70.90,64.10,67.59,70.33,84.20,81.80,98.30,13.43,10.33,,
71,Bo Nix,DEN,QB,82.83,71.30,77.93,45.55,75.66,30.40,60.20,22.30,7.88,5.63,,
72,Calvin Ridley,TEN,WR,64.96,71.50,71.02,72.61,65.17,93.10,106.80,121.20,11.18,8.73,,
73,Mark Andrews,BAL,TE,92.96,73.70,80.07,72.70,94.85,89.90,89.80,100.30,8.83,4.15,,
74,Jerry Jeudy,CLE,WR,74.28,74.10,78.28,74.17,63.10,91.00,75.80,90.30,9.66,6.24,,
75,Chris Olave,NO,WR,70.25,75.40,102.38,81.58,73.03,87.20,70.80,79.70,5.70,3.19,,
76,Tony Pollard,TEN,RB,76.23,76.80,86.14,74.93,77.90,94.20,94.40,115.70,11.76,5.69,,
77,Quinshon Judkins,CLE,RB,113.61,77.30,119.89,48.57,108.26,75.20,45.30,52.10,14.86,2.41,,
78,Jordan Addison,MIN,WR,68.15,78.10,111.06,98.40,77.65,92.40,65.80,75.80,5.39,2.75,Reserve-Sus,Suspension
79,Kaleb Johnson,PIT,RB,78.04,79.40,104.62,39.37,71.89,81.40,55.90,67.60,23.34,4.09,,
80,Rome Odunze,CHI,WR,63.66,79.70,89.38,74.43,67.49,82.60,49.50,55.30,5.20,4.94,,
81,Evan Engram,DEN,TE,102.16,81.10,91.75,91.16,103.27,95.40,132.00,132.60,7.28,3.29,,
82,Jakobi Meyers,LV,WR,78.57,82.10,96.82,90.41,76.77,102.80,111.10,125.60,7.15,3.68,,
