ADP,Position,Player,Team,Underdog,CBS,ESPN,FFPC,BB10s,NFL,Y!,10-Team,12-Team
1,WR-01,Ja'Marr Chase,CIN,1,1,1,1,1,1,1,1.01,1.01
2,RB-01,Bijan Robinson,ATL,2,2,2,2,2,4,2,1.02,1.02
3,RB-02,Saquon Barkley,PHI,4,3,3,4,4,2,3,1.03,1.03
4,RB-03,Jahmyr Gibbs,DET,5,4,5,3,3,6,4,1.04,1.04
5,WR-02,CeeDee Lamb,DAL,3,6,6,5,6,3,6,1.05,1.05
6,WR-03,Justin Jefferson,MIN,6,5,4,6,5,5,5,1.06,1.06
7,RB-04,Christian McCaffrey,SF,7,8,7,8,11,11,7,1.07,1.07
8,WR-04,Malik Nabers,NYG,9,11,10,9,8,10,10,1.08,1.08
9,WR-05,Amon-Ra St. Brown,DET,10,13,9,12,7,8,9,1.09,1.09
10,WR-06,Puka Nacua,LAR,11,14,8,13,9,7,15,1.10,1.10
11,RB-05,Ashton Jeanty,LV,14,10,11,10,10,12,14,2.01,1.11
12,RB-06,Derrick Henry,BAL,15,7,13,15,12,9,11,2.02,1.12
13,RB-07,De'Von Achane,MIA,12,9,12,11,14,13,16,2.03,2.01
14,WR-07,Nico Collins,HOU,8,17,14,16,13,16,8,2.04,2.02
15,WR-08,Brian Thomas Jr.,JAX,13,19,15,17,15,14,12,2.05,2.03
16,TE-01,Brock Bowers,LV,18,24,20,7,16,19,23,2.06,2.04
17,WR-09,Drake London,ATL,16,25,22,18,17,20,13,2.07,2.05
18,RB-08,Josh Jacobs,GB,23,12,18,21,25,18,17,2.08,2.06
19,WR-10,A.J. Brown,PHI,17,26,16,22,18,15,20,2.09,2.07
20,RB-09,Jonathan Taylor,IND,21,20,17,23,19,22,18,2.10,2.08
21,RB-10,Bucky Irving,TB,22,21,23,20,24,25,19,3.01,2.09
22,QB-01,Lamar Jackson,BAL,28,15,21,27,21,17,26,3.02,2.10
23,QB-02,Josh Allen,BUF,27,16,19,28,23,21,28,3.03,2.11
24,RB-11,Chase Brown,CIN,20,22,27,19,26,34,21,3.04,2.12
25,WR-11,Ladd McConkey,LAC,19,29,31,24,20,24,22,3.05,3.01
26,TE-02,Trey McBride,ARI,26,37,24,14,22,26,24,3.06,3.02
27,RB-12,Kyren Williams,LAR,32,18,30,26,29,23,27,3.07,3.03
28,WR-12,Tee Higgins,CIN,25,33,26,31,27,31,29,3.08,3.04
29,QB-03,Jayden Daniels,WAS,37,31,25,37,31,27,31,3.09,3.05
30,WR-13,Tyreek Hill,MIA,24,36,29,30,30,36,38,3.10,3.06
31,TE-03,George Kittle,SF,36,39,35,25,34,38,25,4.01,3.07
32,RB-13,James Cook,BUF,39,28,33,36,38,28,35,4.02,3.08
33,WR-14,Jaxon Smith-Njigba,SEA,33,40,36,33,28,39,30,4.03,3.09
34,QB-04,Jalen Hurts,PHI,43,32,28,41,35,32,36,4.04,3.10
