Format:,ppr
Teams:,12
Rounds:,15
Total drafts:,8574
Start date:,2025-08-11
End date:,2025-08-18
ADP,Overall
1.02,1.5
1.02,2.2
1.02,2.5
1.04,4.2
1.05,4.9
1.06,5.8
1.07,6.8
1.09,8.8
1.09,9.2
1.10,9.9
1.11,11.0
1.11,11.1
1.12,11.6
2.01,13.0
2.03,15.2
2.04,15.8
2.05,17.2
2.06,18.4
2.06,18.4
2.07,19.1
2.09,20.9
2.09,21.0
2.09,21.3
2.12,23.7
3.01,25.0
3.01,25.0
3.02,26.2
3.03,26.6
3.04,27.7
3.05,29.1
3.06,30.4
3.07,31.0
3.08,31.7
3.08,32.4
3.09,32.7
3.12,36.0
3.12,36.0
3.12,36.2
4.02,38.4
4.04,40.1
4.05,40.5
4.05,41.0
4.05,41.2
4.05,41.4
4.06,41.9
4.07,43.0
4.08,44.2
4.11,46.6
5.02,49.5
5.02,49.6
5.03,50.7
5.04,52.4
5.05,52.6
5.05,52.9
5.07,54.8
5.07,55.0
5.09,57.1
5.10,57.6
5.10,57.6
5.10,57.9
5.10,58.0
5.11,59.2
6.03,62.6
6.03,63.0
6.03,63.1
6.03,63.2
6.06,66.5
6.07,67.1
6.07,67.4
6.09,69.0
6.10,69.8
6.12,72.1
7.02,73.5
7.02,73.9
7.03,75.2
7.04,75.5
7.04,75.6
7.04,75.7
7.04,76.5
7.05,76.6
7.05,77.2
7.07,78.5
7.08,79.6
7.08,79.8
7.09,80.9
7.09,81.4
7.11,83.5
7.12,84.2
8.01,85.2
8.02,85.5
8.04,88.3
8.05,88.5
8.07,90.5
8.08,91.8
8.08,92.1
8.09,93.2
8.10,94.1
8.12,96.1
9.01,96.7
9.02,97.9
9.04,99.5
9.04,100.0
9.07,103.0
9.07,103.1
9.08,103.5
9.08,103.8
9.09,104.5
9.09,104.7
9.09,105.4
9.09,105.5
9.10,105.9
9.12,107.7
10.01,108.6
10.01,108.8
10.01,109.3
10.03,110.8
10.04,111.5
10.04,111.7
10.05,112.7
10.06,113.8
10.07,114.5
10.07,115.4
10.08,116.2
10.09,117.1
10.09,117.5
10.10,117.6
10.10,117.8
10.12,119.8
11.03,123.4
11.03,123.4
11.04,123.6
11.05,124.9
11.06,125.8
11.06,125.9
11.06,126.0
11.06,126.1
11.09,128.6
11.09,129.5
11.10,129.6
11.11,130.8
11.12,132.3
11.12,132.4
12.01,132.7
12.01,132.9
12.01,133.0
12.02,133.6
12.02,133.8
12.03,134.6
12.04,136.0
12.05,136.9
12.07,138.8
12.07,139.0
12.09,140.6
12.09,141.3
12.10,142.0
12.10,142.4
12.11,143.1
12.12,144.0
12.12,144.4
13.01,145.3
13.02,146.2
13.02,146.4
13.03,146.6
13.03,146.8
13.03,146.9
13.04,147.7
13.04,148.5
13.05,149.2
13.06,150.2
13.06,150.3
13.06,150.5
13.07,151.1
13.07,151.1
13.07,151.1
13.07,151.1
13.07,151.2
13.08,151.9
13.08,152.2
13.08,152.5
13.09,153.2
13.09,153.3
13.09,153.4
13.10,153.5
13.10,154.1
13.10,154.2
13.10,154.3
13.11,154.7
13.11,155.0
13.11,155.4
13.12,156.3
13.12,156.4
14.01,156.7
14.01,156.9
14.01,157.1
14.01,157.1
14.01,157.2
14.01,157.5
14.02,157.7
14.02,157.8
14.02,158.1
14.03,158.8
14.03,159.0
14.03,159.0
14.04,159.7
14.04,159.9
14.04,160.0
14.04,160.4
14.04,160.5
14.05,160.6
14.05,160.7
14.05,160.9
14.05,161.4
14.05,161.4
14.07,162.7
14.07,163.2
14.08,163.5
14.08,164.4
14.09,164.7
14.09,165.3
14.09,165.4
14.10,165.7
14.10,165.8
14.10,166.1
14.11,166.7
14.11,167.2
14.11,167.3
14.11,167.4
14.11,167.5
14.12,167.5
14.12,167.9
14.12,168.0
14.12,168.4
14.12,168.5
15.01,168.9
15.01,169.2
15.01,169.2
15.02,169.7
15.02,170.1
15.03,170.9
15.03,171.0
15.04,171.8
15.05,173.1
15.09,177.4
16.10,190.4
