POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
73rd of 74,Durham Smythe,TE,81,43.3,-,-,41.7,53.6,52.3,365,-,-,127,36,202,30.0,A,"6'6""",246,4.8,NOTRE DAME,2018,4,123
-,Joel Wilson,TE,86,-,-,-,-,-,-,-,-,-,-,-,-,25.1,A,"6'4""",250,-,C MICHIGAN,2023,-,-
42nd of 74,Cole Kmet,TE,85,60.6,-,-,58.6,72.4,62.4,993,-,-,571,78,344,26.4,A,"6'6""",260,-,NOTRE DAME,2020,2,43
4th of 40,Drew Dalman,C,52,78.8,-,-,-,66.6,79.8,554,-,-,-,295,259,26.8,A,"6'3""",300,-,STANFORD,2021,4,115
-,Bill Murray,G,60,82.4,-,-,-,85.7,77.3,42,-,-,-,24,18,0.0,A,"6'4""",307,-,WM & MARY,2020,-,-
-,Luke Newman,G,65,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,"6'4""",315,-,MICH STATE,2025,6,197
-,Doug Kramer,G,68,29.5,-,60.0,-,18.0,50.1,85,-,0,-,43,42,27.2,A,"6'2""",300,-,ILLINOIS,2022,6,208
7th of 77,Teven Jenkins,G,62,69.0,-,-,-,59.0,74.1,1288,-,-,-,829,459,32.7,A,"6'5""",306,5.0,NC STATE,2016,3,78
-,Jonah Jackson,G,73,67.6,-,-,-,59.5,68.8,267,-,-,-,182,85,28.5,A,"6'4""",311,-,OHIO STATE,2020,3,75
-,Jordan McFadden,G,74,60.0,-,-,-,-,60.0,1,-,-,-,-,1,25.7,A,"6'2""",303,5.0,CLEMSON,2023,5,158
-,Ryan Bates,G,71,60.1,-,-,-,48.8,62.8,105,-,-,-,68,37,28.5,A,"6'4""",302,-,PENN STATE,2019,-,-
-,Ricky Stromberg,G,67,-,-,-,-,-,-,-,-,-,-,-,-,24.7,A,"6'3""",313,5.3,ARKANSAS,2023,3,98
-,Theo Benedet,T,79,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'7""",305,-,BRITISH COLUMBIA (CA.),2024,-,-
16th of 81,Darnell Wright,T,58,79.3,-,-,-,75.4,82.2,1021,-,-,-,662,359,24.0,A,"6'5""",335,5.0,TENNESSEE,2023,1,10
-,Ozzy Trapilo,T,75,-,-,-,-,-,-,-,-,-,-,-,-,23.8,A,"6'8""",309,-,BOSTON COL,2025,2,56
-,Kiran Amegadjie,T,72,40.3,-,-,-,39.4,54.6,126,-,-,-,67,59,23.5,A,"6'5""",318,-,YALE,2024,3,75
-,Joshua Miles,T,78,-,-,-,-,-,-,-,-,-,-,-,-,29.6,A,"6'5""",325,-,MORGAN ST,2019,7,248
22nd of 81,Braxton Jones,T,70,77.4,-,-,-,60.8,70.2,719,-,-,-,471,248,26.4,A,"6'5""",310,-,SO UTAH,2022,5,168
-,Austin Reed,QB,16,-,-,-,-,-,-,-,-,-,-,-,-,25.5,A,"6'2""",220,-,W KENTUCKY,2024,-,-
-,Tyson Bagent,QB,17,64.4,62.0,61.6,-,-,60.0,13,2,6,-,-,5,25.2,A,"6'3""",213,4.8,SHPHRD,2023,-,-
-,Case Keenum,QB,11,-,-,-,-,-,-,-,-,-,-,-,-,37.5,A,"6'1""",206,4.8,HOUSTON,2012,-,-
31st of 42,Caleb Williams,QB,18,67.6,63.5,80.4,60.0,70.7,60.3,1122,741,33,1,2,345,23.7,A,"6'1""",215,-,USC,2024,1,1
-,JP Richardson,WR,26,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'0""",195,-,TCU,2025,-,-
-,Jahdae Walker,WR,20,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'4""",205,-,TEXAS A&M,2025,-,-
-,Tyler Scott,WR,10,56.9,-,-,56.6,-,61.1,20,-,-,6,-,14,23.8,A,"5'10""",185,4.4,CINCINNATI,2023,4,134
-,Luther Burden III,WR,87,-,-,-,-,-,-,-,-,-,-,-,-,21.7,A,"5'11""",208,-,MISSOURI,2025,2,39
38th of 133,DJ Moore,WR,2,73.5,59.7,64.6,73.3,-,61.4,1064,1,11,727,-,325,28.3,A,"5'11""",210,4.5,MARYLAND,2018,1,24
-,Miles Boykin,WR,80,-,-,-,-,-,-,-,-,-,-,-,-,29.6,A,"6'4""",220,-,NOTRE DAME,2019,3,93
-,Devin Duvernay,WR,12,59.3,-,65.3,59.0,-,48.5,190,-,4,141,-,45,27.9,A,"5'11""",202,-,TEXAS,2020,3,92
79th of 133,Rome Odunze,WR,15,63.8,-,35.1,65.3,76.6,47.0,952,-,2,676,3,271,23.2,A,"6'3""",215,-,WASHINGTON,2024,1,9
60th of 133,Olamide Zaccheaus,WR,14,69.2,-,62.8,69.7,69.0,56.8,634,-,1,405,1,227,28.0,A,"5'8""",193,-,VIRGINIA,2019,-,-
-,Maurice Alexander,WR,13,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"5'11""",174,-,FIU,2022,-,-
-,Royce Freeman,HB,30,-,-,-,-,-,-,-,-,-,-,-,-,29.4,A,"6'0""",229,4.5,OREGON,2018,3,71
-,Brittain Brown,HB,38,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'1""",205,-,UCLA,2022,7,251
-,Deion Hankins,HB,35,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,"6'0""",225,-,TEXAS ST,2025,-,-
36th of 59,Roschon Johnson,HB,23,69.5,-,76.0,67.3,36.5,58.8,271,-,56,145,60,10,24.5,A,"6'0""",225,4.6,TEXAS,2023,4,116
