"POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#"
"-,Marlowe Wax,LB,58,-,-,-,-,-,-,-,-,-,-,-,-,22.6,A,6'1"
"-,Del'Shawn Phillips,LB,53,71.4,82.7,53.3,56.7,29,15,4,10,28.8,A,6'2"
"-,Junior Colson,LB,25,36.7,54.9,63.5,32.2,234,92,15,127,22.7,A,6'3"
"50th of 84,Denzel Perryman,LB,6,62.3,54.1,83.9,61.9,343,154,19,170,32.7,A,5'11"
"40th of 84,Troy Dye,LB,43,65.6,77.3,56.7,53.5,355,147,18,190,28.9,A,6'3"
"-,Christopher Hinton,DI,98,-,-,-,-,-,-,-,-,-,-,-,-,24.9,A,6'4"
"-,Josh Fuga,DI,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'2"
"-,Nesta Jade Silvera,DI,60,44.2,44.0,55.7,-,71,42,29,-,25.5,A,6'2"
"-,TeRah Edwards,DI,94,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2"
"-,Jamaree Caldwell,DI,99,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1"
"-,Justin Eboigbe,DI,92,34.5,37.0,56.2,-,26,18,8,-,24.3,A,6'5"
"51st of 118,Da'Shawn Hand,DI,91,60.5,61.8,58.6,59.5,564,242,320,2,29.7,A,6'3"
"-,Naquan Jones,DI,96,63.2,60.3,61.6,60.0,260,126,134,0,27.5,A,6'3"
"10th of 118,Teair Tart,DI,90,78.9,70.3,79.3,66.0,378,160,218,0,28.4,A,6'2"
"109th of 118,Otito Ogbonnia,DI,93,41.5,45.2,51.2,59.9,538,261,276,1,24.9,A,6'4"
"-,Tre'Mon Morris-Brash,ED,57,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2"
"53rd of 119,Tuli Tuipulotu,ED,45,66.5,65.3,64.1,56.9,774,284,416,74,22.9,A,6'3"
"-,Kylan Guidry,ED,59,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4"
"-,Garmon Randolph,ED,97,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'8"
"-,Kyle Kennard,ED,54,-,-,-,-,-,-,-,-,-,-,-,-,23.6,A,6'5"
"115th of 119,Bud Dupree,ED,48,46.5,48.5,50.9,63.1,570,186,364,20,32.5,A,6'4"
"5th of 119,Khalil Mack,ED,52,90.2,87.7,78.9,80.3,668,232,419,17,34.5,A,6'3"
"-,Caleb Murphy,ED,50,56.4,68.1,54.0,58.9,31,10,20,1,25.6,A,6'3"
"-,DJ Uiagalelei,QB,7,-,-,-,-,-,-,-,-,-,-,-,-,24.3,A,6'4"
"-,Trey Lance,QB,5,64.4,65.8,55.5,-,-,60.0,98,50,9,-,-,39,25.2,A,6'4"
"-,Taylor Heinicke,QB,4,74.7,72.9,63.7,-,-,60.0,22,9,0,-,-,12,32.4,A,6'1"
