"POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#"
"-,Ifeatu Melifonwu,S,9,54.5,51.1,60.5,58.4,178,41,10,127,26.3,A,6"
"-,Dequan Jackson,LB,57,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Eugene Asante,LB,51,-,-,-,-,-,-,-,-,-,-,-,-,24.5,A,6"
"-,Willie Gay,LB,40,44.1,55.5,54.7,35.9,277,137,24,116,27.5,A,6"
"34th of 84,Tyrel Dodson,LB,11,67.3,47.0,56.4,82.9,854,341,58,455,27.1,A,6"
"83rd of 84,K.J. Britt,LB,3,45.0,57.3,58.6,40.9,632,241,54,337,0.0,A,6"
"24th of 84,Jordyn Brooks,LB,20,71.3,83.0,77.5,55.1,1039,391,79,569,27.8,A,6"
"-,Channing Tindall,LB,41,-,-,-,-,-,-,-,-,-,-,-,-,25.4,A,6"
"-,Ben Stille,DI,97,47.7,41.9,56.8,-,120,40,80,-,0.0,A,6"
"-,Matthew Butler,DI,91,55.4,58.6,57.6,60.4,101,59,40,2,26.2,A,6"
"-,Alex Huntley,DI,86,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Zeek Biggers,DI,93,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Jordan Phillips,DI,94,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Kenneth Grant,DI,90,-,-,-,-,-,-,-,-,-,-,-,-,21.8,A,6"
"88th of 118,Benito Jones,DI,95,51.3,47.6,63.0,53.0,481,233,240,8,27.7,A,6"
"-,Matt Dickerson,DI,98,65.9,55.0,73.7,-,15,7,8,-,29.7,A,6"
"11th of 118,Zach Sieler,DI,92,78.6,69.5,71.5,69.0,749,268,471,10,26.9,A,6"
"118th of 119,Matthew Judon,ED,8,43.0,53.6,53.9,31.1,655,240,328,87,33.0,A,6"
"-,Derrick McLendon II,ED,59,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Grayson Murphy,ED,42,-,-,-,-,-,-,-,-,-,-,-,-,24.8,A,6"
"-,Cameron Goode,ED,53,55.6,60.0,52.2,62.0,12,1,9,2,0.0,A,6"
"-,Mohamed Kamara,ED,50,51.7,60.3,68.8,30.3,26,9,14,3,25.2,A,6"
"37th of 119,Chop Robinson,ED,44,70.0,55.4,78.7,52.4,565,170,344,51,22.6,A,6"
"-,Bradley Chubb,ED,2,-,-,-,-,-,-,-,-,-,-,-,-,29.1,A,6"
"59th of 119,Quinton Bell,ED,56,64.8,69.0,65.9,49.0,258,131,83,44,29.2,A,6"
