POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
11th of 59,Saquon Barkley,HB,26,85.3,60.0,84.7,67.0,60.5,67.6,1020,1,440,398,83,98,28.5,A,"6'0""",232,4.4,PENN STATE,2018,1,2
2nd of 3,Ben VanSumeren,FB,43,67.8,-,-,64.3,-,65.9,22,-,-,2,-,20,25.3,A,"6'3""",231,-,MICH STATE,2023,-,-
-,E.J. Jenkins,TE,84,62.7,-,-,56.9,76.6,63.3,112,-,-,30,9,73,0.0,A,"6'7""",245,-,GA TECH,2023,-,-
47th of 74,Kylen Granson,TE,83,58.3,-,-,53.8,78.3,65.9,430,-,-,261,9,160,27.4,A,"6'2""",242,-,SMU,2021,4,128
-,Cameron Latu,TE,49,-,-,-,-,-,-,-,-,-,-,-,-,25.4,A,"6'4""",244,-,ALABAMA,2023,3,102
-,Nick Muse,TE,87,56.9,-,-,51.0,74.5,58.8,16,-,-,4,3,9,0.0,A,"6'5""",252,-,S CAROLINA,2022,7,226
62nd of 74,Grant Calcaterra,TE,81,53.1,-,-,58.0,43.9,48.6,861,-,-,331,36,514,26.7,A,"6'4""",240,-,SMU,2022,6,198
11th of 74,Dallas Goedert,TE,88,72.6,-,69.5,75.8,62.6,57.1,680,-,2,348,10,320,30.6,A,"6'5""",256,-,S DAK ST,2018,2,49
-,Drew Kendall,C,66,-,-,-,-,-,-,-,-,-,-,-,-,23.7,A,"6'4""",299,-,BOSTON COL,2025,5,170
14th of 40,Cam Jurgens,C,51,65.6,-,-,-,54.4,67.2,1284,-,-,-,621,663,26.0,A,"6'3""",303,-,NEBRASKA,2022,2,51
-,Brett Toth,G,64,60.6,-,-,-,70.1,60.1,12,-,-,-,1,11,28.9,A,"6'6""",304,-,ARMY,2019,-,-
75th of 77,Tyler Steen,G,56,40.7,-,-,-,37.5,51.0,399,-,-,-,179,220,25.1,A,"6'6""",321,-,ALABAMA,2023,3,65
21st of 77,Matt Pryor,G,79,69.9,-,-,-,78.1,65.9,1005,-,-,-,659,346,30.6,A,"6'7""",332,-,TCU,2018,6,206
-,Trevor Keegan,G,77,66.4,-,-,-,61.6,65.3,35,-,-,-,18,17,24.9,A,"6'6""",320,-,MICHIGAN,2024,5,173
76th of 77,Kenyon Green,G,76,38.6,-,-,-,39.7,44.6,582,-,-,-,350,232,24.4,A,"6'4""",323,-,TEXAS A&M,2022,1,15
8th of 77,Landon Dickerson,G,69,78.6,-,-,-,70.5,79.4,1231,-,-,-,608,623,26.8,A,"6'6""",332,-,ALABAMA,2021,2,37
-,Laekin Vakalahi,T,67,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"0'0""",-,-,NO COLLEGE,2024,-,-
-,Hollin Pierce,T,63,-,-,-,-,-,-,-,-,-,-,-,-,24.3,A,"6'8""",344,-,RUTGERS,2025,-,-
-,Myles Hinton,T,78,-,-,-,-,-,-,-,-,-,-,-,-,23.6,A,"6'6""",342,-,MICHIGAN,2025,6,193
-,Cameron Clemens,T,73,-,-,-,-,-,-,-,-,-,-,-,-,21.8,A,"6'5""",335,-,TEXAS A&M,2025,6,200
32nd of 81,Kendall Lamm,T,74,72.7,-,-,-,83.1,53.7,512,-,-,-,336,176,33.2,A,"6'5""",310,-,APP STATE,2015,-,-
-,Darian Kinnard,T,72,61.3,-,-,-,52.4,64.3,71,-,-,-,43,28,25.6,A,"6'5""",322,-,KENTUCKY,2022,5,145
1st of 81,Jordan Mailata,T,68,95.2,-,-,-,90.8,94.6,1069,-,-,-,530,539,28.3,A,"6'8""",365,-,NO COLLEGE,2018,7,233
5th of 81,Lane Johnson,T,65,88.9,-,-,-,88.7,85.4,1190,-,-,-,574,616,35.2,A,"6'6""",325,4.7,OKLAHOMA,2013,1,-
-,Sam Howell,QB,00,27.0,27.6,58.3,-,-,60.0,25,19,0,-,-,6,24.9,A,"6'1""",220,-,N CAROLINA,2022,5,144
