team,games,sacks,fumbleRecoveries,interceptions,defenseTouchdowns,safeties,blockedKicks,kickYards,kickTouchdowns,puntYards,puntTouchdowns,paPerGame,pa0Games,pa16Games,pa713Games,pa1420Games,pa2127Games,pa2834Games,pa3545Games,pa46plusGames,passYdsPerGame,runYdsPerGame,yaNegGames,ya099Games,ya100199Games,ya200299Games,ya300349Games,ya350399Games,ya400449Games,ya450499Games,ya500549Games,ya550plusGames,fantasyPts,fantasyPpg
ARZ,17,41,8,9,0,2,0,709,1,202,0,22.3,0,1,3,4,4,3,2,0,231.2,126.4,0,0,0,4,3,4,5,1,0,0,97,5.71
ATL,17,31,6,12,3,1,2,791,0,199,0,24.9,0,0,2,4,5,3,3,0,235.5,120.6,0,0,0,4,4,4,4,1,0,0,86,5.06
BLT,17,54,5,12,2,0,1,811,0,212,0,21.2,0,1,3,3,6,3,1,0,262.8,80.1,0,0,0,5,6,1,2,3,0,0,116,6.82
BUF,17,39,16,16,3,1,0,620,0,313,0,21.6,0,0,5,3,5,1,3,0,241.2,115.5,0,0,0,5,3,4,3,1,1,0,133,7.82
CAR,17,32,8,9,0,0,0,1060,0,177,0,31.4,0,0,0,1,5,5,4,2,237.8,179.8,0,0,0,0,2,4,8,1,1,1,38,2.24
CHI,17,40,13,11,2,0,2,768,0,304,1,21.8,0,1,1,7,3,4,1,0,232.9,136.3,0,0,0,2,7,3,1,4,0,0,124,7.29
CIN,17,36,9,15,2,1,1,1133,1,248,0,25.5,0,1,1,4,5,1,5,0,236.2,124.8,0,0,0,3,5,6,0,1,2,0,99,5.82
CLV,17,41,8,4,2,1,1,1018,0,448,0,25.6,0,0,1,4,7,2,3,0,228.1,129.7,0,0,0,5,3,4,3,2,0,0,80,4.71
DAL,17,52,9,13,1,0,1,1142,2,187,1,27.5,0,0,0,5,5,4,2,1,237.9,137.1,0,0,0,4,3,3,4,2,1,0,110,6.47
DEN,17,63,9,15,5,2,0,364,0,418,0,18.3,1,1,5,4,2,3,1,0,241.9,96.4,0,0,1,5,5,2,2,0,1,1,179,10.53
DET,17,37,8,16,1,0,0,471,0,479,1,20.1,0,2,3,6,1,4,0,1,259.1,98.4,0,0,1,6,2,2,3,1,1,1,121,7.12
GB,17,45,16,17,1,0,2,564,0,159,0,19.9,1,0,4,4,5,3,0,0,232.9,99.4,0,0,0,7,2,4,4,0,0,0,146,8.59
HST,17,49,10,19,3,1,0,723,0,340,0,21.9,0,0,3,5,6,3,0,0,220.8,114,0,0,0,4,8,2,3,0,0,0,141,8.29
IND,17,36,9,16,1,0,1,644,0,256,0,25.1,0,0,1,3,7,4,2,0,243.6,131.8,0,0,0,3,3,3,7,1,0,0,88,5.18
JAX,17,34,3,6,1,0,2,745,0,317,1,25.6,0,1,2,4,3,4,1,2,270.9,132.6,0,0,0,1,3,4,6,2,0,1,69,4.06
KC,17,39,7,13,1,0,1,783,0,307,0,19.2,0,0,4,8,3,1,1,0,233.5,101.8,0,0,0,5,7,1,1,3,0,0,105,6.18
MIA,17,35,6,10,0,0,0,755,0,268,0,21.4,0,1,1,7,2,6,0,0,225.2,103.7,0,0,0,6,4,6,1,0,0,0,79,4.65
MIN,17,50,9,24,3,0,2,341,0,164,0,19.5,0,1,5,2,5,4,0,0,262.3,93.4,0,0,1,4,3,2,5,1,1,0,161,9.47
NE,17,28,4,7,1,0,1,672,0,427,0,24.5,0,1,1,3,5,5,2,0,220.5,131.4,0,0,1,3,2,6,5,0,0,0,58,3.41
NO,17,39,3,14,0,1,4,1014,0,301,1,23.4,0,0,2,5,7,2,0,1,252.6,141.4,0,0,0,2,3,4,3,4,0,1,92,5.41
NYG,17,45,10,5,1,0,2,1019,1,228,0,24.4,0,0,0,7,4,5,1,0,227.6,136.2,0,0,0,1,8,3,2,3,0,0,93,5.47
NYJ,17,46,10,7,0,0,2,878,1,266,0,23.8,0,1,2,3,5,4,2,0,211.2,121.1,0,0,2,4,2,5,4,0,0,0,94,5.53
LV,17,38,3,10,1,0,0,680,0,264,0,25.5,0,0,1,5,3,6,2,0,234.6,116.9,0,0,0,4,6,4,1,2,0,0,65,3.82
PHI,17,41,13,13,1,0,1,875,0,265,0,17.8,0,2,4,6,2,2,1,0,192.1,104.2,0,0,3,7,2,2,2,1,0,0,130,7.65
PIT,17,40,16,17,1,0,3,575,0,289,1,20.4,0,1,3,6,4,2,1,0,244.2,98.7,0,0,0,4,6,2,4,1,0,0,140,8.24
LA,17,38,7,13,4,1,4,794,0,161,0,22.7,0,1,2,4,6,1,3,0,241.2,130,0,0,0,3,5,2,4,3,0,0,120,7.06
LAC,17,46,6,15,1,0,1,582,0,263,0,17.7,0,1,5,7,2,1,1,0,221.3,117.5,0,0,1,2,7,5,0,1,1,0,124,7.29
SF,17,37,6,11,2,0,2,889,0,294,0,25.6,0,0,3,3,5,2,3,1,204.5,124.6,0,0,0,5,5,5,1,1,0,0,88,5.18
SEA,17,47,5,13,4,1,3,1065,1,186,0,21.6,0,3,0,5,4,3,2,0,231.2,120.8,0,0,0,5,3,3,5,1,0,0,133,7.82
TB,17,45,11,7,2,1,2,817,0,159,0,22.6,0,0,2,6,5,2,2,0,262.6,97.7,0,0,0,5,4,2,3,1,1,1,107,6.29
TEN,17,32,5,11,0,2,0,1080,0,252,0,27.1,0,0,2,3,6,2,3,1,189.2,133.9,0,0,1,7,3,4,0,2,0,0,61,3.59
WAS,17,42,10,7,1,0,1,1082,0,260,0,23,0,0,2,6,3,5,1,0,205.4,137.5,0,0,1,3,7,2,3,1,0,0,88,5.18
