POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Leander Wiegand,C,64,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'5""",290,-,UCF,2025,-,-
6th of 40,Joe Tippmann,C,66,73.4,-,-,-,63.1,77.3,1067,-,-,-,712,355,24.4,A,"6'6""",317,-,WISCONSIN,2023,2,44
36th of 40,Josh Myers,C,71,54.6,-,-,-,63.9,50.9,1067,-,-,-,554,513,27.1,A,"6'5""",310,-,OHIO STATE,2021,2,62
-,Kohl Levao,G,60,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'5""",324,-,HAWAII,2024,-,-
-,Marquis Hayes,G,77,-,-,-,-,-,-,-,-,-,-,-,-,26.5,A,"6'5""",318,-,OKLAHOMA,2022,7,250
-,Xavier Newman,G,65,68.6,-,-,-,64.2,66.0,11,-,-,-,8,3,0.0,A,"6'2""",297,-,BAYLOR,2022,-,-
11th of 77,Tyron Simpson,G,76,72.3,-,-,-,72.3,79.2,1020,-,-,-,682,338,28.0,A,"6'4""",330,-,CLEMSON,2020,4,109
10th of 77,Alijah Vera-Tucker,G,75,77.7,-,-,-,74.5,76.3,916,-,-,-,619,297,26.1,A,"6'5""",308,-,USC,2021,1,14
-,Carter Warren,T,67,44.6,-,-,-,34.1,58.4,141,-,-,-,97,44,26.5,A,"6'5""",323,-,PITTSBURGH,2023,4,121
-,Armand Membou,T,70,-,-,-,-,-,-,-,-,-,-,-,-,21.4,A,"6'3""",314,-,MISSOURI,2025,1,7
58th of 81,Olumuiwa Fashanu,T,74,61.2,-,-,-,59.4,61.4,534,-,-,-,372,162,22.7,A,"6'6""",319,-,PENN STATE,2024,1,11
-,Chukwuma Okorafor,T,79,44.4,-,-,-,0.0,69.9,12,-,-,-,6,6,28.0,A,"6'6""",320,5.3,W MICHIGAN,2018,3,92
-,Max Mitchell,T,61,65.1,-,-,-,65.1,64.1,224,-,-,-,152,72,25.8,A,"6'6""",299,-,LA LAFAYET,2022,4,-
-,Brady Cook,QB,4,-,-,-,-,-,-,-,-,-,-,-,-,23.7,A,"6'2""",215,-,MISSOURI,2025,-,-
27th of 42,Justin Fields,QB,7,71.0,65.7,76.8,-,-,60.0,411,215,44,-,-,152,26.4,A,"6'3""",228,-,OHIO STATE,2021,1,11
-,Tyrod Taylor,QB,2,74.5,78.4,49.2,-,-,60.0,36,27,1,-,-,8,36.0,A,"6'1""",217,4.5,VA TECH,2011,6,180
-,Brandon Smith,WR,87,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'2""",220,-,IOWA,2021,-,-
-,Irvin Charles,WR,19,50.7,-,-,53.9,-,51.0,10,-,-,5,-,5,0.0,APUP,"6'4""",219,-,INDIANA (PA.),2022,-,-
-,Jamaal Pritchett,WR,36,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"5'8""",175,-,S ALABAMA,2025,-,-
-,Quentin Skinner Jr.,WR,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'5""",195,-,KANSAS,2025,-,-
