fantasyPointsRank,playerName,teamName,position,byeWeek,games,fantasyPoints,auctionValue,passComp,passAtt,passYds,passTd,passInt,passSacked,rushAtt,rushYds,rushTd,recvTargets,recvReceptions,recvYds,recvTd,fumbles,fumblesLost,twoPt,returnYds,returnTd,fgMade019,fgAtt019,fgMade2029,fgAtt2029,fgMade3039,fgAtt3039,fgMade4049,fgAtt4049,fgMade50plus,fgAtt50plus,patMade,patAtt,dstSacks,dstSafeties,dstInt,dstFumblesForced,dstFumblesRecovered,dstTd,dstReturnYds,dstReturnTd,dstPts0,dstPts16,dstPts713,dstPts1420,dstPts2127,dstPts2834,dstPts35plus,idpTacklesSolo,idpTacklesAssist,idpSacks,idpTacklesForLoss,idpPassDefended,idpInt,idpFumblesForced,idpFumblesRecovered,idpSafeties,idpTd
1,Lamar Jackson,BAL,qb,7,17,380.5,19,315.6998,444.2148,3403.7526,26.0278,8.2891,35.581,114.3642,699.8063,3.8696,0,0,0,0,0,0,1.6172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Jayden Daniels,WAS,QB,12,17.0,351.6,26,371.4089,520.0769,3764.6275,23.8864,8.9656,43.0176,153.0599,828.1273,4.7341,0.0,0.0,0.0,0.0,0.0,0.0,1.5925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ja'Marr Chase,CIN,WR,10,17.0,334.4,50,0.0,0.0,0.0,0.0,0.0,0.0,2.82,16.8327,0.117,171.9332,123.166,1423.7246,11.0457,1.3658,0.7495,0.4594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Josh Allen,BUF,QB,7,17.0,332.1,20,346.4349,490.1688,3625.1477,25.8117,10.3375,21.3033,108.2339,497.3318,6.8401,0.0,0.0,0.0,0.0,0.0,0.0,1.6903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Jalen Hurts,PHI,QB,9,17.0,327.3,19,339.9567,469.3123,3493.4845,21.2012,9.1754,37.8854,124.6915,586.3688,8.3234,0.0,0.0,0.0,0.0,0.0,0.0,1.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bijan Robinson,ATL,RB,5,17.0,316.9,57,0.0,0.0,0.0,0.0,0.0,0.0,300.3656,1349.1709,11.0762,76.7903,62.0458,422.9125,2.0474,4.7311,2.1562,0.5211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Jahmyr Gibbs,DET,RB,8,17.0,315.7,57,0.0,0.0,0.0,0.0,0.0,0.0,242.7024,1137.0484,11.303,84.8377,68.994,490.1121,2.81,4.0262,1.8545,0.5786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Joe Burrow,CIN,QB,10,17.0,313.7,15,411.3629,573.3704,4243.0251,31.3931,9.8824,46.7973,44.8551,185.2982,1.1186,0.0,0.0,0.0,0.0,0.0,0.0,1.5389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Kyler Murray,ARI,qb,8,17,307.9,2,335.0555,472.2755,3271.1374,20.2605,9.0305,28.8997,79.0221,420.0456,3.3114,0,0,0,0,0,0,1.3307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,C.J. Stroud,HOU,qb,6,17,301.1,0,346.2994,506.434,3766.1689,21.6301,10.0093,43.6517,48.4979,240.1957,0.6844,0,0,0,0,0,0,1.2718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Justin Jefferson,MIN,WR,6,17.0,299.6,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.6034,114.9925,1386.9263,7.5243,0.0,0.0,0.3964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Saquon Barkley,PHI,RB,9,17.0,294.9,51,0.0,0.0,0.0,0.0,0.0,0.0,323.5768,1522.4448,12.9275,41.9436,34.0154,240.4546,1.3465,4.7429,2.1276,0.5434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Patrick Mahomes,KC,QB,10,17.0,293.3,10,387.2913,533.1535,3945.6954,27.9203,9.2851,31.0682,44.2972,297.0901,0.1075,0.0,0.0,0.0,0.0,0.0,0.0,1.3458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Matthew Stafford,LAR,qb,8,17,292.3,0,354.175,495.6569,3697.6602,23.1175,10.2197,31.1713,31.8753,76.2277,0.9426,0,0,0,0,0,0,1.3444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Baker Mayfield,TB,QB,9,17.0,292.2,9,372.7982,521.7541,3864.0243,27.5092,11.76,35.9715,70.3875,228.6587,2.2427,0.0,0.0,0.0,0.0,0.0,0.0,1.5181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Puka Nacua,LAR,wr,8,17,291,38,0,0,0,0,0,0,10.8348,64.7104,0.5666,157.8156,112.4073,1306.0855,6.3355,1.3583,0.7332,0.4332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Brock Purdy,SF,QB,14,17.0,285.2,7,345.9849,488.0263,4112.29,24.2768,10.7235,29.8504,53.8722,239.9906,1.2567,0.0,0.0,0.0,0.0,0.0,0.0,1.3797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Justin Fields,NYJ,QB,9,17.0,284.6,7,310.8366,443.6262,3028.5082,18.1012,10.17,52.2002,146.033,747.5249,3.9998,0.0,0.0,0.0,0.0,0.0,0.0,1.2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Christian McCaffrey,SF,RB,14,17.0,283.0,48,0.0,0.0,0.0,0.0,0.0,0.0,242.1122,1096.6816,8.3159,75.4526,60.6341,476.7366,2.6505,3.9281,1.8013,0.4889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Ashton Jeanty,LV,RB,8,17.0,276.5,46,0.0,0.0,0.0,0.0,0.0,0.0,253.7913,1128.3138,8.5047,71.5292,58.3336,420.1282,2.207,4.0612,1.8571,0.4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Bucky Irving,TB,RB,9,17.0,276.4,46,0.0,0.0,0.0,0.0,0.0,0.0,257.1995,1213.7722,8.1635,65.9612,55.4735,384.2052,2.1665,4.0765,1.8603,0.5043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Trevor Lawrence,JAX,QB,8,17.0,276.1,5,386.1244,566.4119,3890.6622,24.1502,13.0476,32.6856,56.91,233.1529,1.7919,0.0,0.0,0.0,0.0,0.0,0.0,1.4235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,J.J. McCarthy,MIN,QB,6,17.0,275.7,5,386.7116,571.0628,3820.2318,21.4074,14.1186,46.9275,60.9411,368.9313,1.9835,0.0,0.0,0.0,0.0,0.0,0.0,1.3095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Nico Collins,HOU,wr,6,17,273.7,33,0,0,0,0,0,0,0,0,0,151.9846,99.6264,1299.3454,7.2377,0,0,0.3757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CeeDee Lamb,DAL,WR,10,17.0,273.3,33,0.0,0.0,0.0,0.0,0.0,0.0,8.7276,51.5605,0.446,145.639,102.7092,1164.4513,7.7066,1.2252,0.663,0.3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Brian Thomas Jr.,JAX,WR,8,17.0,273.0,33,0.0,0.0,0.0,0.0,0.0,0.0,7.3397,43.5,0.3358,152.5265,97.1342,1245.0383,7.4725,1.1463,0.6215,0.3834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,De'Von Achane,MIA,RB,12,17.0,271.0,45,0.0,0.0,0.0,0.0,0.0,0.0,196.0388,893.5249,6.7327,85.7194,71.4046,503.6194,3.3643,3.421,1.5912,0.4521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Bo Nix,DEN,QB,12,17.0,268.6,3,359.0603,506.6674,3433.8396,22.874,8.9649,25.5066,87.9652,340.0549,2.0243,0.0,0.0,0.0,0.0,0.0,0.0,1.2957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Malik Nabers,NYG,WR,14,17.0,268.4,31,0.0,0.0,0.0,0.0,0.0,0.0,2.0164,12.0311,0.1039,151.1065,102.5594,1172.2623,7.7752,1.1328,0.6222,0.3845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Derrick Henry,BAL,rb,7,17,267.6,44,0,0,0,0,0,0,298.5019,1441.0892,11.8425,32.6284,27.2336,192.3487,1.1548,4.3307,1.9381,0.4743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Amon-Ra St. Brown,DET,WR,8,17.0,266.8,31,0.0,0.0,0.0,0.0,0.0,0.0,5.8106,36.6141,0.2975,131.9698,100.4162,1139.8444,7.785,1.161,0.632,0.4148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Caleb Williams,CHI,QB,5,17.0,263.6,1,364.6788,530.386,3477.1836,18.4977,10.3738,59.1239,93.3775,462.1144,2.0317,0.0,0.0,0.0,0.0,0.0,0.0,1.2707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Jared Goff,DET,QB,8,17.0,262.3,1,375.2815,507.8665,3851.9619,26.1598,10.3896,29.6798,17.3534,92.8737,0.252,0.0,0.0,0.0,0.0,0.0,0.0,1.5652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Justin Herbert,LAC,QB,12,17.0,258.7,0,352.5408,496.1641,3638.3424,22.4341,8.5098,35.0662,57.8087,200.8935,1.5512,0.0,0.0,0.0,0.0,0.0,0.0,1.2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Drake London,ATL,WR,5,17.0,258.3,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.1291,98.2467,1146.8448,7.4188,0.0,0.0,0.4204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Jordan Love,GB,QB,5,17.0,257.8,0,345.4214,495.902,3675.0964,25.1037,11.7298,22.8886,31.4221,137.7093,0.8881,0.0,0.0,0.0,0.0,0.0,0.0,1.4815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,A.J. Brown,PHI,WR,9,17.0,257.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.5006,93.2124,1192.9387,7.2633,0.0,0.0,0.4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Michael Penix Jr.,ATL,QB,5,17.0,253.7,0,361.3807,536.468,3682.4393,22.4791,13.1103,34.5839,40.8792,219.1703,0.7839,0.0,0.0,0.0,0.0,0.0,0.0,1.4813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Tee Higgins,CIN,WR,10,17.0,252.8,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0579,91.1339,1114.264,8.2518,0.0,0.0,0.3654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Chase Brown,CIN,RB,10,17.0,252.0,39,0.0,0.0,0.0,0.0,0.0,0.0,233.7062,1008.7282,6.8325,69.0289,56.2149,401.6182,2.3945,3.7667,1.7249,0.5427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Brock Bowers,LV,TE,8,17.0,251.5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.2708,109.4888,1060.6227,5.8759,0.0,0.0,0.3426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Drake Maye,NE,QB,14,17.0,251.5,0,347.5427,489.1724,3311.8733,19.8293,12.0027,45.1003,75.6578,445.2772,0.802,0.0,0.0,0.0,0.0,0.0,0.0,1.1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Josh Jacobs,GB,RB,5,17.0,251.4,39,0.0,0.0,0.0,0.0,0.0,0.0,260.2919,1130.7127,10.8702,48.2957,39.2888,279.1234,1.1288,3.9438,1.7824,0.4597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dak Prescott,DAL,QB,10,17.0,251.3,0,341.455,481.7758,3555.565,24.7582,10.5288,30.8448,26.3216,168.2225,0.2336,0.0,0.0,0.0,0.0,0.0,0.0,1.1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Tua Tagovailoa,MIA,QB,12,17.0,250.5,0,365.4537,508.8819,3780.2568,23.9162,11.1616,30.5815,19.4844,111.7353,0.1797,0.0,0.0,0.0,0.0,0.0,0.0,1.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Garrett Wilson,NYJ,WR,9,17.0,250.4,26,0.0,0.0,0.0,0.0,0.0,0.0,2.1398,12.7701,0.0794,150.6092,100.3076,1094.6459,6.4569,1.1102,0.6095,0.3841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Geno Smith,LV,QB,8,17.0,249.9,0,360.6598,494.1277,3656.6406,21.3206,10.4084,36.9512,53.9188,190.7864,1.206,0.0,0.0,0.0,0.0,0.0,0.0,1.2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Cam Ward,TEN,QB,10,17.0,247.9,0,338.8288,502.9192,3434.6536,20.4663,11.3218,41.8187,47.0531,295.6158,1.3322,0.0,0.0,0.0,0.0,0.0,0.0,1.2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Bryce Young,CAR,QB,14,17.0,244.6,0,362.9239,532.2516,3393.1282,20.6155,10.881,45.127,55.2392,309.3556,0.6317,0.0,0.0,0.0,0.0,0.0,0.0,1.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Ladd McConkey,LAC,WR,12,17.0,242.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0627,93.0535,1106.3675,6.265,0.0,0.0,0.3459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Sam Darnold,SEA,QB,8,17.0,241.7,0,342.1416,464.2466,3395.474,21.6567,11.4739,42.1479,54.8511,189.4546,1.5509,0.0,0.0,0.0,0.0,0.0,0.0,1.2481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Trey McBride,ARI,te,8,17,241.1,29,0,0,0,0,0,0,0,0,0,139.4411,105.9743,987.5098,5.9366,0,0,0.3779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Aaron Rodgers,PIT,QB,5,17.0,238.8,0,322.3124,463.6598,3285.9755,24.1614,7.9957,32.3334,31.8201,120.3556,0.7149,0.0,0.0,0.0,0.0,0.0,0.0,1.1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Joe Flacco,CLV,qb,9,17,235.7,0,303.3926,441.8975,3006.6207,17.9388,11.3423,29.9892,44.1827,76.7548,1.5672,0,0,0,0,0,0,1.0222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Marvin Harrison Jr.,ARI,wr,8,17,235.3,22,0,0,0,0,0,0,0,0,0,142.7744,87.0579,1038.7076,7.2619,0,0,0.3869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Terry McLaurin,WAS,WR,12,17.0,234.1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.8369,5.0753,0.0376,125.7661,82.0475,1055.2325,7.5901,0.8958,0.4931,0.3615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Mike Evans,TB,WR,9,17.0,229.3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.7674,79.8143,984.052,8.4068,0.0,0.0,0.3401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Kyren Williams,LAR,rb,8,17,228.7,33,0,0,0,0,0,0,248.3346,1093.3067,8.7162,41.9289,34.2478,241.6067,1.591,3.7278,1.6813,0.3973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Kenneth Walker III,SEA,RB,8,17.0,227.8,33,0.0,0.0,0.0,0.0,0.0,0.0,211.1353,903.6736,7.458,60.0075,50.1969,342.5582,1.493,3.3966,1.5549,0.4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Davante Adams,LAR,wr,8,17,224,19,0,0,0,0,0,0,0,0,0,124.6219,83.7982,971.9103,7.0628,0,0,0.3322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Omarion Hampton,LAC,RB,12,17.0,223.3,32,0.0,0.0,0.0,0.0,0.0,0.0,221.9678,975.5157,7.7442,51.2896,41.3209,293.855,1.5673,3.4474,1.5665,0.3881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Rashee Rice,KC,WR,10,13.0,222.7,19,0.0,0.0,0.0,0.0,0.0,0.0,2.2741,12.8924,0.1099,126.3382,94.6533,898.9481,6.0164,1.0511,0.5767,0.3232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Travis Hunter,JAX,WR,8,17.0,222.5,19,0.0,0.0,0.0,0.0,0.0,0.0,3.863,22.8947,0.2101,130.904,84.7938,964.5432,6.2645,0.9663,0.5274,0.3262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
