Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Detroit,+11.6,+4.7,-14.0,+10.7,+12.6,+3.6
2,Philadelphia,+10.9,+18.7,+18.0,+11.5,+10.1,-1.0
3,Buffalo,+9.0,+7.7,-3.0,+15.9,+2.1,+7.9
4,Baltimore,+8.9,+12.3,-2.0,+12.4,+5.7,+11.6
5,Tampa Bay,+6.3,+13.0,-3.0,+5.1,+7.9,+2.0
6,Green Bay,+6.1,-5.3,-12.0,+10.0,+2.2,+2.4
7,Denver,+5.0,+2.7,-24.0,+14.1,-2.3,-3.3
8,Minnesota,+4.6,-12.7,-18.0,+10.1,+0.1,-1.1
9,LA Chargers,+4.5,+9.0,-20.0,+2.1,+6.4,-3.1
10,Washington,+4.0,-5.0,-32.0,+9.2,-0.4,-11.1
11,Kansas City,+2.7,-2.0,-18.0,+5.3,0.0,+5.2
12,Cincinnati,+2.2,+8.7,+2.0,+0.1,+4.1,-1.1
13,Arizona,+1.2,+4.3,+23.0,+7.4,-5.8,-7.4
14,Pittsburgh,+1.1,-11.7,-14.0,+3.9,-1.2,-1.9
15,Houston,+0.6,+6.7,-9.0,+0.8,+0.4,+1.6
16,Seattle,+0.4,+1.7,+5.0,-3.4,+4.8,-2.2
17,LA Rams,-0.4,+2.3,-6.0,-1.2,+0.4,+1.4
18,Miami,-1.1,-5.7,-12.0,+1.8,-3.7,+4.8
19,Atlanta,-2.0,-5.0,-6.0,-0.2,-4.0,-3.1
20,San Francisco,-2.8,-13.7,-23.0,+3.9,-10.3,+9.8
21,Indianapolis,-2.9,-0.3,+3.0,-0.6,-5.0,-1.1
22,New Orleans,-3.5,-19.0,-8.0,-1.3,-6.0,+4.4
23,Chicago,-3.5,-6.0,+2.0,-0.1,-6.6,-1.1
24,NY Jets,-3.9,-8.0,+12.0,+2.6,-9.7,-5.1
25,Jacksonville,-6.8,-0.3,-3.0,-1.9,-10.2,+0.4
26,Dallas,-6.9,-12.0,-4.0,-13.3,+0.3,+9.9
27,Las Vegas,-7.4,+2.0,-14.0,-7.6,-7.1,+0.1
28,New England,-7.5,-9.7,+7.0,-7.3,-7.8,-7.6
29,NY Giants,-8.4,-7.3,-7.0,-11.3,-5.0,-8.3
30,Tennessee,-8.8,-8.0,-9.0,-7.0,-10.3,-3.6
31,Cleveland,-10.4,-20.0,-25.0,-8.4,-12.2,+0.2
32,Carolina,-11.4,-7.3,+6.0,-8.3,-14.1,-10.6
