Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Detroit,4.0,4.3,4.0,4.3,3.6,3.4
2,Baltimore,3.6,3.7,3.0,3.6,3.7,3.1
3,Buffalo,3.6,3.3,4.0,3.9,3.3,3.1
4,Philadelphia,3.3,4.7,3.0,3.3,3.3,2.6
5,Tampa Bay,3.3,3.3,2.0,3.2,3.4,2.2
6,Cincinnati,3.2,2.7,1.0,3.5,2.9,2.3
7,Washington,3.2,3.0,2.0,3.2,3.1,2.2
8,Green Bay,2.9,2.0,1.0,3.0,2.8,2.6
9,Kansas City,2.5,3.0,3.0,2.3,2.7,2.2
10,Minnesota,2.5,1.3,1.0,3.1,2.0,2.2
11,Denver,2.4,3.0,1.0,3.1,1.8,2.1
12,San Francisco,2.4,3.3,3.0,2.4,2.3,3.5
13,Carolina,2.4,4.3,6.0,2.4,2.3,1.2
14,Indianapolis,2.4,3.7,2.0,2.5,2.2,2.2
15,NY Jets,2.3,2.3,4.0,2.3,2.3,1.1
16,Arizona,2.3,3.3,6.0,2.9,1.6,2.1
17,Atlanta,2.3,3.3,5.0,2.3,2.3,1.8
18,LA Chargers,2.3,2.7,1.0,2.6,2.0,2.1
19,Seattle,2.2,2.3,4.0,2.0,2.5,2.0
20,LA Rams,2.2,2.0,2.0,2.4,1.9,2.6
21,New Orleans,2.1,0.7,1.0,2.2,2.0,2.4
22,Pittsburgh,2.1,1.7,2.0,1.9,2.2,1.7
23,Miami,2.0,2.0,2.0,2.5,1.6,3.2
24,Houston,2.0,1.7,1.0,1.8,2.2,2.2
25,Chicago,1.9,1.3,2.0,1.9,2.0,2.1
25,Tennessee,1.9,2.0,1.0,1.8,2.1,1.8
27,Jacksonville,1.9,2.0,2.0,2.1,1.7,2.3
28,New England,1.7,2.0,2.0,2.0,1.4,1.5
29,Dallas,1.7,1.3,1.0,1.3,2.1,3.0
30,Las Vegas,1.7,2.0,2.0,1.9,1.6,1.8
31,NY Giants,1.6,2.3,1.0,1.4,1.9,1.5
32,Cleveland,1.6,0.7,1.0,1.8,1.4,2.3
