Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Detroit,33.1,34.0,31.0,34.9,30.8,27.4
2,Buffalo,30.6,29.0,29.0,33.2,28.0,26.6
3,Baltimore,30.1,29.3,25.0,31.1,29.1,27.7
4,Tampa Bay,29.0,31.7,20.0,27.7,30.6,21.2
5,Philadelphia,29.0,41.0,40.0,28.2,29.8,24.6
6,Washington,28.8,30.3,23.0,30.4,27.5,19.4
7,Cincinnati,27.8,24.3,19.0,28.9,26.8,21.5
8,Green Bay,26.1,19.0,10.0,26.8,25.4,23.8
9,Minnesota,24.5,15.0,9.0,28.6,21.2,20.2
10,Denver,24.0,23.0,7.0,29.0,20.0,21.0
11,Arizona,23.5,28.7,47.0,26.7,20.0,19.4
12,Kansas City,23.1,25.7,22.0,24.5,21.7,22.2
13,LA Chargers,23.0,28.7,12.0,24.1,22.1,20.4
14,San Francisco,22.9,25.0,24.0,25.3,20.1,28.6
15,Atlanta,22.9,32.0,38.0,23.9,21.8,18.9
16,Indianapolis,22.2,32.3,26.0,22.6,21.8,23.3
17,Seattle,22.1,20.0,30.0,19.7,24.8,21.4
18,Houston,22.0,23.0,14.0,21.4,22.5,22.7
19,LA Rams,21.9,24.7,22.0,23.7,20.3,23.7
20,Pittsburgh,21.9,13.7,14.0,21.5,22.2,17.8
21,Dallas,20.6,17.3,19.0,17.9,23.6,30.1
22,Miami,20.3,23.0,20.0,24.8,16.3,27.9
23,Carolina,20.1,31.3,44.0,21.3,19.0,13.9
24,NY Jets,19.9,18.3,32.0,20.4,19.4,15.8
25,New Orleans,19.9,9.7,19.0,21.6,18.0,23.6
26,Jacksonville,18.8,19.0,23.0,21.3,17.1,22.2
27,Tennessee,18.3,19.0,14.0,16.0,20.3,17.9
28,Chicago,18.2,14.7,24.0,19.1,17.4,21.2
29,Las Vegas,18.2,21.3,20.0,17.8,18.6,19.5
30,New England,17.0,17.0,23.0,19.0,15.2,13.9
31,NY Giants,16.1,21.7,13.0,14.4,17.9,15.6
32,Cleveland,15.2,6.3,10.0,14.9,15.4,22.8
