Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Detroit,2.9,3.0,3.0,3.5,2.3,2.5
2,Baltimore,2.8,2.7,2.0,3.1,2.6,2.4
3,Buffalo,2.8,2.3,3.0,2.9,2.6,2.4
4,Tampa Bay,2.7,3.0,2.0,2.8,2.5,1.3
5,Washington,2.6,2.3,1.0,2.6,2.6,1.8
6,Green Bay,2.3,1.7,1.0,2.6,2.1,2.1
7,Philadelphia,2.3,3.0,2.0,2.3,2.4,2.1
8,Cincinnati,2.3,2.3,1.0,2.8,1.9,1.8
9,San Francisco,2.1,3.0,2.0,2.4,1.8,2.6
10,Kansas City,2.1,2.3,1.0,2.0,2.2,2.0
11,LA Rams,1.9,2.0,2.0,2.2,1.7,1.9
12,Denver,1.9,1.7,0.0,2.6,1.4,1.8
13,Minnesota,1.9,0.7,0.0,2.4,1.5,1.4
14,Arizona,1.9,2.7,4.0,2.3,1.4,1.6
15,Carolina,1.8,3.0,5.0,1.8,1.9,1.1
16,NY Jets,1.8,2.0,4.0,1.9,1.7,0.7
17,Miami,1.8,1.7,2.0,2.0,1.6,2.1
18,Jacksonville,1.7,1.7,2.0,1.9,1.6,1.5
19,Atlanta,1.7,3.0,4.0,1.9,1.5,1.3
20,Indianapolis,1.6,2.0,1.0,1.6,1.7,1.6
21,Houston,1.6,1.3,1.0,1.7,1.6,1.6
22,LA Chargers,1.6,1.7,0.0,2.0,1.2,1.6
23,Pittsburgh,1.5,1.0,0.0,1.5,1.5,1.2
24,New Orleans,1.5,0.3,1.0,1.3,1.6,1.9
25,Tennessee,1.4,1.3,0.0,1.4,1.4,1.4
26,Seattle,1.4,1.7,3.0,1.1,1.8,1.5
27,Chicago,1.4,0.7,1.0,1.3,1.4,1.6
28,Dallas,1.4,1.3,1.0,1.1,1.6,2.4
29,New England,1.3,1.0,1.0,1.4,1.2,1.2
30,Las Vegas,1.3,1.7,1.0,1.8,0.9,1.4
31,NY Giants,1.1,1.0,0.0,0.9,1.4,1.1
32,Cleveland,1.1,0.7,1.0,1.1,1.0,1.7
