"POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#"
"28th of 84,Azeez Al-Shaair,LB,0,69.3,82.7,68.3,56.7,672,254,41,377,28.0,A,6"
"-,Christian Harris,LB,48,39.1,53.0,56.0,39.4,180,72,12,96,24.6,A,6"
"-,Jake Hansen,LB,35,78.0,85.5,64.2,62.7,136,56,10,70,27.1,A,6"
"-,Haggai Ndubuisi,DI,64,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Junior Tafuna,DI,53,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"116th of 118,Folorunso Fatukasi,DI,91,35.6,33.9,56.9,65.7,366,186,180,0,30.4,A,6"
"68th of 118,Mario Edwards Jr.,DI,97,57.5,45.7,69.2,65.7,519,172,347,0,31.5,A,6"
"72nd of 118,Sheldon Rankins,DI,90,55.3,46.2,58.9,71.2,267,124,163,0,31.3,A,6"
"56th of 118,Tim Settle,DI,98,58.6,45.3,68.7,64.7,685,247,438,0,28.1,A,6"
"-,Kurt Hinish,DI,93,56.2,56.0,55.3,-,231,124,107,-,26.3,APUP,6"
"61st of 118,Tommy Togiai,DI,72,58.1,53.2,66.1,59.3,280,132,147,1,25.9,A,6"
"-,Solomon Byrd,ED,50,74.8,69.2,67.0,-,20,11,9,-,25.7,A,6"
"-,Dylan Horton,ED,92,61.3,70.5,48.4,61.1,217,95,119,3,25.0,A,6"
"10th of 119,Will Anderson Jr.,ED,51,87.8,78.8,78.3,85.9,645,217,418,10,23.9,A,6"
"-,Kyonte Hamilton,ED,58,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6"
"-,Casey Toohill,ED,94,51.1,47.2,53.0,71.5,249,130,118,1,29.0,A,6"
"83rd of 119,Darrell Taylor,ED,52,59.1,48.9,70.5,53.1,374,134,225,15,28.4,A,6"
"26th of 119,Derek Barnett,ED,95,74.2,73.9,67.0,60.0,413,172,241,0,29.1,A,6"
"12th of 119,Danielle Hunter,ED,55,84.6,73.2,81.1,71.1,859,292,560,7,30.8,A,6"
"74th of 119,Denico Autry,ED,96,60.6,54.1,65.2,56.4,351,88,259,4,35.1,APUP,6"
"-,Jakob Johnson,FB,43,41.7,-,-,-,73.2,42.7,12,-,-,-,2,10,30.6,A,6"
"-,Harrison Bryant,TE,88,60.0,-,-,64.6,47.8,52.5,213,-,-,75,27,111,27.3,A,6"
"-,Luke Lachey,TE,42,-,-,-,-,-,-,-,-,-,-,-,-,24.1,A,6"
"40th of 74,Dalton Schultz,TE,86,61.1,-,-,65.1,33.3,55.6,968,-,-,605,70,293,29.1,A,6"
