"POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#"
"-,James Williams,LB,52,55.0,60.7,54.7,51.5,111,64,4,43,22.5,A,6'5"
"-,Cedric Gray,LB,51,36.8,43.5,-,45.0,48,39,-,9,22.8,A,6'2"
"42nd of 84,Cody Barton,LB,50,64.3,76.9,61.3,53.9,1129,388,102,639,28.7,A,6'2"
"-,T.J. Smith,DI,95,47.1,44.7,55.2,-,54,21,33,-,0.0,A,6'3"
"-,Josiah Bronson,DI,73,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3"
"-,Timmy Horne,DI,94,-,-,-,-,-,-,-,-,-,-,-,-,27.8,A,6'4"
"86th of 118,Jihad Ward,DI,53,51.5,42.1,58.0,70.0,505,82,416,7,31.2,A,6'5"
"-,Carlos Watkins,DI,96,60.2,63.0,50.9,62.6,228,110,118,0,31.7,A,6'3"
"-,Cam Horsley,DI,72,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4"
"-,Isaiah Raikes,DI,76,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1"
"-,James Lynch,DI,97,60.1,60.7,56.2,59.7,243,115,127,1,26.5,A,6'4"
"-,Joe Gaziano,DI,90,48.8,58.7,42.5,-,38,21,17,-,28.9,A,6'4"
"14th of 118,T'Vondre Sweat,DI,93,76.1,75.0,64.7,66.1,699,331,356,12,24.1,A,6'4"
"23rd of 118,Sebastian Joseph-Day,DI,69,70.2,77.7,52.3,60.7,483,258,222,3,30.4,A,6'4"
"8th of 118,Jeffery Simmons,DI,98,80.4,73.7,81.6,57.7,806,342,450,14,28.0,A,6'4"
"-,Ali Gaye,ED,99,38.3,32.9,51.8,63.2,177,101,72,4,26.7,A,6'6"
"-,Desmond Evans,ED,56,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6"
"-,Oluwafemi Oladejo,ED,7,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3"
"119th of 119,Jaylen Harrell,ED,92,38.9,38.1,42.7,67.6,286,145,129,12,23.3,A,6'4"
"97th of 119,Dre'Mont Jones,ED,45,54.3,45.5,66.0,67.7,616,230,374,12,28.6,A,6'3"
"40th of 119,Arden Key,ED,49,69.7,69.0,67.7,62.1,734,301,409,24,29.3,A,6'5"
"-,Trevor Siemian,QB,15,-,-,-,-,-,-,-,-,-,-,-,-,33.6,A,6'3"
"39th of 42,Will Levis,QB,8,54.9,54.6,58.2,58.4,-,60.2,622,384,25,1,-,212,26.1,IR,6'4"
"-,Cam Ward,QB,1,-,-,-,-,-,-,-,-,-,-,-,-,23.2,A,6'2"
"-,Brandon Allen,QB,10,41.1,44.5,54.4,-,-,60.0,54,33,2,-,-,19,32.9,A,6'2"
"-,Bryce Oliver,WR,80,68.0,-,60.0,74.4,-,50.5,87,-,0,34,-,33,0.0,A,6'1"
"-,Treylon Burks,WR,00,52.2,-,62.6,53.3,-,39.8,147,-,2,81,-,64,25.4,IR,6'2"
"-,Matt Landers,WR,83,-,-,-,-,-,-,-,-,-,-,-,-,26.1,A,6'4"
"-,TJ Sheffield,WR,82,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10"
"-,Xavier Restrepo,WR,87,-,-,-,-,-,-,-,-,-,-,-,-,23.3,A,5'10"
"-,Ellie Auermannm,WR,5,-,-,-,-,-,-,-,-,-,-,-,-,22.2,A,6'2"
"-,Chimezie Dike,WR,17,-,-,-,-,-,-,-,-,-,-,-,-,23.6,A,6'1"
"72nd of 133,Tyler Lockett,WR,4,65.2,-,-,65.6,-,50.8,762,-,-,589,-,173,32.9,A,5'10"
