POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Carson Wentz,QB,00,50.7,51.1,57.9,-,-,60.0,38,26,2,-,-,10,32.6,A,"6'5""",237,4.8,N DAK ST,2016,1,2
-,Max Brosmer,QB,12,-,-,-,-,-,-,-,-,-,-,-,-,24.4,A,"6'2""",225,-,MINNESOTA,2025,-,-
-,J.J. McCarthy,QB,9,-,-,-,-,-,-,-,-,-,-,-,-,22.5,A,"6'3""",202,-,MICHIGAN,2024,1,10
-,Jeshaun Jones,WR,82,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'1""",188,-,MARYLAND,2024,-,-
-,Lucky Jackson,WR,81,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'0""",186,-,W KENTUCKY,2023,-,-
-,Thayer Thomas,WR,89,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'0""",195,-,NC STATE,2023,-,-
-,Myles Price,WR,31,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"5'9""",183,-,INDIANA,2025,-,-
42nd of 133,Jordan Addison,WR,3,72.9,-,63.5,73.6,67.4,56.8,886,-,3,602,1,280,23.5,A,"5'11""",175,4.5,USC,2023,1,24
-,Dontae Fleming,WR,19,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'2""",167,-,TULANE,2025,-,-
-,Tai Felton,WR,13,-,-,-,-,-,-,-,-,-,-,-,-,22.4,A,"6'2""",186,-,MARYLAND,2025,3,102
-,Rondale Moore,WR,4,-,-,-,-,-,-,-,-,-,-,-,-,25.2,IR,"5'7""",180,-,PURDUE,2021,2,49
-,Tim Jones,WR,14,46.8,-,-,55.4,72.2,35.9,169,-,-,70,3,96,0.0,A,"6'1""",200,-,SO MISS,2021,-,-
102nd of 133,Jalen Nailor,WR,1,59.3,-,67.4,60.3,-,50.1,626,-,3,462,-,161,26.4,A,"6'0""",190,-,MICH STATE,2022,6,191
9th of 133,Justin Jefferson,WR,18,86.6,60.3,58.3,88.0,-,52.6,1111,1,0,709,-,400,26.1,A,"6'1""",195,-,LSU,2020,1,22
-,Xazavian Valladay,HB,47,-,-,-,-,-,-,-,-,-,-,-,-,27.1,A,"6'0""",198,-,ARIZONA ST,2023,-,-
-,Zavier Scott,HB,36,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'1""",219,-,MAINE,2023,-,-
27th of 59,Jordan Mason,HB,27,72.7,-,76.1,53.4,44.5,67.3,378,-,160,179,24,15,0.0,A,"5'11""",223,-,GA TECH,2022,-,-
19th of 59,Aaron Jones,HB,33,75.4,-,76.5,70.6,51.7,40.1,753,-,274,368,72,39,30.7,A,"5'9""",208,4.6,UTEP,2017,5,182
-,Ty Chandler,HB,32,52.4,60.0,54.3,59.9,33.1,58.3,158,1,58,72,18,9,27.2,A,"5'11""",204,-,N CAROLINA,2022,5,169
6th of 9,C.J. Ham,FB,30,51.1,-,69.0,37.7,62.0,53.5,277,-,2,91,53,131,32.0,A,"5'11""",250,-,AUGUSTANA (S.D.),2016,-,-
-,Giovanni Ricci,TE,49,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'3""",240,-,W MICHIGAN,2020,-,-
