player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,ED,ATL,17,0,12.0,100.0,2.4,10.0,10.0,0,0,0,0.0,2,63.1,80.0,80.9,68.5,80.2,31.9,0,13,33.3,3,0,1,118.8,1,10,423,10,6,1,0,13,1,1.3,13.0
Matthew Slater,4467,WR,NE,2,0,,,50.0,,,0,0,0,,19,60.0,60.0,99.9,60.0,,,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,17,0,-7.0,0.0,8.6,,22.0,0,0,0,0.0,24,69.0,80.0,72.0,78.5,66.5,70.8,0,,25.0,1,0,1,39.6,0,22,255,3,3,1,0,0,0,0.0,
Kareem Jackson,5545,S,HST,10,1,6.6,76.5,99.7,21.1,16.1,0,0,2,11.8,13,75.1,67.3,0.0,62.8,51.4,64.7,2,19,3.0,1,2,4,74.3,13,289,290,5,31,17,1,116,47,0.4,8.9
Jerry Hughes,5556,ED,HST,17,0,,,3.2,,,0,0,0,,13,64.8,67.7,78.1,67.2,58.5,36.5,0,,33.3,1,0,1,0.0,0,9,285,5,2,0,0,0,0,0.0,
Von Miller,6154,ED,BUF,12,0,4.0,100.0,7.3,12.0,12.0,0,0,0,0.0,4,65.1,45.4,59.8,48.9,45.6,27.0,0,8,50.0,1,0,1,100.0,1,14,193,0,1,1,0,8,4,0.7,8.0
Patrick Peterson,6157,CB,PIT,17,3,10.5,51.7,99.1,20.7,10.7,1,0,8,13.3,25,61.4,60.5,48.5,75.3,56.5,43.6,2,52,17.1,6,6,5,80.4,31,683,689,9,26,60,4,388,186,0.6,12.5
Cameron Jordan,6176,ED,NO,17,0,,,2.4,,,0,0,0,,20,82.9,73.5,81.6,63.8,72.0,56.5,0,,28.6,2,0,1,0.0,0,11,460,4,5,0,0,0,0,0.0,
Justin Houston,6222,ED,CAR,7,1,-7.0,100.0,16.1,18.0,18.0,0,0,0,0.0,5,82.9,61.2,48.1,61.8,49.0,44.8,0,0,0.0,0,0,1,79.2,1,19,118,4,3,1,0,0,7,0.0,0.0
Nick Bellore,6515,LB,SEA,5,0,10.5,50.0,80.0,3.0,1.5,0,0,0,0.0,29,45.5,65.1,70.6,58.3,77.0,71.7,0,8,,0,0,0,100.0,1,4,5,0,0,2,1,8,0,2.7,8.0
Stephon Gilmore,7016,CB,DAL,17,6,11.0,54.9,100.0,11.1,6.1,2,1,14,15.4,9,72.3,74.4,87.9,,76.1,74.5,2,68,4.9,3,9,6,83.3,50,600,600,12,52,91,4,653,200,1.2,13.1
Bruce Irvin,7021,ED,DET,3,0,7.5,50.0,12.8,5.0,2.5,0,0,0,0.0,11,29.1,40.3,0.0,59.4,60.1,69.2,0,19,,0,0,1,83.3,1,5,39,1,0,2,0,19,9,3.8,19.0
Melvin Ingram III,7024,ED,MIA,3,0,21.0,100.0,13.2,7.0,7.0,0,0,0,0.0,17,40.5,54.3,79.9,57.0,60.7,49.0,0,26,0.0,0,0,0,118.8,1,7,53,1,1,1,0,26,5,3.7,26.0
Bobby Wagner,7050,LB,SEA,17,15,4.3,81.7,88.4,11.9,9.7,0,0,3,5.0,29,60.0,82.4,85.7,75.1,91.5,90.2,0,30,2.7,2,3,1,113.5,49,615,696,23,57,60,2,515,332,0.9,10.5
Lavonte David,7060,LB,TB,15,9,5.1,75.3,87.1,7.7,5.8,1,1,5,5.6,30,68.3,73.3,48.1,70.4,76.4,74.6,0,33,5.7,4,4,3,93.6,67,547,628,30,57,89,1,535,298,1.0,8.0
Demario Davis,7079,LB,NO,17,10,5.3,66.0,87.9,17.2,11.3,1,0,4,8.5,20,85.4,89.6,88.4,73.9,82.8,75.7,0,26,4.5,2,2,1,89.3,31,567,645,22,32,47,2,204,116,0.4,6.6
Rodney McLeod,7271,S,CLV,10,1,6.9,50.0,97.1,32.0,16.0,0,1,1,10.0,8,52.5,54.1,83.0,52.5,61.3,50.3,0,17,0.0,0,1,0,63.3,5,169,174,1,5,10,0,47,31,0.3,9.4
Tashaun Gipson Sr.,7288,S,SF,16,6,13.8,44.0,97.8,56.9,25.0,1,1,3,12.0,28,73.5,73.6,45.3,54.0,79.5,72.6,1,33,10.0,4,2,4,38.9,11,667,682,7,30,25,0,101,47,0.2,9.2
Brandon Bolden,7469,HB,LV,1,0,,,100.0,,,0,0,0,,23,60.7,70.2,60.4,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Harrison Smith,7641,S,MIN,17,9,7.2,65.3,85.7,17.9,11.7,0,0,2,4.1,18,69.5,68.9,88.3,58.6,66.2,61.2,0,36,5.8,3,1,1,78.8,32,593,692,19,40,49,0,262,173,0.5,8.2
Justin Bethel,7654,CB,MIA,9,2,10.1,88.9,94.5,10.3,9.1,0,0,2,22.2,17,62.0,67.6,79.9,90.9,65.6,85.2,0,24,0.0,0,0,0,142.8,8,86,91,3,6,9,3,79,19,1.0,9.9
Darius Slay,7817,CB,PHI,12,1,10.2,63.2,100.0,11.3,7.1,0,2,13,17.1,24,68.6,68.4,87.8,,58.8,64.3,2,39,11.5,6,7,3,82.3,48,574,574,12,45,76,2,543,220,1.0,11.3
Johnathan Hankins,7830,DI,DAL,14,0,,,1.1,,,0,0,0,,9,65.4,51.8,30.4,62.8,49.9,47.3,0,,0.0,0,0,3,0.0,0,2,178,4,1,0,0,0,0,0.0,
Travis Kelce,7844,TE,KC,2,0,,,100.0,,,3,0,0,,16,60.6,60.7,64.6,,,,0,,,0,0,10,0.0,0,2,2,0,0,0,0,0,0,0.0,
Tyrann Mathieu,7850,S,NO,17,7,6.6,60.0,97.6,29.1,17.5,2,1,3,8.6,20,87.4,81.3,49.8,61.5,71.1,72.9,4,46,9.1,4,3,4,70.7,21,648,664,11,33,35,3,249,194,0.4,11.9
Logan Ryan,7864,S,SF,3,2,1.0,100.0,98.7,69.0,69.0,0,0,0,0.0,28,62.9,64.6,78.7,60.0,63.5,58.3,0,5,0.0,0,0,1,87.5,1,77,78,0,3,1,0,5,4,0.1,5.0
Duron Harmon,7872,S,CLV,6,2,10.6,75.0,95.1,21.5,16.1,0,0,0,0.0,8,64.4,64.3,78.8,69.4,55.9,89.9,1,18,0.0,0,0,0,86.5,6,136,143,5,12,8,1,42,16,0.3,7.0
