player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,ED,ATL,17,11,1,100.0,0,1,2,1,0,63.1,80.0,80.9,68.5,80.2,31.9,10,25,0,0,13,19.0,11,0,1,118.8,1,7,1,12,0,10,712,695,24,60,447,164,0,17,413,289,5,36,36,5,1,42,0,13,1,13.0
Matthew Slater,4467,WR,NE,2,0,0,,0,0,19,0,0,60.0,60.0,99.9,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,
Tyson Alualu,5535,DI,DET,2,0,0,,0,0,11,0,0,,38.9,78.8,50.0,40.4,71.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,67,67,5,51,1,10,0,0,37,30,0,1,3,0,0,0,0,0,0,
Brandon Graham,5538,ED,PHI,17,0,0,0.0,0,0,24,0,0,69.0,80.0,72.0,78.5,66.5,70.8,2,23,0,0,,8.3,1,0,1,39.6,0,4,0,3,1,22,394,384,7,15,336,26,0,10,233,139,6,10,11,2,1,29,0,0,0,
Jason Pierre-Paul,5540,ED,MIA,3,1,0,,0,0,17,0,0,,65.8,75.7,51.3,70.5,71.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,22,21,0,1,15,5,0,1,8,14,0,1,1,0,0,0,0,0,0,
Kareem Jackson,5545,S,HST,10,8,0,76.5,0,0,13,0,0,75.1,67.3,0.0,62.8,51.4,64.7,0,0,0,2,19,10.3,6,2,4,74.3,13,0,0,127,9,289,519,4,0,0,4,0,302,515,1,229,77,6,44,0,17,0,1,116,47,8.9
Jerry Hughes,5556,ED,HST,17,3,0,,0,1,13,0,0,64.8,67.7,78.1,67.2,58.5,36.5,1,26,0,0,,18.8,6,0,1,0.0,0,3,0,2,0,9,474,472,0,5,464,3,0,2,276,189,0,22,23,3,0,30,0,0,0,
Linval Joseph,5571,DI,BUF,7,1,0,,0,0,4,0,0,75.2,38.8,84.0,53.2,31.0,52.8,1,4,0,0,,11.1,1,0,0,0.0,0,1,0,0,0,0,161,161,111,50,0,0,0,0,87,74,0,4,7,0,0,6,0,0,0,
Al Woods,5646,DI,NYJ,6,2,0,,0,0,22,0,0,,54.0,81.4,53.0,55.4,71.5,1,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,140,140,16,122,0,2,0,0,66,74,0,4,3,1,0,2,0,0,0,
Von Miller,6154,ED,BUF,12,0,0,100.0,0,0,4,0,0,65.1,45.4,59.8,48.9,45.6,27.0,3,10,0,0,8,40.0,2,0,1,100.0,1,0,0,2,0,14,257,255,0,0,255,0,0,2,179,64,0,1,3,0,1,13,0,8,4,8.0
Patrick Peterson,6157,CB,PIT,17,8,0,51.7,1,0,25,0,0,61.4,60.5,48.5,75.3,56.5,43.6,0,2,0,2,52,15.1,8,6,5,80.4,31,0,0,105,563,683,1096,2,0,0,2,0,218,1094,6,407,208,12,37,0,60,2,4,388,186,12.5
Cameron Jordan,6176,ED,NO,17,15,3,,0,0,20,1,0,82.9,73.5,81.6,63.8,72.0,56.5,3,39,0,0,,10.0,5,0,1,0.0,0,3,0,0,0,11,770,770,0,15,684,71,0,0,449,310,0,21,30,2,0,45,0,0,0,
Cameron Heyward,6183,DI,PIT,11,5,1,,0,0,25,0,0,67.0,71.9,85.2,64.2,67.3,59.9,1,15,0,0,,5.9,2,0,0,0.0,0,2,0,1,0,0,442,441,14,236,43,148,0,1,275,167,0,25,27,4,0,18,0,0,0,
Justin Houston,6222,ED,CAR,7,3,1,100.0,0,0,5,0,0,82.9,61.2,48.1,61.8,49.0,44.8,2,7,0,0,0,18.2,2,0,1,79.2,1,1,0,1,0,19,177,173,0,0,171,2,0,4,99,59,3,5,6,2,1,10,0,0,7,0.0
Lawrence Guy Sr.,6385,DI,NE,17,19,1,,0,0,19,0,0,63.5,45.5,87.0,44.9,47.3,62.2,0,6,0,0,,2.4,1,0,0,0.0,0,0,0,0,0,0,522,521,4,239,53,225,0,1,221,301,0,20,22,1,0,6,0,0,0,
Nick Bellore,6515,LB,SEA,7,0,0,50.0,0,0,29,0,0,45.5,65.1,70.6,58.3,77.0,71.7,0,0,0,0,8,0.0,0,0,0,100.0,1,0,0,14,0,4,16,0,0,0,0,0,0,16,1,11,1,1,1,1,2,0,1,8,0,8.0
Stephon Gilmore,7016,CB,DAL,17,7,0,54.9,2,1,9,0,0,72.3,74.4,87.9,,76.1,74.5,0,0,0,2,68,6.8,5,9,6,83.3,50,0,0,66,872,600,999,4,0,0,4,0,1,995,0,399,56,15,62,0,91,0,4,653,200,13.1
