player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Kelee Ringo,124035,CB,PHI,6,0,24,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.0,1,103,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
CJ Henderson,55593,CB,CAR,10,0,5,0,2,0,0,1,0,66.7,2,2,75.0,1,1,0,0,1.6,3,190,3,66.7,0,0,1,0,33.3,1,1,50.0,0,0,0,1,1,0
Christian Benford,79181,CB,BUF,15,0,4,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.2,1,508,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Michael Davis,12040,CB,LAC,15,0,27,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.2,1,528,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Josh Blackwell,55589,CB,CHI,3,0,6,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,8.3,1,12,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Marco Wilson,55592,CB,NE,12,0,19,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.3,1,368,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Jack Jones,29050,CB,LV,11,0,23,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0.3,1,311,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tre Brown,55677,CB,SEA,15,0,29,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0.6,2,351,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Khalil Dorsey,27819,CB,DET,4,0,11,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.1,1,47,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Divaad Wilson,83218,CB,ARZ,2,0,1,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.3,1,43,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
