player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,ED,ATL,17,11,1.6,0,0,2,63.1,80.0,80.9,68.5,80.2,31.9,16.3,8,1,284,289,9.2,26,30
Tyson Alualu,5535,DI,DET,2,0,3.3,0,0,11,,38.9,78.8,50.0,40.4,71.0,0.0,0,0,29,30,3.4,1,3
Brandon Graham,5538,ED,PHI,17,0,2.6,0,0,24,69.0,80.0,72.0,78.5,66.5,70.8,0.0,0,1,132,139,5.3,7,8
Jason Pierre-Paul,5540,ED,MIA,2,1,1.0,0,0,17,,65.8,75.7,51.3,70.5,71.4,0.0,0,0,14,14,7.1,1,1
Kareem Jackson,5545,S,HST,10,7,8.2,0,0,13,75.1,67.3,0.0,62.8,51.4,64.7,20.0,5,4,223,229,0.4,1,13
Jerry Hughes,5556,ED,HST,17,3,1.9,0,0,13,64.8,67.7,78.1,67.2,58.5,36.5,17.2,5,1,184,189,9.2,17,21
Linval Joseph,5571,DI,BUF,7,1,2.5,0,0,4,75.2,38.8,84.0,53.2,31.0,52.8,0.0,0,0,72,74,4.2,3,6
Al Woods,5646,DI,NYJ,6,2,1.0,0,0,22,,54.0,81.4,53.0,55.4,71.5,0.0,0,0,70,74,4.3,3,3
Von Miller,6154,ED,BUF,12,0,2.5,0,0,4,65.1,45.4,59.8,48.9,45.6,27.0,33.3,1,1,63,64,1.6,1,2
Patrick Peterson,6157,CB,PIT,17,5,7.2,1,0,25,61.4,60.5,48.5,75.3,56.5,43.6,11.1,2,5,397,407,0.8,3,11
Cameron Jordan,6176,ED,NO,17,15,3.4,0,0,20,82.9,73.5,81.6,63.8,72.0,56.5,7.0,3,1,299,310,5.7,17,25
Cameron Heyward,6183,DI,PIT,11,5,2.9,0,0,25,67.0,71.9,85.2,64.2,67.3,59.9,6.3,2,0,163,167,12.9,21,25
Justin Houston,6222,ED,CAR,7,2,1.7,0,0,5,82.9,61.2,48.1,61.8,49.0,44.8,28.6,2,1,58,59,1.7,1,3
Lawrence Guy Sr.,6385,DI,NE,17,18,2.2,0,0,19,63.5,45.5,87.0,44.9,47.3,62.2,2.5,1,0,291,301,6.5,19,21
Nick Bellore,6515,LB,SEA,5,0,-1.0,0,0,29,45.5,65.1,70.6,58.3,77.0,71.7,0.0,0,0,10,11,10.0,1,1
Stephon Gilmore,7016,CB,DAL,17,1,6.3,2,0,9,72.3,74.4,87.9,,76.1,74.5,15.4,2,6,396,399,0.8,3,10
Fletcher Cox,7018,DI,PHI,15,5,3.1,0,0,24,67.0,75.7,67.1,72.4,67.0,70.2,0.0,0,2,197,203,5.6,11,20
Bruce Irvin,7021,ED,DET,2,0,,0,0,11,29.1,40.3,0.0,59.4,60.1,69.2,,0,1,3,3,0.0,0,0
Melvin Ingram III,7024,ED,MIA,3,0,3.2,0,0,17,40.5,54.3,79.9,57.0,60.7,49.0,16.7,1,0,42,42,2.4,1,5
Bobby Wagner,7050,LB,SEA,17,35,2.6,0,0,29,60.0,82.4,85.7,75.1,91.5,90.2,6.1,7,1,470,474,10.2,48,73
Lavonte David,7060,LB,TB,15,17,2.3,1,0,30,68.3,73.3,48.1,70.4,76.4,74.6,9.2,6,3,324,328,9.6,31,42
Demario Davis,7079,LB,NO,17,26,3.9,1,0,20,85.4,89.6,88.4,73.9,82.8,75.7,11.5,9,1,413,429,6.3,26,43
Rodney McLeod,7271,S,CLV,10,5,4.9,0,0,8,52.5,54.1,83.0,52.5,61.3,50.3,21.7,5,0,102,106,9.8,10,13
Tashaun Gipson Sr.,7288,S,SF,16,10,6.2,1,0,28,73.5,73.6,45.3,54.0,79.5,72.6,11.5,3,4,286,294,1.7,5,13
Harrison Smith,7641,S,MIN,17,12,5.3,0,1,18,69.5,68.9,88.3,58.6,66.2,61.2,20.0,9,1,407,419,2.7,11,24
Josh Norman,7649,CB,BUF,1,0,5.0,0,0,4,,47.5,70.1,,54.4,70.5,0.0,0,0,5,5,0.0,0,1
Justin Bethel,7654,CB,MIA,5,1,1.7,0,0,17,62.0,67.6,79.9,90.9,65.6,85.2,0.0,0,0,34,35,5.9,2,3
Darius Slay,7817,CB,PHI,12,3,12.3,0,0,24,68.6,68.4,87.8,,58.8,64.3,9.1,1,3,227,235,0.9,2,7
Johnathan Hankins,7830,DI,DAL,14,10,3.2,0,0,9,65.4,51.8,30.4,62.8,49.9,47.3,10.3,3,3,171,172,4.7,8,16
Tyrann Mathieu,7850,S,NO,17,9,7.3,2,0,20,87.4,81.3,49.8,61.5,71.1,72.9,11.8,4,4,416,432,1.7,7,21
John Jenkins,7863,DI,LV,17,18,2.6,0,0,23,59.1,61.2,87.3,66.7,55.6,63.0,3.4,2,0,308,323,8.4,26,38
Logan Ryan,7864,S,SF,3,4,5.3,0,0,28,62.9,64.6,78.7,60.0,63.5,58.3,20.0,2,1,47,47,2.1,1,4
Duron Harmon,7872,S,CLV,6,1,2.8,0,0,8,64.4,64.3,78.8,69.4,55.9,89.9,0.0,0,0,71,72,4.2,3,4
William Gholston,7908,DI,TB,15,3,2.6,0,0,30,62.1,59.8,57.7,60.3,56.7,43.4,10.5,2,1,125,129,8.0,10,14
Micah Hyde,7941,S,BUF,14,3,21.1,0,0,4,67.2,64.4,88.1,61.4,50.0,61.8,25.0,5,0,268,276,0.4,1,12
Jordan Poyer,8000,S,BUF,16,15,6.4,0,0,4,74.4,73.0,46.0,52.0,74.3,82.1,6.1,3,2,343,352,4.4,15,31
Nick Williams,8006,DI,LAC,14,8,2.5,0,0,27,81.3,59.7,86.1,63.5,51.0,39.8,11.1,3,0,200,204,4.5,9,16
