player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,MIA,17,5,0,17,66.2,7,27,380,96.9,10.8,41,0,5.8,5,414,401,39,4,68.3,6,19,176,96.9,12.5,22,8.8,3,193,187,28
Brandon Graham,5538,ED,PHI,11,0,0,24,71.9,3,13,153,91.3,15.0,23,1,7.8,4,184,168,20,0,73.3,1,9,61,94.4,23.0,14,11.5,2,72,68,12
Kareem Jackson,5545,S,BUF,1,0,0,4,57.1,0,0,2,6.5,0.0,0,0,0.0,0,31,2,0,0,58.8,0,0,1,4.2,0.0,0,0.0,0,24,1,0
Jerry Hughes,5556,ED,HST,7,0,0,13,48.9,0,3,50,94.6,6.0,3,0,3.0,0,56,53,3,0,52.2,0,3,25,93.1,12.0,3,6.0,0,29,27,3
Linval Joseph,5571,DI,DAL,17,0,0,9,77.5,1,3,109,100.0,7.3,8,1,3.7,2,120,120,6,0,63.5,0,2,33,100.0,6.1,2,6.1,1,37,37,3
Von Miller,6154,ED,BUF,13,0,0,4,83.0,3,23,199,95.4,17.6,35,2,9.5,6,219,209,32,0,89.5,3,15,108,94.1,25.0,27,13.0,5,118,111,23
Cameron Jordan,6176,ED,NO,17,4,0,20,54.3,3,21,328,97.7,6.7,22,1,4.9,4,349,341,28,3,56.8,2,13,170,98.3,8.8,15,6.2,3,177,174,18
Cameron Heyward,6183,DI,PIT,17,10,0,25,87.1,12,34,448,100.0,14.1,63,0,7.4,10,479,479,56,5,86.9,10,24,233,100.0,17.2,40,10.7,8,251,251,42
Lawrence Guy Sr.,6385,DI,CIN,4,0,0,7,52.5,0,0,41,100.0,2.4,1,0,0.0,0,41,41,0,0,53.6,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Nick Bellore,6515,LB,WAS,4,0,0,32,60.0,0,0,1,20.0,0.0,0,0,0.0,0,5,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
