player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Miles Battle,84301,CB,NE,1,3,,3.0,19,0,39.6,0,1,0,0,0,0.0
Andrew Wingard,49268,S,JAX,3,3,,3.0,15,0,39.6,0,1,0,0,0,0.0
Darius Slay,7817,CB,PHI,2,2,,1.0,24,0,39.6,0,2,0,0,0,0.0
Ifeatu Melifonwu,56203,S,DET,3,23,,23.0,11,0,39.6,0,1,0,0,0,0.0
Damarri Mathis,56143,CB,DEN,5,11,,5.5,10,0,39.6,0,2,0,0,0,0.0
Eric Stokes,55912,CB,GB,6,8,,8.0,12,0,39.6,0,1,0,0,0,0.0
Theo Jackson,62919,S,MIN,6,16,,16.0,18,0,39.6,0,1,0,0,0,0.0
Winston Reid,63354,LB,CLV,5,6,,3.0,8,0,39.6,0,2,0,0,0,0.0
A.J. Terrell,55586,CB,ATL,6,13,,6.5,2,0,39.6,0,2,0,0,0,0.0
Adoree' Jackson,11773,CB,NYG,8,12,,6.0,21,0,39.6,0,2,0,0,0,0.0
Duke Riley,11830,LB,MIA,3,4,,4.0,17,0,39.6,0,1,0,0,0,0.0
Jaylon Jones,124328,CB,IND,6,7,,7.0,14,0,39.6,0,1,0,0,0,0.0
Juanyeh Thomas,76655,S,DAL,5,14,,14.0,9,0,39.6,0,1,0,0,0,0.0
Decamerion Richardson,124183,CB,LV,8,15,,15.0,23,0,39.6,0,1,0,0,0,0.0
Anthony Johnson Jr.,76736,S,NYG,1,2,,2.0,21,0,39.6,0,1,0,0,0,0.0
Cedric Gray,122835,LB,TEN,1,2,,2.0,31,0,39.6,0,1,0,0,0,0.0
Jack Campbell,101515,LB,DET,14,34,,11.3,11,0,39.6,0,3,0,0,0,0.0
Nik Bonitto,77196,ED,DEN,5,7,,3.5,10,1,0.0,0,2,0,0,0,0.0
Damone Clark,81282,LB,DAL,2,3,,3.0,9,0,39.6,0,1,0,0,0,0.0
Sauce Gardner,100903,CB,NYJ,10,22,,22.0,22,0,39.6,0,1,0,0,0,0.0
Amani Oruwariye,50533,CB,DAL,5,10,,5.0,9,0,39.6,0,2,0,0,0,0.0
Mike Jackson,50437,CB,CAR,2,2,,2.0,5,0,39.6,0,1,0,0,0,0.0
Starling Thomas V,83098,CB,ARZ,2,5,,2.5,1,0,39.6,0,2,0,0,0,0.0
Alohi Gilman,41662,S,LAC,9,25,,25.0,27,0,39.6,0,1,0,0,0,0.0
Bryce Hall,42313,CB,TB,1,2,,2.0,30,0,39.6,0,1,0,0,0,0.0
Jay Ward,98833,S,MIN,2,9,,9.0,18,0,39.6,0,1,0,0,0,0.0
Krys Barnes,42548,LB,ARZ,11,20,,20.0,1,0,39.6,0,1,0,0,0,0.0
Tyrique Stevenson,97562,CB,CHI,5,6,,6.0,6,0,39.6,0,1,0,0,0,0.0
M.J. Stewart,49397,S,HST,3,7,,7.0,13,0,39.6,0,1,0,0,0,0.0
Drake Thomas,97525,LB,SEA,1,1,,1.0,29,0,39.6,0,1,0,0,0,0.0
Dax Hill,97519,CB,CIN,5,14,,14.0,7,0,39.6,0,1,0,0,0,0.0
Luke Masterson,45046,LB,LV,2,3,,3.0,23,0,39.6,0,1,0,0,0,0.0
