POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Desmond Ridder,QB,4,45.7,49.0,47.3,-,60.9,60.0,132,105,3,-,1,23,25.9,A,6'3",207,-,CINCINNATI,2022,3,74
-,Payton Thorne,QB,10,-,-,-,-,-,-,-,-,-,-,-,-,24.1,A,6'2",203,-,AUBURN,2025,-,-
-,Jake Browning,QB,6,61.0,-,60.0,-,-,60.0,5,-,2,-,-,3,29.3,A,6'2",209,-,WASHINGTON,2019,-,-
2nd of 42,Joe Burrow,QB,9,93.9,92.9,74.8,-,-,60.1,1131,775,20,-,-,336,28.7,A,6'4",215,-,LSU,2020,1,1
-,Cole Burgess,WR,17,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",192,-,CORTLAND STATE,2024,-,-
-,Kendric Pryor,WR,19,65.3,-,-,64.5,-,60.5,19,-,-,10,-,9,0.0,A,5'11",189,-,WISCONSIN,2022,-,-
-,Jordan Moore,WR,14,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",195,-,DUKE,2025,-,-
-,Rashod Owens,WR,12,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",230,-,OKLA STATE,2025,-,-
-,Jamoi Mayes,WR,16,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",205,-,CINCINNATI,2025,-,-
-,Charlie Jones,WR,15,51.6,-,-,52.7,-,53.7,26,-,-,17,-,9,26.8,A,5'11",188,4.4,PURDUE,2023,4,132
126th of 133,Andrei Iosivas,WR,80,52.7,-,-,54.3,65.7,36.7,891,-,-,619,1,271,25.8,A,6'3",212,4.4,PRINCETON,2023,6,208
-,Jermaine Burton,WR,81,58.4,-,-,59.4,-,41.3,131,-,-,100,-,31,24.1,A,6'0",194,-,ALABAMA,2024,3,80
6th of 133,Tee Higgins,WR,5,88.2,-,-,88.3,-,52.2,635,-,-,476,-,159,26.5,A,6'4",219,-,CLEMSON,2020,2,33
-,Mitchell Tinsley,WR,82,-,-,-,-,-,-,-,-,-,-,-,-,25.9,A,6'0",205,4.6,PENN STATE,2023,-,-
-,Isaiah Williams,WR,18,60.9,-,-,56.7,-,79.9,27,-,-,11,-,16,24.5,A,5'10",180,-,ILLINOIS,2024,-,-
11th of 133,Ja'Marr Chase,WR,1,85.8,-,75.0,84.9,-,63.2,1053,-,3,758,-,292,25.4,A,6'0",201,-,LSU,2021,1,5
18th of 59,Chase Brown,HB,30,75.7,-,73.8,78.8,62.3,61.1,685,-,232,369,67,17,25.4,A,5'9",215,4.4,ILLINOIS,2023,5,163
-,Quail Conley,HB,40,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",209,-,ARIZONA,2025,-,-
-,Tahj Brooks,HB,25,-,-,-,-,-,-,-,-,-,-,-,-,23.2,A,5'10",230,-,TEXAS TECH,2025,6,195
43rd of 59,Samaje Perine,HB,34,67.2,-,69.5,69.9,58.9,54.1,341,-,23,253,40,25,29.9,A,5'11",236,4.7,OKLAHOMA,2017,4,114
-,Kendall Milton,HB,36,60.2,-,-,56.7,73.5,60.0,6,-,-,3,1,2,23.5,A,6'1",220,-,GEORGIA,2024,-,-
-,Gary Brightwell,HB,32,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",218,-,ARIZONA,2021,6,197
-,Cam Grandy,TE,85,63.5,-,-,71.0,74.9,65.6,75,-,-,31,5,39,0.0,A,6'5",260,-,ILL STATE,2024,-,-
30th of 74,Noah Fant,TE,86,66.0,-,-,70.2,34.5,42.3,567,-,-,416,23,128,27.7,A,6'4",249,-,IOWA,2019,1,20
-,Tanner McLachlan,TE,84,60.1,-,-,59.8,-,60.0,5,-,-,1,-,4,26.4,A,6'5",240,-,ARIZONA,2024,6,195
-,Erick All,TE,83,60.7,-,-,63.3,77.7,49.9,231,-,-,108,14,109,24.9,APUP,6'5",250,-,IOWA,2024,4,110
14th of 74,Mike Gesicki,TE,88,71.5,-,-,71.1,56.0,61.4,523,-,-,439,11,73,29.8,A,6'6",245,4.5,PENN STATE,2018,2,42
-,Tanner Hudson,TE,87,67.4,-,62.6,66.8,73.0,54.6,119,-,1,84,11,23,30.7,A,6'5",239,-,SOUTHERN ARKANSAS,2018,-,-
70th of 74,Drew Sample,TE,89,48.5,-,-,47.7,47.9,50.2,654,-,-,260,99,295,29.3,A,6'5",255,-,WASHINGTON,2019,2,52
-,Seth McLaughlin,C,68,-,-,-,-,-,-,-,-,-,-,-,-,23.9,A,6'4",305,-,OHIO STATE,2025,-,-
-,Andrew Raym,C,66,-,-,-,-,-,-,-,-,-,-,-,-,24.3,A,6'4",309,-,OKLAHOMA,2024,-,-
21st of 40,Ted Karras,C,64,64.1,-,-,-,78.0,54.9,1136,-,-,-,775,361,32.4,A,6'4",310,-,ILLINOIS,2016,6,221
-,Dylan Fairchild,G,63,-,-,-,-,-,-,-,-,-,-,-,-,22.2,A,6'5",315,-,GEORGIA,2025,3,81
37th of 77,Lucas Patrick,G,62,64.6,-,-,-,60.3,66.3,562,-,-,-,330,232,32.0,A,6'3",313,-,DUKE,2016,-,-
51st of 77,Cordell Volson,G,67,59.1,-,-,-,48.8,65.6,984,-,-,-,662,322,27.0,A,6'6",315,-,N DAK ST,2022,4,136
-,Andrew Stueber,G,73,71.8,-,-,-,65.2,69.7,5,-,-,-,1,4,26.1,A,6'6",318,-,MICHIGAN,2022,7,246
-,Devin Cochran,T,76,50.6,-,-,-,50.8,57.5,152,-,-,-,100,52,0.0,A,6'7",310,-,GA TECH,2022,-,-
-,Jaxson Kirkland,T,60,49.3,-,-,-,-,50.3,3,-,-,-,-,3,27.0,A,6'7",328,-,WASHINGTON,2023,-,-
-,Caleb Etienne,T,77,-,-,-,-,-,-,-,-,-,-,-,-,23.9,A,6'8",320,-,BYU,2025,-,-
-,Jalen Rivers,T,74,-,-,-,-,-,-,-,-,-,-,-,-,22.9,A,6'5",325,-,MIAMI FL,2025,5,151
66th of 81,Orlando Brown Jr.,T,75,58.2,-,-,-,69.5,49.7,637,-,-,-,441,196,29.3,A,6'8",345,-,OKLAHOMA,2018,3,83
-,Matt Lee,T,65,57.3,-,-,-,71.7,63.3,27,-,-,-,5,22,24.2,A,6'4",295,-,MIAMI FL,2024,7,238
67th of 81,Amarius Mims,T,71,67.8,-,-,60.0,60.8,52.6,835,-,-,1,560,274,22.8,A,6'7",340,-,GEORGIA,2024,1,18
72nd of 81,Cody Ford,T,61,50.6,-,-,54.2,50.2,49.8,688,-,-,2,464,222,28.6,A,6'3",329,-,OKLAHOMA,2019,2,38
-,Andrew Coker,T,79,-,-,-,-,-,-,-,-,-,-,-,-,24.4,A,6'7",315,-,TCU,2024,-,-
-,Howard Cross III,DI,95,-,-,-,-,-,-,-,-,-,-,-,-,24.0,A,6'1",288,-,NOTRE DAME,2025,-,-
-,Eric Gregory,DI,94,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",320,-,ARKANSAS,2025,-,-
-,McTelvin Agim,DI,72,-,-,-,-,-,-,-,-,-,-,-,-,27.9,A,6'3",300,-,ARKANSAS,2020,3,95
-,McKinnley Jackson,DI,93,53.0,53.1,51.2,65.5,248,115,133,0,23.6,A,6'2",325,-,TEXAS A&M,2024,3,98
103rd of 118,Kris Jenkins,DI,90,45.4,46.6,53.5,52.4,496,235,260,1,23.8,A,6'3",305,-,MICHIGAN,2024,2,49
23rd of 118,B.J. Hill,DI,92,70.2,69.2,64.2,63.3,710,273,430,7,30.3,A,6'3",311,5.0,NC STATE,2018,3,69
107th of 118,J.J. Slaton,DI,98,43.0,44.0,56.6,56.0,487,233,252,2,0.0,A,6'5",330,-,FLORIDA,2021,5,174
90th of 119,Myles Murphy,ED,99,56.5,48.8,56.6,69.6,353,116,215,22,23.6,A,6'5",275,-,CLEMSON,2023,1,28
-,Maema Njongmeta,ED,45,78.4,72.7,-,71.1,31,14,-,17,0.0,A,6'0",240,-,WISCONSIN,2024,-,-
-,Shemar Stewart,ED,97,-,-,-,-,-,-,-,-,-,-,-,-,21.7,A,6'6",290,-,TEXAS A&M,2025,1,17
-,Cedric Johnson,ED,52,70.7,68.3,63.9,64.9,83,26,55,2,22.9,A,6'3",265,-,OLE MISS,2024,6,215
-,Cam Sample,ED,96,-,-,-,-,-,-,-,-,-,-,-,-,25.9,A,6'3",272,-,TULANE,2021,4,112
85th of 119,Joseph Ossai,ED,58,58.3,57.0,58.0,59.0,573,191,349,33,25.3,A,6'4",263,-,TEXAS,2021,3,69
9th of 119,Trey Hendrickson,ED,91,88.1,65.9,90.4,59.5,823,273,514,36,30.7,A,6'4",270,4.7,FAU,2017,3,103
-,Isaiah Thomas,ED,51,62.4,55.0,58.6,72.2,46,25,19,2,26.7,A,6'5",266,-,OKLAHOMA,2022,7,224
-,Raymond Johnson III,ED,56,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",264,-,GA SOUTHRN,2021,-,-
-,Nate Brooks,CB,41,-,-,-,-,-,-,-,-,-,-,-,-,28.9,A,6'0",180,-,N TEXAS,2019,-,-
-,Lance Robinson,CB,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",180,-,TULANE,2024,-,-
-,Bralyn Lux,CB,21,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",185,-,TEXAS TECH,2025,-,-
44th of 116,DJ Turner II,CB,20,67.8,57.1,-,68.4,508,179,-,329,24.7,A,5'11",180,4.3,MICHIGAN,2023,2,61
-,DJ Ivey,CB,38,54.7,68.1,58.6,52.5,59,5,1,53,25.4,A,6'1",192,-,MIAMI FL,2023,7,248
76th of 116,Josh Newton,CB,28,60.9,57.9,54.5,60.9,504,159,2,343,24.6,A,6'0",190,-,TCU,2024,5,150
-,Marco Wilson,CB,24,43.5,45.1,-,43.7,242,81,-,161,26.4,A,5'11",191,-,FLORIDA,2021,4,137
-,Jalen Davis,CB,35,50.4,62.3,48.9,50.8,49,11,5,33,29.5,A,5'10",190,-,UTAH ST,2018,-,-
64th of 116,Cam Taylor-Britt,CB,29,63.6,68.4,69.9,64.3,1036,395,2,639,25.8,A,5'11",202,-,NEBRASKA,2022,2,60
-,Dax Hill,CB,23,66.2,66.0,81.8,66.0,262,120,2,140,24.9,A,6'0",191,-,MICHIGAN,2022,1,31
-,PJ Jules,S,37,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",209,-,S ILLINOIS,2024,-,-
-,Shaquan Loyal,S,47,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",204,-,RUTGERS,2025,-,-
83rd of 98,Jordan Battle,S,27,53.1,59.0,46.5,53.0,464,162,21,281,24.6,A,6'1",206,4.5,ALABAMA,2023,3,95
-,Daijahn Anthony,S,33,64.4,-,-,64.1,12,-,-,12,24.9,A,6'0",205,-,OLE MISS,2024,7,225
83rd of 98,Geno Stone,S,22,53.1,45.5,63.4,53.7,1100,420,17,663,26.3,A,5'11",210,-,IOWA,2020,7,219
-,Jaylen Key,S,43,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",210,-,ALABAMA,2024,7,258
-,Tycen Anderson,S,26,70.9,-,-,60.7,1,-,-,1,26.1,A,6'2",209,-,TOLEDO,2022,5,166
-,Shaka Heyward,LB,50,93.4,87.1,-,69.1,12,10,-,2,25.3,A,6'3",236,4.5,DUKE,2023,-,-
-,Barrett Carter,LB,49,-,-,-,-,-,-,-,-,-,-,-,-,22.8,A,6'1",230,-,CLEMSON,2025,4,119
-,Demetrius Knight Jr.,LB,44,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",245,-,S CAROLINA,2025,2,49
-,Joe Giles-Harris,LB,53,73.7,77.2,60.0,50.6,17,8,1,8,28.3,A,6'2",234,-,DUKE,2019,-,-
4th of 84,Oren Burks,LB,42,86.0,77.1,72.3,82.4,377,119,17,241,30.4,A,6'3",233,4.6,VANDERBILT,2018,3,88
-,Craig Young,LB,59,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",225,-,KANSAS,2024,-,-
21st of 84,Logan Wilson,LB,55,72.4,90.0,55.8,57.0,743,297,75,371,29.1,A,6'2",245,-,WYOMING,2020,3,65
60th of 118,Taven Bryan,DI,70,58.2,55.3,65.3,60.4,340,179,159,2,29.4,A,6'4",291,5.0,FLORIDA,2018,1,29
