POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Ifeatu Melifonwu,S,9,54.5,51.1,60.5,58.4,178,41,10,127,26.3,A,6'3",210,-,SYRACUSE,2021,3,102
-,Dequan Jackson,LB,57,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",255,-,COLO STATE,2023,-,-
-,Eugene Asante,LB,51,-,-,-,-,-,-,-,-,-,-,-,-,24.5,A,6'1",219,-,AUBURN,2025,-,-
-,Willie Gay,LB,40,44.1,55.5,54.7,35.9,277,137,24,116,27.5,A,6'2",243,-,MISS STATE,2020,2,63
34th of 84,Tyrel Dodson,LB,11,67.3,47.0,56.4,82.9,854,341,58,455,27.1,A,6'0",237,-,TEXAS A&M,2019,-,-
83rd of 84,K.J. Britt,LB,3,45.0,57.3,58.6,40.9,632,241,54,337,0.0,A,6'0",235,-,AUBURN,2021,5,177
24th of 84,Jordyn Brooks,LB,20,71.3,83.0,77.5,55.1,1039,391,79,569,27.8,A,6'1",245,-,TEXAS TECH,2020,1,27
-,Channing Tindall,LB,41,-,-,-,-,-,-,-,-,-,-,-,-,25.4,A,6'2",232,-,GEORGIA,2022,3,102
-,Ben Stille,DI,97,47.7,41.9,56.8,-,120,40,80,-,0.0,A,6'5",296,-,NEBRASKA,2022,-,-
-,Matthew Butler,DI,91,55.4,58.6,57.6,60.4,101,59,40,2,26.2,A,6'4",290,-,TENNESSEE,2022,5,175
-,Alex Huntley,DI,86,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",303,-,S CAROLINA,2025,-,-
-,Zeek Biggers,DI,93,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",320,-,GA TECH,2025,7,255
-,Jordan Phillips,DI,94,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",320,-,MARYLAND,2025,5,143
-,Kenneth Grant,DI,90,-,-,-,-,-,-,-,-,-,-,-,-,21.8,A,6'3",339,-,MICHIGAN,2025,1,13
88th of 118,Benito Jones,DI,95,51.3,47.6,63.0,53.0,481,233,240,8,27.7,A,6'1",335,-,OLE MISS,2020,-,-
-,Matt Dickerson,DI,98,65.9,55.0,73.7,-,15,7,8,-,29.7,A,6'5",292,5.1,UCLA,2018,-,-
11th of 118,Zach Sieler,DI,92,78.6,69.5,71.5,69.0,749,268,471,10,26.9,A,6'6",305,-,FERRIS,2018,7,238
118th of 119,Matthew Judon,ED,8,43.0,53.6,53.9,31.1,655,240,328,87,33.0,A,6'3",270,4.7,GRAND VALLEY STATE,2016,5,146
-,Derrick McLendon II,ED,59,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",250,-,COLORADO,2024,-,-
-,Grayson Murphy,ED,42,-,-,-,-,-,-,-,-,-,-,-,-,24.8,A,6'3",260,-,UCLA,2024,-,-
-,Cameron Goode,ED,53,55.6,60.0,52.2,62.0,12,1,9,2,0.0,A,6'3",238,-,CAL,2022,7,225
-,Mohamed Kamara,ED,50,51.7,60.3,68.8,30.3,26,9,14,3,25.2,A,6'1",250,-,COLO STATE,2024,5,159
37th of 119,Chop Robinson,ED,44,70.0,55.4,78.7,52.4,565,170,344,51,22.6,A,6'3",250,-,PENN STATE,2024,1,21
-,Bradley Chubb,ED,2,-,-,-,-,-,-,-,-,-,-,-,-,29.1,A,6'4",275,4.7,NC STATE,2018,1,5
59th of 119,Quinton Bell,ED,56,64.8,69.0,65.9,49.0,258,131,83,44,29.2,A,6'4",253,-,PRVIEW A&M,2019,7,230
-,Jaelan Phillips,ED,15,66.1,67.5,65.2,60.4,134,50,66,18,26.2,A,6'5",263,-,MIAMI FL,2021,1,18
-,Tanner Conner,TE,80,49.0,-,-,53.4,-,60.1,25,-,-,18,-,7,0.0,A,6'3",232,-,IDAHO ST,2022,-,-
-,Darren Waller,TE,83,-,-,-,-,-,-,-,-,-,-,-,-,32.9,A,6'6",245,4.5,GA TECH,2015,6,204
-,Pharaoh Brown,TE,85,45.6,-,-,43.4,47.8,54.8,263,-,-,82,27,154,31.3,A,6'6",246,-,OREGON,2017,-,-
-,Hayden Rucci,TE,87,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",253,-,WISCONSIN,2024,-,-
-,Andrew Meyer,C,60,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",302,-,UTEP,2024,-,-
37th of 40,Daniel Brunskill,C,64,55.3,-,-,75.0,55.6,54.9,684,-,-,0,395,289,31.5,A,6'5",300,-,S DIEGO ST,2017,-,-
7th of 40,Aaron Brewer,C,55,74.8,-,-,-,70.2,75.8,1139,-,-,-,714,425,27.8,A,6'1",274,-,TEXAS ST,2020,-,-
-,Josh Phelps,G,68,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",306,-,MICHIGAN,2025,-,-
-,Addison West,G,65,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",305,-,W MICHIGAN,2025,-,-
