POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
70th of 84,Isaiah McDuffie,LB,58,55.3,63.3,68.9,46.4,728,314,35,379,26.0,A,6'1",227,-,BOSTON COL,2021,6,221
64th of 84,Quay Walker,LB,7,57.2,64.7,65.1,50.6,804,309,70,425,25.2,A,6'4",241,-,GEORGIA,2022,1,22
-,Keith Randolph Jr.,DI,00,-,-,-,-,-,-,-,-,-,-,-,-,23.9,IR,6'5",305,-,ILLINOIS,2024,-,-
-,Devonte O'Malley,DI,69,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",293,-,N ILLINOIS,2025,-,-
-,James Ester,DI,88,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",298,-,N ILLINOIS,2024,-,-
-,Colby Wooden,DI,96,50.0,47.7,60.7,54.9,260,102,156,2,24.6,A,6'4",273,4.8,AUBURN,2023,4,117
45th of 118,Karl Brooks,DI,94,61.8,39.7,61.1,75.6,459,155,298,6,25.2,A,6'4",298,-,BOWL GREEN,2023,6,181
-,Nazir Stackhouse,DI,93,-,-,-,-,-,-,-,-,-,-,-,-,23.3,A,6'3",320,-,GEORGIA,2025,-,-
-,Warren Brinson,DI,91,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",310,-,GEORGIA,2025,6,200
37th of 118,Devonte Wyatt,DI,95,66.4,52.0,71.4,70.2,366,109,250,7,27.4,A,6'3",304,-,GEORGIA,2022,1,28
53rd of 118,Kenny Clark,DI,97,60.0,58.4,62.7,64.4,725,284,435,6,29.8,A,6'3",314,5.1,UCLA,2016,1,27
-,Deslin Alexandre,ED,49,-,-,-,-,-,-,-,-,-,-,-,-,27.2,A,6'4",264,-,PITTSBURGH,2023,-,-
-,Arron Mosby,ED,53,62.5,67.7,49.6,75.8,150,52,85,13,0.0,A,6'4",245,-,FRESNO ST,2022,-,-
-,Brenton Cox Jr.,ED,57,67.2,64.1,66.4,60.6,187,73,112,2,25.5,A,6'4",250,4.8,FLORIDA,2023,-,-
107th of 119,Lukas Van Ness,ED,90,52.9,44.8,64.7,68.1,458,191,256,11,24.1,A,6'5",272,4.6,IOWA,2023,1,13
-,Collin Oliver,ED,45,-,-,-,-,-,-,-,-,-,-,-,-,22.9,APUP,6'2",240,-,OKLA STATE,2025,5,161
-,Baryn Sorrell,ED,99,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",260,-,TEXAS,2025,4,124
88th of 119,Kingsley Enagbare,ED,55,56.8,66.6,56.8,56.5,538,203,305,30,25.5,A,6'4",258,-,S CAROLINA,2022,5,179
25th of 119,Rashan Gary,ED,52,73.0,72.8,68.7,47.0,670,236,432,2,27.7,A,6'5",277,-,MICHIGAN,2019,1,12
-,Sean Clifford,QB,16,-,-,-,-,-,-,-,-,-,-,-,-,27.1,A,6'2",218,-,PENN STATE,2023,5,151
-,Malik Willis,QB,2,70.3,65.3,71.2,-,-,60.0,217,77,12,-,-,128,26.2,A,6'1",219,-,LIBERTY,2022,3,86
-,Taylor Elgersma,QB,19,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,6'6",212,-,WILFRED LAURIER,2025,-,-
20th of 42,Jordan Love,QB,10,75.8,74.3,58.0,-,-,60.3,932,528,14,-,-,390,26.8,A,6'4",219,-,UTAH ST,2020,1,26
-,Julian Hicks,WR,81,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",201,-,ALBANY,2024,-,-
-,Kawaan Baker,WR,17,-,-,-,-,-,-,-,-,-,-,-,-,27.0,A,6'1",215,-,S ALABAMA,2021,7,257
-,Isaiah Neyor,WR,80,-,-,-,-,-,-,-,-,-,-,-,-,24.2,A,6'4",220,-,NEBRASKA,2025,-,-
-,Will Sheppard,WR,82,-,-,-,-,-,-,-,-,-,-,-,-,23.5,A,6'3",205,-,COLORADO,2025,-,-
-,Malik Heath,WR,18,62.9,-,-,65.4,-,57.4,190,-,-,89,-,101,25.9,A,6'2",213,4.6,OLE MISS,2023,-,-
73rd of 133,Dontayvion Wicks,WR,13,65.1,-,-,63.8,-,71.1,637,-,-,345,-,292,24.1,A,6'1",206,4.8,VIRGINIA,2023,5,161
50th of 133,Jayden Reed,WR,11,71.7,-,63.5,71.6,66.2,61.2,719,-,19,442,1,257,25.3,A,5'11",187,4.5,MICH STATE,2023,2,51
-,Savion Williams,WR,83,-,-,-,-,-,-,-,-,-,-,-,-,23.7,A,6'5",225,-,TCU,2025,3,87
-,Matthew Golden,WR,22,-,-,-,-,-,-,-,-,-,-,-,-,22.0,A,6'0",195,-,TEXAS,2025,1,23
-,Mecole Hardman Jr.,WR,6,72.8,-,85.8,67.9,69.4,59.2,115,-,5,73,1,36,27.4,A,5'10",187,-,GEORGIA,2019,2,56
57th of 133,Romeo Doubs,WR,87,69.7,-,-,71.0,-,56.7,695,-,-,406,-,289,25.3,A,6'2",204,-,NEVADA,2022,4,132
55th of 133,Christian Watson,WR,9,70.0,-,61.8,72.2,66.2,52.2,554,-,5,294,1,254,26.2,APUP,6'5",208,-,N DAK ST,2022,2,34
-,Cornelius Johnson,WR,84,-,-,-,-,-,-,-,-,-,-,-,-,24.7,A,6'3",208,-,MICHIGAN,2024,7,254
-,Chris Brooks,HB,30,65.6,-,69.5,53.8,67.5,63.2,199,-,36,90,27,46,25.6,A,6'1",219,-,BYU,2023,-,-
-,Tyrion Davis-Price,HB,44,61.2,-,60.6,-,60.0,5,-,3,1,-,2,24.8,A,6'1",219,-,LSU,2022,3,93
12th of 59,Emanuel Wilson,HB,31,82.9,-,88.3,63.4,60.5,62.6,274,-,105,115,29,25,0.0,A,6'1",226,-,FRTVLY,2023,-,-
-,Israel Abanikanda,HB,23,-,-,-,-,-,-,-,-,-,-,-,-,22.8,A,5'11",215,-,PITTSBURGH,2023,5,145
-,Amar Johnson,HB,46,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",205,-,S DAK ST,2025,-,-
-,MarShawn Lloyd,HB,32,53.3,-,53.8,59.7,-,60.0,10,-,6,3,-,1,24.6,A,5'9",210,-,USC,2024,3,-
3rd of 59,Josh Jacobs,HB,8,92.3,-,91.3,89.2,55.3,55.2,717,-,333,281,71,32,27.5,A,5'10",223,-,ALABAMA,2019,1,24
23rd of 74,Tucker Kraft,TE,85,67.8,-,62.1,71.0,61.0,54.3,987,-,5,513,28,441,24.8,A,6'5",259,4.7,S DAK ST,2023,3,79
-,Ben Sims,TE,89,54.4,-,-,56.1,75.5,52.9,224,-,-,64,6,154,25.2,A,6'5",250,-,BAYLOR,2023,-,-
-,Luke Musgrave,TE,88,47.1,-,-,50.6,22.5,49.1,160,-,-,76,3,81,24.9,A,6'6",253,4.6,OREGON ST,2023,2,43
-,John FitzPatrick,TE,86,55.1,-,-,47.8,-,60.7,73,-,-,20,-,53,0.0,A,6'7",250,-,GEORGIA,2022,6,214
-,Johnny Lumpkin,TE,43,-,-,-,-,-,-,-,-,-,-,-,-,27.9,A,6'6",268,-,LA LAFAYET,2023,-,-
-,Messiah Swinson,TE,48,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'8",255,-,ARIZONA ST,2024,-,-
31st of 77,Elgton Jenkins,C,74,65.7,-,-,-,61.6,61.3,1073,-,-,-,564,509,29.6,A,6'5",311,-,MISS STATE,2019,2,44
-,Donovan Jennings,G,67,-,-,-,-,-,-,-,-,-,-,-,-,25.7,A,6'5",333,-,USF,2024,-,-
-,Lecitus Smith,G,68,58.1,-,-,-,-,58.1,5,-,-,-,-,5,27.1,A,6'3",314,-,VA TECH,2022,6,216
-,Kadeem Telfort,G,76,48.9,-,-,-,44.8,57.9,62,-,-,-,33,29,26.7,A,6'6",322,-,UAB,2023,-,-
-,Tyler Cooper,G,60,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",310,-,MINNESOTA,2025,-,-
-,J.J. Lippe,G,61,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",311,-,N ILLINOIS,2025,-,-
-,Travis Glover,G,79,35.1,-,-,-,12.6,44.4,41,-,-,-,19,22,0.0,IR,6'6",323,-,GA STATE,2024,6,203
-,Jacob Monk,G,62,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",320,-,DUKE,2024,5,164
-,Jordan Morgan,G,77,59.2,-,-,-,61.5,56.2,186,-,-,-,104,82,24.0,A,6'6",320,-,ARIZONA,2024,1,25
33rd of 77,Aaron Banks,G,65,65.4,-,-,-,60.5,68.9,775,-,-,-,471,304,27.9,A,6'5",325,-,NOTRE DAME,2021,2,48
