POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Tyler Higbee,TE,89,76.4,-,-,79.1,68.4,57.0,128,-,-,87,8,33,32.6,A,6'6",255,-,W KENTUCKY,2016,4,110
-,Dylan McMahon,C,63,38.3,-,-,-,25.8,49.7,68,-,-,-,46,22,24.5,A,6'4",305,-,NC STATE,2024,6,191
35th of 40,Beaux Limmer,C,50,55.5,-,-,-,40.2,65.4,1040,-,-,-,591,449,24.2,A,6'5",307,-,ARKANSAS,2024,6,218
12th of 40,Coleman Shelton,C,65,66.4,-,-,-,68.4,66.7,1121,-,-,-,743,378,30.0,A,6'5",299,5.2,WASHINGTON,2018,-,-
-,Justin Dedich,G,67,56.6,-,-,-,43.6,59.7,205,-,-,-,115,90,0.0,A,6'2",295,-,USC,2024,-,-
28th of 77,Steve Avila,G,73,66.1,-,-,-,50.6,70.6,720,-,-,-,426,294,25.8,A,6'3",332,5.2,TCU,2023,2,37
-,Willie Lampkin,G,62,-,-,-,-,-,-,-,-,-,-,-,-,23.5,A,5'11",290,-,N CAROLINA,2025,-,-
-,Wyatt Bowles,G,60,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",300,-,UTAH ST,2025,-,-
9th of 77,Kevin Dotson,G,69,78.2,-,-,-,60.2,82.3,1145,-,-,-,668,477,28.9,A,6'4",321,-,LA LAFAYET,2020,4,135
-,AJ Arcuri,T,61,25.9,-,-,-,1.9,55.8,51,-,-,-,33,18,0.0,A,6'7",320,-,MICH STATE,2022,7,262
-,David Quessenberry,T,68,55.2,-,-,-,50.7,56.2,133,-,-,-,84,49,35.0,A,6'5",310,5.1,S JOSE ST,2013,6,176
63rd of 81,Warren McClendon Jr.,T,71,59.8,-,-,-,51.5,69.9,333,-,-,-,218,115,24.3,A,6'4",300,-,GEORGIA,2023,5,176
-,D.J. Humphries,T,72,44.8,-,-,-,30.5,66.1,92,-,-,-,69,23,31.6,A,6'5",307,5.1,FLORIDA,2015,1,24
-,KT Leveston,T,70,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",330,-,KANSAS ST,2024,7,255
18th of 81,Alaric Jackson,T,77,78.4,-,-,-,79.2,75.2,1017,-,-,-,583,434,27.1,A,6'7",285,-,IOWA,2021,-,-
25th of 81,Rob Havenstein,T,79,75.8,-,-,-,68.3,79.6,805,-,-,-,442,363,33.2,A,6'8",330,5.5,WISCONSIN,2015,2,57
-,Stetson Bennett,QB,13,-,-,-,-,-,-,-,-,-,-,-,-,27.8,A,5'11",190,4.7,GEORGIA,2023,4,129
-,Jimmy Garoppolo,QB,11,70.8,71.5,53.6,-,-,60.0,66,46,1,-,-,19,33.8,A,6'2",225,5.0,E ILLINOIS,2014,2,62
21st of 42,Matthew Stafford,QB,9,74.7,73.3,57.0,58.4,-,60.0,1147,667,30,1,-,449,37.5,A,6'3",220,4.8,GEORGIA,2009,1,1
-,Drake Stoops,WR,6,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",189,-,OKLAHOMA,2024,-,-
-,Xavier Smith,WR,19,73.8,-,69.2,67.9,-,62.3,35,-,4,8,-,23,0.0,A,5'10",174,-,FL A&M,2023,-,-
-,Britain Covey,WR,10,65.4,-,-,63.2,-,78.2,51,-,-,36,-,15,0.0,A,5'8",173,-,UTAH,2022,-,-
1st of 133,Puka Nacua,WR,12,92.5,-,55.6,92.6,75.5,72.6,594,-,11,371,3,209,24.2,A,6'2",205,-,BYU,2023,5,179
-,Tru Edwards,WR,82,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",201,-,LA TECH,2025,-,-
-,Brennan Presley,WR,81,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'8",175,-,OKLA STATE,2025,-,-
-,Konata Mumpfield,WR,15,-,-,-,-,-,-,-,-,-,-,-,-,22.8,A,6'1",185,-,PITTSBURGH,2025,7,240
