POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Robbie Ouzts,FB,40,-,-,-,-,-,-,-,-,-,-,-,-,22.9,A,6'4",270,-,ALABAMA,2025,5,177
-,Nick Kallerup,TE,89,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",270,-,MINNESOTA,2025,-,-
-,Marshall Lang,TE,49,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",246,-,NWESTERN,2025,-,-
-,Elijah Arroyo,TE,18,-,-,-,-,-,-,-,-,-,-,-,-,22.3,A,6'4",245,-,MIAMI FL,2025,2,50
67th of 74,Eric Saubert,TE,81,51.2,-,-,49.1,31.8,63.3,377,-,-,162,22,193,31.2,A,6'5",253,-,DRAKE,2017,5,174
61st of 74,AJ Barner,TE,88,61.0,-,-,63.7,56.8,57.5,502,-,-,232,28,242,23.3,A,6'6",251,-,MICHIGAN,2024,4,122
-,Jalen Sundell,C,61,53.8,-,-,57.8,74.5,46.4,57,-,-,1,37,19,25.8,A,6'5",300,-,N DAK ST,2024,-,-
19th of 40,Olusegun Oluwatimi,C,55,64.2,-,-,-,54.8,65.8,435,-,-,-,260,175,26.0,A,6'2",309,5.4,MICHIGAN,2023,5,156
-,Federico Maranges,C,62,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",300,-,FAU,2025,-,-
72nd of 77,Anthony Bradford,G,75,48.3,-,-,-,48.5,57.7,578,-,-,-,392,186,24.3,A,6'4",332,5.1,LSU,2023,4,109
77th of 77,Sataoa Laumea,G,63,37.9,-,-,-,19.8,52.3,355,-,-,-,219,136,24.6,A,6'4",311,-,UTAH,2024,6,180
-,Christian Haynes,G,64,48.5,-,-,-,51.9,49.8,167,-,-,-,113,54,25.3,A,6'2",313,-,UCONN,2024,3,81
-,Luke Felix-Fualalo,T,73,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'8",310,-,HAWAII,2025,-,-
-,Amari Kight,T,79,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'7",318,-,UCF,2025,-,-
-,Mason Richman,T,78,-,-,-,-,-,-,-,-,-,-,-,-,23.2,A,6'6",312,-,IOWA,2025,7,236
-,Bryce Cabelduc,T,77,-,-,-,-,-,-,-,-,-,-,-,-,23.9,A,6'6",315,-,KANSAS,2025,6,194
-,Grey Zabel,T,76,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,6'6",305,-,N DAK ST,2025,1,18
-,Mike Jerrell,T,65,46.4,-,-,-,54.8,49.5,250,-,-,-,153,97,0.0,A,6'5",294,-,FINDLAY,2024,6,208
-,Josh Jones,T,74,49.8,-,-,-,73.5,52.2,64,-,-,-,12,52,28.1,A,6'5",310,-,HOUSTON,2020,3,72
55th of 81,Abraham Lucas,T,72,61.9,-,-,-,65.7,62.8,406,-,-,-,257,149,26.8,A,6'6",315,-,WASH STATE,2022,3,72
9th of 81,Charles Cross,T,67,82.5,-,-,-,81.3,77.9,1094,-,-,-,724,370,24.7,A,6'5",307,-,MISS STATE,2022,1,9
41st of 84,Tyrice Knight,LB,48,64.9,61.0,73.3,62.5,550,238,37,275,0.0,A,6'2",235,-,UTEP,2024,4,119
-,Josh Ross,LB,47,-,-,-,-,-,-,-,-,-,-,-,-,26.8,A,6'0",229,-,MICHIGAN,2022,-,-
54th of 84,Ernest Jones,LB,13,60.7,73.6,59.6,48.5,995,383,90,522,25.7,A,6'2",230,-,S CAROLINA,2021,3,104
-,Anthony Campbell,DI,93,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'7",300,-,MIAMI FL,2025,-,-
-,Mike Morris,DI,94,54.4,57.6,51.9,60.0,70,35,35,0,24.3,A,6'5",275,5.0,MICHIGAN,2023,5,163
-,Bubba Thomas,DI,69,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",303,-,S ALABAMA,2025,-,-
-,J.R. Singleton,DI,70,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",305,-,IOWA STATE,2025,-,-
115th of 118,Johnathan Hankins,DI,97,35.9,36.2,55.3,64.2,389,222,166,1,33.4,ANFI,6'3",320,5.3,OHIO STATE,2013,2,49
-,Rylie Mills,DI,98,-,-,-,-,-,-,-,-,-,-,-,-,24.0,ANFI,6'5",295,-,NOTRE DAME,2025,5,142
64th of 118,Byron Murphy II,DI,91,57.8,53.6,64.5,55.5,457,211,244,2,22.9,A,6'1",308,-,TEXAS,2024,1,16
21st of 118,Jarran Reed,DI,90,70.6,58.2,73.7,61.3,679,260,397,22,32.6,A,6'3",307,5.2,ALABAMA,2016,2,49
4th of 118,Leonard Williams,DI,99,87.1,79.5,72.3,72.2,750,261,473,16,31.1,A,6'5",302,5.0,USC,2015,1,6
-,Quinton Bohanna,DI,92,65.9,62.3,60.0,-,6,5,1,-,0.0,A,6'4",360,-,KENTUCKY,2021,6,193
-,Brandon Pili,DI,95,52.8,52.5,56.7,-,69,49,20,-,0.0,A,6'3",316,-,USC,2023,-,-
-,Tyreke Smith,ED,59,-,-,-,-,-,-,-,-,-,-,-,-,25.5,A,6'3",254,-,OHIO STATE,2022,5,158
-,Seth Coleman,ED,43,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",250,-,ILLINOIS,2025,-,-
77th of 119,Derick Hall,ED,58,60.0,45.7,67.6,71.8,673,268,369,36,24.4,A,6'3",254,4.5,AUBURN,2023,2,38
-,Connor O'Toole,ED,57,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",250,-,UTAH,2025,-,-
-,Jalan Gaines,ED,56,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",245,-,ILL STATE,2025,-,-
-,Jared Ivey,ED,51,-,-,-,-,-,-,-,-,-,-,-,-,23.7,A,6'6",265,-,OLE MISS,2025,-,-
-,DeMarcus Lawrence,ED,0,56.8,62.4,53.9,60.3,167,75,89,3,33.3,A,6'3",265,4.8,BOISE ST,2014,2,34
24th of 119,Boye Mafe,ED,53,75.1,77.8,66.6,67.3,608,202,345,61,26.7,A,6'4",261,-,MINNESOTA,2022,2,40
-,Jamie Sheriff,ED,50,61.5,58.9,62.6,-,17,9,8,-,0.0,A,6'2",265,-,S ALABAMA,2024,-,-
-,Uchenna Nwosu,ED,7,63.0,72.9,56.9,47.8,190,62,111,17,28.6,A,6'2",251,4.7,USC,2018,2,48
-,Jalen Milroe,QB,6,-,-,-,-,-,-,-,-,-,-,-,-,22.6,A,6'2",225,-,ALABAMA,2025,3,92
40th of 42,Drew Lock,QB,2,53.6,48.2,90.7,-,-,60.0,320,216,8,-,-,96,28.7,A,6'4",228,-,MISSOURI,2019,2,42
13th of 42,Sam Darnold,QB,14,80.7,77.5,82.5,55.2,61.3,60.1,1184,725,44,2,1,412,28.2,A,6'3",225,4.8,USC,2018,1,3
119th of 133,Jake Bobo,WR,19,55.4,-,-,56.2,67.4,53.5,320,-,-,162,2,156,27.0,A,6'4",206,-,UCLA,2023,-,-
-,Tyrone Broden,WR,85,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'7",200,-,ARKANSAS,2025,-,-
20th of 133,Jaxon Smith-Njigba,WR,11,81.0,59.7,50.6,83.5,-,44.3,945,1,5,670,-,269,23.5,A,6'0",196,-,OHIO STATE,2023,1,20
-,Ricky White,WR,86,-,-,-,-,-,-,-,-,-,-,-,-,23.5,A,6'1",190,-,UNLV,2025,7,240
-,Tory Horton,WR,15,-,-,-,-,-,-,-,-,-,-,-,-,22.7,A,6'3",185,-,COLO STATE,2025,5,168
-,Steven Sims,WR,84,56.1,-,59.5,55.7,-,58.2,29,-,2,11,-,16,28.3,A,5'10",176,-,KANSAS,2019,-,-
-,Cody White,WR,82,66.6,-,-,66.8,-,56.3,62,-,-,31,-,31,26.7,A,6'3",215,-,MICH STATE,2020,-,-
51st of 133,Cooper Kupp,WR,10,71.4,-,58.6,72.3,51.0,51.1,734,-,2,453,2,277,32.1,A,6'2",208,4.6,E WASHINGTON,2017,3,69
93rd of 133,Marquez Valdes-Scantling,WR,1,61.7,-,58.5,60.8,-,63.7,477,-,1,315,-,161,30.8,A,6'4",206,4.4,USF,2018,5,174
-,Dareke Young,WR,83,56.9,-,-,57.2,-,56.7,28,-,-,6,-,22,0.0,A,6'3",215,-,LENOIR - RHYNE,2022,7,234
-,John Rhys Plumlee,WR,17,-,-,-,-,-,-,-,-,-,-,-,-,24.6,A,6'0",200,-,UCF,2024,-,-
-,George Holani,HB,36,73.2,-,70.3,64.5,-,-,5,-,3,2,-,-,0.0,A,5'11",209,-,BOISE ST,2024,-,-
-,Anthony Tyus III,HB,35,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",226,-,OHIO,2025,-,-
-,Kenny McIntosh,HB,25,67.3,-,69.0,58.7,44.3,59.6,76,-,34,28,9,5,25.4,IR,6'0",204,4.6,GEORGIA,2023,7,239
15th of 59,Zach Charbonnet,HB,26,77.5,-,78.8,66.8,74.2,62.6,567,-,141,300,100,26,24.6,A,6'0",214,4.5,UCLA,2023,2,53
-,Jashaun Wright,HB,31,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",220,-,MO STATE,2025,-,-
-,Damien Martinez,HB,22,-,-,-,-,-,-,-,-,-,-,-,-,21.5,A,6'0",232,-,MIAMI FL,2025,7,225
7th of 59,Kenneth Walker III,HB,9,88.5,-,91.3,72.9,29.7,68.7,468,-,160,244,44,20,24.8,A,5'9",211,-,MICH STATE,2022,2,41
-,Wesley Steiner,FB,44,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",242,-,WASH STATE,2025,-,-
-,Brady Russell,FB,38,66.0,-,-,52.7,77.4,67.3,33,-,-,8,2,23,0.0,A,6'3",247,-,COLORADO,2023,-,-
107th of 116,Josh Jobe,CB,29,51.0,64.5,-,49.9,443,130,-,313,27.3,A,5'11",190,-,ALABAMA,2022,-,-
-,Keydrain Calligan,CB,17,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",200,-,SE LA,2025,-,-
16th of 116,Devon Witherspoon,CB,21,75.8,90.0,78.3,68.7,1103,420,42,641,24.7,A,5'11",181,-,ILLINOIS,2023,1,5
63rd of 116,Shaquill Griffin,CB,24,63.7,71.7,-,61.6,597,146,-,451,30.0,A,6'0",198,4.4,UCF,2017,3,90
-,Isas Waxter,CB,36,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",215,-,VILLANOVA,2025,-,-
-,Nehemiah Pritchett,CB,28,29.5,27.0,-,35.6,151,52,-,99,24.5,A,6'1",184,-,AUBURN,2024,5,137
-,Shemar Jean-Charles,CB,34,58.5,45.6,-,62.8,143,61,-,82,0.0,A,5'10",194,-,APP STATE,2021,5,179
-,Tyler Hall,CB,33,-,-,-,-,-,-,-,-,-,-,-,-,27.8,A,5'10",190,-,WYOMING,2020,-,-
43rd of 116,Tariq Woolen,CB,27,67.9,76.2,58.6,65.7,889,336,6,547,26.3,A,6'4",205,-,UTSA,2022,5,153
-,Damarion Williams,CB,37,-,-,-,-,-,-,-,-,-,-,-,-,27.1,A,5'10",180,-,HOUSTON,2022,4,141
-,Jerrick Reed II,S,32,62.8,60.0,-,62.0,5,1,-,4,25.0,A,5'10",195,-,NEW MEXICO,2023,6,200
-,Nick Emmanwori,S,3,-,-,-,-,-,-,-,-,-,-,-,-,21.5,A,6'3",227,-,S CAROLINA,2025,2,35
-,D'Anthony Bell,S,23,57.3,66.5,60.0,51.9,92,53,7,32,0.0,A,6'1",211,-,WEST FLORIDA ARGONAUTS,2022,-,-
7th of 98,Julian Love,S,20,82.2,89.5,54.4,77.4,1079,408,13,658,27.4,A,5'11",195,-,NOTRE DAME,2019,4,108
22nd of 98,Coby Bryant,S,8,72.8,79.5,70.6,68.0,785,285,6,494,26.4,A,6'1",193,-,CINCINNATI,2022,4,109
-,AJ Finley,S,30,71.9,62.1,59.1,70.3,50,12,1,37,23.9,IR,6'3",188,-,OLE MISS,2023,-,-
-,Ty Okada,S,39,54.8,51.2,-,59.6,33,11,-,22,26.2,A,5'11",185,-,MONTANA ST,2023,-,-
-,Patrick O'Connell,LB,52,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",230,-,MONTANA,2023,-,-
-,Alphonzo Tuputala,LB,35,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",230,-,WASHINGTON,2025,-,-
-,D'Eryk Jackson,LB,46,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",244,-,KENTUCKY,2025,-,-
-,Drake Thomas,LB,42,48.4,64.2,55.8,43.9,37,14,2,21,25.4,A,6'0",223,-,NC STATE,2023,-,-
