POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
18th of 42,Aaron Rodgers,QB,8,77.6,76.1,71.9,60.0,-,60.6,1031,684,6,1,-,340,41.7,A,6'2",223,4.7,CAL,2005,1,24
-,Will Howard,QB,18,-,-,-,-,-,-,-,-,-,-,-,-,23.9,A,6'4",235,-,OHIO STATE,2025,6,187
34th of 42,Mason Rudolph,QB,2,62.5,61.5,65.3,-,-,60.6,473,276,12,-,-,185,30.1,A,6'5",235,4.9,OKLA STATE,2018,3,76
-,Skylar Thompson,QB,17,39.7,41.8,55.3,-,-,60.0,58,41,0,-,-,17,28.2,A,6'2",219,-,KANSAS ST,2022,7,248
-,Brandon Johnson,WR,11,65.2,-,-,64.2,-,61.5,19,-,-,10,-,9,0.0,A,6'2",195,-,UCF,2022,-,-
-,Max Hurleman,WR,34,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",201,-,NOTRE DAME,2025,-,-
108th of 133,Robert Woods,WR,16,58.8,-,-,57.8,75.1,58.5,404,-,-,222,4,178,33.3,A,6'0",195,4.5,USC,2013,2,41
-,Ke'Shawn Williams,WR,85,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'9",189,-,INDIANA,2025,-,-
-,Roman Wilson,WR,10,56.7,-,-,60.0,-,53.9,5,-,-,1,-,4,24.1,A,6'0",192,-,MICHIGAN,2024,3,84
-,Ben Skowronek,WR,15,69.5,-,-,68.4,69.7,72.2,109,-,-,51,3,55,28.1,A,6'3",224,-,NOTRE DAME,2021,7,251
-,Scott Miller,WR,13,61.9,-,-,61.1,-,61.1,209,-,-,92,-,117,28.0,A,5'9",174,-,BOWL GREEN,2019,6,208
37th of 133,D.K. Metcalf,WR,4,73.9,-,-,74.6,-,56.3,829,-,-,590,-,239,27.6,A,6'3",229,-,OLE MISS,2019,2,64
-,Lance McCutcheon,WR,82,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",202,-,MONTANA ST,2022,-,-
70th of 133,Calvin Austin III,WR,19,63.8,-,-,64.6,-,47.9,627,-,-,423,-,204,26.4,A,5'8",162,-,MEMPHIS,2022,4,138
-,Lew Nichols,HB,35,-,-,-,-,-,-,-,-,-,-,-,-,24.0,A,5'11",220,-,C MICHIGAN,2023,7,237
-,Trey Sermon,HB,27,54.1,-,56.0,46.4,57.2,67.5,245,-,56,129,50,10,26.5,A,6'0",215,-,OHIO STATE,2021,3,89
-,Kaleb Johnson,HB,20,-,-,-,-,-,-,-,-,-,-,-,-,22.0,A,6'0",225,-,IOWA,2025,3,83
59th of 59,Kenneth Gainwell,HB,14,56.0,-,53.1,71.8,45.0,47.1,342,-,88,143,43,68,26.4,A,5'9",200,-,MEMPHIS,2021,5,151
46th of 59,Jaylen Warren,HB,30,64.3,-,68.3,70.9,22.4,52.5,473,-,125,250,68,30,26.8,A,5'8",215,-,OKLA STATE,2022,-,-
5th of 74,Jonnu Smith,TE,81,77.7,-,57.0,83.4,69.6,40.5,626,-,2,478,26,120,30.0,A,6'3",248,4.6,FIU,2017,3,100
17th of 74,Darnell Washington,TE,80,71.2,-,-,69.9,68.3,67.2,602,-,-,177,80,345,24.0,A,6'6",264,4.6,GEORGIA,2023,3,94
-,JJ Galbreath,TE,87,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",240,-,S DAKOTA,2025,-,-
-,Donald Parham Jr.,TE,89,-,-,-,-,-,-,-,-,-,-,-,-,28.0,IR,6'8",237,-,STETSON,2019,-,-
-,Connor Heyward,TE,83,53.2,-,-,53.8,86.5,65.8,211,-,-,67,17,127,26.5,A,6'0",230,-,MICH STATE,2022,6,209
-,Mark Robinson,LB,93,71.2,71.1,56.2,64.0,13,7,1,5,0.0,A,5'11",235,-,OLE MISS,2022,7,226
-,Jacob Slade,DI,00,-,-,-,-,-,-,-,-,-,-,-,-,25.5,IR,6'4",293,-,MICH STATE,2023,-,-
-,Domenique Davis,DI,69,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",326,-,UNC PEMBROKE BRAVES,2020,-,-
29th of 118,Keeanu Benton,DI,95,69.5,47.4,76.8,76.1,671,294,377,0,24.1,A,6'4",309,5.1,WISCONSIN,2023,2,50
-,Kyler Baugh,DI,65,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",305,-,MINNESOTA,2024,-,-
-,Yahya Black,DI,78,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",317,-,IOWA,2025,5,166
-,Derrick Harmon,DI,99,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",310,-,OREGON,2025,1,21
-,Isaiahh Loudermilk,DI,92,59.3,63.9,55.2,54.7,255,122,133,0,0.0,A,6'7",283,-,WISCONSIN,2021,5,157
-,Esezi Otomewo,DI,72,46.6,29.8,71.5,59.8,90,35,53,2,26.4,A,6'5",282,-,MINNESOTA,2022,5,165
-,Logan Lee,DI,91,-,-,-,-,-,-,-,-,-,-,-,-,25.1,A,6'5",291,-,IOWA,2024,6,179
52nd of 118,Daniel Ekuale,DI,96,60.3,62.7,51.9,64.5,723,348,375,0,31.6,A,6'3",310,-,WASH STATE,2018,-,-
-,Dean Lowry,DI,94,34.3,28.0,67.4,60.0,159,87,71,1,31.2,IR,6'6",296,4.9,NWESTERN,2016,4,137
2nd of 118,Cameron Heyward,DI,97,90.1,79.6,85.9,61.8,838,337,501,0,36.4,A,6'5",295,-,OHIO STATE,2011,1,31
17th of 119,Nick Herbig,ED,51,80.7,48.2,91.5,47.9,433,166,227,40,23.7,A,6'2",240,4.7,WISCONSIN,2023,4,133
-,Jack Sawyer,ED,33,-,-,-,-,-,-,-,-,-,-,-,-,23.3,A,6'5",260,-,OHIO STATE,2025,4,123
-,Julius Welschof,ED,45,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",265,-,CHARLOTTE,2024,-,-
8th of 119,Alex Highsmith,ED,56,89.0,78.3,89.2,80.0,592,237,323,32,28.0,A,6'4",242,-,CHARLOTTE,2020,3,102
-,DeMarvin Leal,ED,98,68.3,73.8,55.4,61.8,51,22,27,2,24.4,A,6'4",290,-,TEXAS A&M,2022,3,84
-,Ettu Leota,ED,53,52.0,49.1,53.2,66.5,69,37,26,6,26.2,A,6'3",252,-,AUBURN,2023,-,-
3rd of 119,T.J. Watt,ED,90,91.7,90.3,90.1,70.0,1002,370,599,33,30.8,A,6'4",252,4.7,WISCONSIN,2017,1,30
24th of 74,Pat Freiermuth,TE,88,67.2,-,-,70.0,52.6,44.7,802,-,-,496,21,285,26.8,A,6'5",258,-,PENN STATE,2021,2,55
-,Ryan McCollum,C,62,50.3,-,-,-,41.5,52.2,153,-,-,-,75,78,27.4,A,6'5",300,-,TEXAS A&M,2021,-,-
5th of 40,Zach Frazier,C,54,77.9,-,-,-,68.6,80.5,1021,-,-,-,585,436,23.9,A,6'3",310,-,W VIRGINIA,2024,2,51
-,Andrus Peat,G,68,32.3,-,-,-,30.8,34.3,57,-,-,-,38,19,31.8,A,6'7",316,5.2,STANFORD,2015,1,13
57th of 77,Spencer Anderson,G,74,56.7,-,-,-,64.9,55.7,357,-,-,-,196,161,25.2,A,6'5",305,-,MARYLAND,2023,7,253
-,Aiden Williams,G,71,-,-,-,-,-,-,-,-,-,-,-,-,24.9,A,6'6",315,-,-,2025,-,-
-,Max Scharping,G,64,74.3,-,-,-,77.0,69.0,7,-,-,-,4,3,29.0,A,6'6",325,-,N ILLINOIS,2019,2,55
26th of 77,Isaac Seumalo,G,73,66.3,-,-,-,62.7,69.2,872,-,-,-,505,367,31.8,A,6'4",303,5.2,OREGON ST,2016,3,79
54th of 77,Mason McCormick,G,66,57.7,-,-,-,63.2,53.7,936,-,-,-,523,413,25.2,A,6'5",315,-,S DAK ST,2024,4,120
-,Steven Jones,G,79,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",340,-,OREGON,2024,-,-
-,Gareth Warren,T,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'6",332,-,LNDNWD,2025,-,-
65th of 81,Broderick Jones,T,77,58.7,-,-,-,55.0,64.1,1117,-,-,-,630,487,24.2,A,6'5",311,5.0,GEORGIA,2023,1,14
-,Calvin Anderson,T,67,68.9,-,-,-,66.2,68.5,40,-,-,-,30,10,29.4,A,6'5",305,-,TEXAS,2019,-,-
-,Troy Fautanu,T,76,64.4,-,-,-,69.3,59.3,55,-,-,-,29,26,24.8,A,6'4",317,-,WASHINGTON,2024,1,20
-,Dylan Cook,T,60,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",305,-,MONTANA,2022,-,-
-,Daryl Porter Jr.,CB,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",185,-,MIAMI FL,2025,-,-
-,Cameron McCutcheon,CB,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'3",204,-,W CAROLINA,2023,-,-
98th of 116,Joey Porter Jr.,CB,24,54.6,55.4,60.0,56.3,1038,392,0,646,25.0,A,6'2",193,4.5,PENN STATE,2023,2,33
11th of 116,Jalen Ramsey,CB,5,76.9,85.7,76.5,71.9,1027,373,47,607,30.8,A,6'1",208,4.4,FLORIDA ST,2016,1,5
-,Cory Trice Jr.,CB,27,69.4,47.5,-,75.3,194,64,-,130,25.2,A,6'3",206,4.5,PURDUE,2023,7,243
-,Donte Kent,CB,34,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",185,-,C MICHIGAN,2025,7,231
-,James Pierre,CB,42,56.2,61.3,-,54.8,207,86,-,121,28.9,A,6'2",185,-,FAU,2020,-,-
96th of 116,Beanie Bishop Jr.,CB,31,55.6,55.8,60.2,57.1,550,171,14,365,25.6,A,5'10",184,-,W VIRGINIA,2024,-,-
94th of 116,Brandin Echols,CB,26,56.0,40.1,-,61.2,406,163,-,243,27.8,A,5'10",175,-,KENTUCKY,2021,6,201
23rd of 116,Darius Slay,CB,23,73.3,58.1,-,75.5,946,321,-,625,34.6,A,6'0",190,4.4,MISS STATE,2013,2,36
-,D'Shawn Jamison,CB,17,-,-,-,-,-,-,-,-,-,-,-,-,26.2,A,5'10",186,-,TEXAS,2023,-,-
92nd of 98,Chuck Clark,S,21,50.8,70.5,60.0,45.1,709,310,10,389,30.3,A,6'0",210,4.5,VA TECH,2017,6,186
-,Sebastian Castro,S,29,-,-,-,-,-,-,-,-,-,-,-,-,24.8,A,5'11",205,-,IOWA,2025,-,-
42nd of 98,Juan Thornhill,S,22,65.5,61.7,66.9,64.5,401,151,1,249,29.8,A,6'0",205,-,VIRGINIA,2019,2,63
27th of 98,DeShon Elliott,S,25,71.1,83.9,63.7,63.3,895,352,28,515,28.3,A,6'1",210,4.6,TEXAS,2018,6,190
-,Miles Killebrew,S,28,75.5,71.4,-,60.0,17,16,-,1,32.2,A,6'2",222,4.7,SO UTAH,2016,4,111
-,Carson Bruener,LB,44,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",226,-,WASHINGTON,2025,7,228
-,Cole Holcomb,LB,55,-,-,-,-,-,-,-,-,-,-,-,-,29.0,A,6'1",240,-,N CAROLINA,2019,5,173
