POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
28th of 84,Azeez Al-Shaair,LB,0,69.3,82.7,68.3,56.7,672,254,41,377,28.0,A,6'2",228,-,FAU,2019,-,-
-,Christian Harris,LB,48,39.1,53.0,56.0,39.4,180,72,12,96,24.6,A,6'1",226,-,ALABAMA,2022,3,75
-,Jake Hansen,LB,35,78.0,85.5,64.2,62.7,136,56,10,70,27.1,A,6'1",235,-,ILLINOIS,2022,-,-
-,Haggai Ndubuisi,DI,64,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",323,-,NO COLLEGE,2022,-,-
-,Junior Tafuna,DI,53,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",308,-,UTAH,2025,-,-
116th of 118,Folorunso Fatukasi,DI,91,35.6,33.9,56.9,65.7,366,186,180,0,30.4,A,6'4",318,5.3,UCONN,2018,6,180
68th of 118,Mario Edwards Jr.,DI,97,57.5,45.7,69.2,65.7,519,172,347,0,31.5,A,6'3",280,4.8,FLORIDA ST,2015,2,35
72nd of 118,Sheldon Rankins,DI,90,55.3,46.2,58.9,71.2,267,124,163,0,31.3,A,6'2",305,5.0,LOUISVILLE,2016,1,12
56th of 118,Tim Settle,DI,98,58.6,45.3,68.7,64.7,685,247,438,0,28.1,A,6'3",313,-,VA TECH,2018,5,163
-,Kurt Hinish,DI,93,56.2,56.0,55.3,-,231,124,107,-,26.3,APUP,6'2",300,-,NOTRE DAME,2022,-,-
61st of 118,Tommy Togiai,DI,72,58.1,53.2,66.1,59.3,280,132,147,1,25.9,A,6'2",296,-,OHIO STATE,2021,4,132
-,Solomon Byrd,ED,50,74.8,69.2,67.0,-,20,11,9,-,25.7,A,6'3",250,-,USC,2024,7,239
-,Dylan Horton,ED,92,61.3,70.5,48.4,61.1,217,95,119,3,25.0,A,6'4",275,-,TCU,2023,4,110
10th of 119,Will Anderson Jr.,ED,51,87.8,78.8,78.3,85.9,645,217,418,10,23.9,A,6'3",243,4.6,ALABAMA,2023,1,3
-,Kyonte Hamilton,ED,58,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'4",304,-,RUTGERS,2025,7,226
-,Casey Toohill,ED,94,51.1,47.2,53.0,71.5,249,130,118,1,29.0,A,6'5",254,-,STANFORD,2020,7,233
83rd of 119,Darrell Taylor,ED,52,59.1,48.9,70.5,53.1,374,134,225,15,28.4,A,6'4",255,-,TENNESSEE,2020,2,48
26th of 119,Derek Barnett,ED,95,74.2,73.9,67.0,60.0,413,172,241,0,29.1,A,6'3",259,4.9,TENNESSEE,2017,1,14
12th of 119,Danielle Hunter,ED,55,84.6,73.2,81.1,71.1,859,292,560,7,30.8,A,6'5",263,4.6,LSU,2015,3,88
74th of 119,Denico Autry,ED,96,60.6,54.1,65.2,56.4,351,88,259,4,35.1,APUP,6'5",285,-,MISS STATE,2014,-,-
-,Jakob Johnson,FB,43,41.7,-,-,-,73.2,42.7,12,-,-,-,2,10,30.6,A,6'3",255,-,TENNESSEE,2019,-,-
-,Harrison Bryant,TE,88,60.0,-,-,64.6,47.8,52.5,213,-,-,75,27,111,27.3,A,6'5",230,-,FAU,2020,4,115
-,Luke Lachey,TE,42,-,-,-,-,-,-,-,-,-,-,-,-,24.1,A,6'6",247,-,IOWA,2025,7,257
40th of 74,Dalton Schultz,TE,86,61.1,-,-,65.1,33.3,55.6,968,-,-,605,70,293,29.1,A,6'5",244,4.8,STANFORD,2018,4,137
-,Irv Smith Jr.,TE,83,51.2,-,-,43.9,55.3,62.2,124,-,-,31,14,79,27.0,A,6'2",240,-,ALABAMA,2019,2,50
65th of 74,Cade Stover,TE,87,52.1,-,-,51.7,23.8,63.0,435,-,-,185,40,230,25.1,A,6'4",251,-,OHIO STATE,2024,4,124
-,Brevin Jordan,TE,9,65.7,-,-,61.1,59.0,64.3,67,-,-,19,5,43,25.1,IR,6'3",245,-,MIAMI FL,2021,5,148
-,Jaylon Thomas,C,72,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",311,-,SMU,2023,-,-
-,Eli Cox,C,65,-,-,-,-,-,-,-,-,-,-,-,-,24.8,A,6'4",309,-,KENTUCKY,2025,-,-
21st of 40,Jarrett Patterson,C,54,64.1,-,-,-,69.9,58.8,688,-,-,-,442,246,25.9,A,6'5",310,5.3,NOTRE DAME,2023,6,203
26th of 40,Juice Scruggs,G,70,63.5,-,-,-,62.1,64.4,944,-,-,-,586,358,25.5,A,6'3",308,5.2,PENN STATE,2023,2,63
-,Jake Andrews,G,60,-,-,-,-,-,-,-,-,-,-,-,-,25.7,A,6'3",308,5.2,TROY,2023,4,108
66th of 77,Ed Ingram,G,69,54.0,-,-,-,49.1,58.1,580,-,-,-,332,248,26.5,A,6'3",307,-,LSU,2022,2,59
44th of 77,Laken Tomlinson,G,75,62.5,-,-,-,66.0,59.7,1094,-,-,-,724,370,33.5,A,6'3",323,5.3,DUKE,2015,1,28
39th of 81,Tytus Howard,G,71,70.2,-,-,-,74.9,61.3,1157,-,-,-,741,416,29.2,A,6'5",322,-,ALABAMA ST,2019,1,23
-,LaDarius Henderson,T,73,-,-,-,-,-,-,-,-,-,-,-,-,23.7,A,6'4",315,-,MICHIGAN,2024,7,250
-,Conor McDermott,T,68,-,-,-,-,-,-,-,-,-,-,-,-,32.6,A,6'8",310,5.2,UCLA,2017,6,211
-,Aireontae Ersery,T,79,-,-,-,-,-,-,-,-,-,-,-,-,23.5,A,6'6",330,-,MINNESOTA,2025,2,48
-,Trent Brown,T,77,65.2,-,-,-,64.2,68.4,139,-,-,-,98,-,32.3,APUP,6'8",370,5.3,FLORIDA,2015,7,244
53rd of 81,Cam Robinson,T,74,63.2,-,-,-,67.2,60.0,1073,-,-,-,685,388,29.8,A,6'6",335,5.2,ALABAMA,2017,2,34
79th of 81,Blake Fisher,T,57,44.7,-,-,-,46.7,43.8,478,-,-,-,305,173,22.4,A,6'6",312,-,NOTRE DAME,2024,2,59
-,Austin Deculus,T,76,65.2,-,-,-,76.9,59.4,39,-,-,-,12,27,26.4,A,6'5",321,-,LSU,2022,6,200
-,Zach Thomas,T,78,58.1,-,-,-,57.7,55.6,101,-,-,-,57,44,27.2,A,6'5",300,-,S DIEGO ST,2022,6,186
