POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,James Williams,LB,52,55.0,60.7,54.7,51.5,111,64,4,43,22.5,A,6'5",215,-,MIAMI FL,2024,7,243
-,Cedric Gray,LB,51,36.8,43.5,-,45.0,48,39,-,9,22.8,A,6'2",235,-,N CAROLINA,2024,4,107
42nd of 84,Cody Barton,LB,50,64.3,76.9,61.3,53.9,1129,388,102,639,28.7,A,6'2",237,-,UTAH,2019,3,88
-,T.J. Smith,DI,95,47.1,44.7,55.2,-,54,21,33,-,0.0,A,6'3",300,-,ARKANSAS,2020,-,-
-,Josiah Bronson,DI,73,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",300,-,WASHINGTON,2021,-,-
-,Timmy Horne,DI,94,-,-,-,-,-,-,-,-,-,-,-,-,27.8,A,6'4",323,-,KANSAS ST,2022,-,-
86th of 118,Jihad Ward,DI,53,51.5,42.1,58.0,70.0,505,82,416,7,31.2,A,6'5",297,5.1,ILLINOIS,2016,2,44
-,Carlos Watkins,DI,96,60.2,63.0,50.9,62.6,228,110,118,0,31.7,A,6'3",305,-,CLEMSON,2017,4,142
-,Cam Horsley,DI,72,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",306,-,BOSTON COL,2025,-,-
-,Isaiah Raikes,DI,76,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",323,-,AUBURN,2025,-,-
-,James Lynch,DI,97,60.1,60.7,56.2,59.7,243,115,127,1,26.5,A,6'4",295,-,BAYLOR,2020,4,130
-,Joe Gaziano,DI,90,48.8,58.7,42.5,-,38,21,17,-,28.9,A,6'4",280,-,NWESTERN,2020,-,-
14th of 118,T'Vondre Sweat,DI,93,76.1,75.0,64.7,66.1,699,331,356,12,24.1,A,6'4",362,-,TEXAS,2024,2,38
23rd of 118,Sebastian Joseph-Day,DI,69,70.2,77.7,52.3,60.7,483,258,222,3,30.4,A,6'4",310,-,RUTGERS,2018,6,195
8th of 118,Jeffery Simmons,DI,98,80.4,73.7,81.6,57.7,806,342,450,14,28.0,A,6'4",305,-,MISS STATE,2019,1,19
-,Ali Gaye,ED,99,38.3,32.9,51.8,63.2,177,101,72,4,26.7,A,6'6",265,-,LSU,2023,-,-
-,Desmond Evans,ED,56,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",270,-,N CAROLINA,2025,-,-
-,Oluwafemi Oladejo,ED,7,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",250,-,UCLA,2025,2,52
119th of 119,Jaylen Harrell,ED,92,38.9,38.1,42.7,67.6,286,145,129,12,23.3,A,6'4",242,-,MICHIGAN,2024,7,253
97th of 119,Dre'Mont Jones,ED,45,54.3,45.5,66.0,67.7,616,230,374,12,28.6,A,6'3",281,-,OHIO STATE,2019,3,71
40th of 119,Arden Key,ED,49,69.7,69.0,67.7,62.1,734,301,409,24,29.3,A,6'5",240,-,LSU,2018,3,87
-,Trevor Siemian,QB,15,-,-,-,-,-,-,-,-,-,-,-,-,33.6,A,6'3",220,-,NWESTERN,2015,7,250
39th of 42,Will Levis,QB,8,54.9,54.6,58.2,58.4,-,60.2,622,384,25,1,-,212,26.1,IR,6'4",229,-,KENTUCKY,2023,2,34
-,Cam Ward,QB,1,-,-,-,-,-,-,-,-,-,-,-,-,23.2,A,6'2",223,-,MIAMI FL,2025,1,1
-,Brandon Allen,QB,10,41.1,44.5,54.4,-,-,60.0,54,33,2,-,-,19,32.9,A,6'2",209,4.8,ARKANSAS,2016,6,201
-,Bryce Oliver,WR,80,68.0,-,60.0,74.4,-,50.5,87,-,0,34,-,33,0.0,A,6'1",212,-,YNGTOWN ST,2024,-,-
-,Treylon Burks,WR,00,52.2,-,62.6,53.3,-,39.8,147,-,2,81,-,64,25.4,IR,6'2",225,-,ARKANSAS,2022,1,18
-,Matt Landers,WR,83,-,-,-,-,-,-,-,-,-,-,-,-,26.1,A,6'4",200,4.4,ARKANSAS,2023,-,-
-,TJ Sheffield,WR,82,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",190,-,UCONN,2025,-,-
-,Xavier Restrepo,WR,87,-,-,-,-,-,-,-,-,-,-,-,-,23.3,A,5'10",198,-,MIAMI FL,2025,-,-
-,Ellie Auermannm,WR,5,-,-,-,-,-,-,-,-,-,-,-,-,22.2,A,6'2",210,-,STANFORD,2025,4,136
-,Chimezie Dike,WR,17,-,-,-,-,-,-,-,-,-,-,-,-,23.6,A,6'1",195,-,FLORIDA,2025,4,103
72nd of 133,Tyler Lockett,WR,4,65.2,-,-,65.6,-,50.8,762,-,-,589,-,173,32.9,A,5'10",182,4.4,KANSAS ST,2015,3,69
-,James Proche II,WR,13,67.8,-,-,66.8,-,60.7,16,-,-,11,-,5,28.9,A,5'11",191,-,SMU,2020,6,201
-,Jha'Quan Jackson,WR,19,69.3,-,-,67.7,-,69.3,46,-,-,19,-,27,0.0,A,5'11",185,-,TULANE,2024,6,183
116th of 133,Van Jefferson,WR,11,57.2,-,-,57.4,69.6,59.3,755,-,-,438,4,313,29.0,A,6'1",200,-,FLORIDA,2020,2,57
40th of 133,Calvin Ridley,WR,0,73.1,-,45.5,74.7,-,48.6,889,-,7,583,-,299,30.6,A,6'1",190,4.4,ALABAMA,2018,1,26
-,Mason Kinsey,WR,12,49.6,-,-,49.4,-,59.4,71,-,-,45,-,26,0.0,A,5'11",203,-,-,2020,-,-
-,Jermar Jefferson,HB,32,55.3,-,56.1,75.4,18.3,-,12,-,6,4,2,-,25.3,A,5'10",215,-,OREGON ST,2021,7,259
-,Jordan Mims,HB,24,62.8,-,67.8,50.3,60.4,60.0,105,-,22,58,15,10,26.1,A,6'1",205,-,FRESNO ST,2023,-,-
42nd of 59,Tyler Spears,HB,2,67.5,-,67.8,68.0,51.8,59.1,321,-,89,184,34,14,24.1,A,5'10",200,-,TULANE,2024,3,93
-,Kalel Mullings,HB,26,-,-,-,-,-,-,-,-,-,-,-,-,22.8,A,6'2",233,-,MICHIGAN,2025,6,190
