Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Detroit,24.4,25.7,30.0,25.9,22.6,22.6
2,Baltimore,23.4,24.0,23.0,23.8,23.1,20.9
3,Tampa Bay,23.0,24.0,19.0,23.1,22.9,18.2
4,Washington,22.6,23.7,22.0,23.2,22.0,18.9
5,Cincinnati,22.1,25.3,21.0,23.8,20.7,19.4
6,Buffalo,21.4,22.7,22.0,22.2,20.6,22.7
7,Atlanta,21.1,25.3,31.0,21.3,20.9,19.2
8,Philadelphia,21.0,21.7,21.0,20.9,21.1,21.7
9,Arizona,20.9,24.3,26.0,21.6,20.3,19.4
10,Minnesota,20.7,20.0,20.0,21.6,20.0,20.0
11,San Francisco,20.7,25.0,26.0,20.7,20.8,22.4
12,Miami,20.3,20.3,21.0,21.4,19.3,20.7
13,Kansas City,20.2,18.0,12.0,22.0,18.4,21.0
14,Green Bay,20.0,18.0,17.0,21.4,18.6,20.0
15,LA Rams,19.8,18.0,18.0,20.8,18.9,20.7
16,Seattle,19.4,17.7,18.0,18.9,19.9,18.6
17,Dallas,19.2,18.0,23.0,19.2,19.3,23.4
18,Indianapolis,18.5,22.7,24.0,17.5,19.4,19.1
19,NY Jets,18.5,19.7,22.0,18.3,18.7,15.3
20,LA Chargers,18.4,23.3,15.0,18.1,18.6,18.8
21,Pittsburgh,18.3,16.7,11.0,18.8,17.9,17.2
22,Las Vegas,18.2,19.7,16.0,17.8,18.7,17.2
23,Denver,18.2,20.3,13.0,19.3,17.4,17.7
24,Houston,18.2,18.7,18.0,16.7,19.6,18.6
25,Tennessee,18.2,18.3,14.0,18.1,18.2,17.5
26,New Orleans,17.9,15.3,19.0,16.7,19.3,19.8
27,Cleveland,17.8,16.3,13.0,17.9,17.8,19.1
28,New England,17.7,19.3,19.0,18.6,16.9,15.4
29,NY Giants,17.7,13.0,10.0,17.3,18.1,15.7
30,Jacksonville,17.5,17.3,19.0,18.7,16.7,19.8
31,Chicago,17.4,15.3,16.0,17.0,17.8,18.9
32,Carolina,17.2,20.0,25.0,18.1,16.4,17.5
