Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Detroit,0.502,0.502,0.456,0.519,0.480,0.410
2,Buffalo,0.500,0.437,0.426,0.545,0.455,0.402
3,Baltimore,0.482,0.449,0.439,0.495,0.471,0.439
4,Tampa Bay,0.459,0.522,0.455,0.433,0.492,0.343
5,Philadelphia,0.444,0.624,0.571,0.431,0.459,0.379
6,Cincinnati,0.437,0.346,0.268,0.463,0.415,0.349
7,Washington,0.436,0.416,0.299,0.447,0.427,0.310
8,Green Bay,0.432,0.320,0.167,0.416,0.451,0.387
9,Denver,0.394,0.397,0.167,0.470,0.332,0.351
10,Minnesota,0.392,0.222,0.127,0.472,0.331,0.321
11,LA Chargers,0.387,0.424,0.222,0.420,0.362,0.313
12,Arizona,0.386,0.430,0.758,0.452,0.317,0.309
13,San Francisco,0.379,0.387,0.329,0.419,0.334,0.466
14,Kansas City,0.369,0.475,0.449,0.376,0.361,0.344
15,Seattle,0.364,0.366,0.566,0.322,0.412,0.366
16,Indianapolis,0.362,0.458,0.338,0.384,0.344,0.362
17,LA Rams,0.358,0.398,0.314,0.376,0.342,0.372
18,Atlanta,0.358,0.475,0.494,0.368,0.347,0.294
19,Houston,0.350,0.358,0.215,0.346,0.354,0.368
20,Pittsburgh,0.350,0.233,0.311,0.332,0.365,0.294
21,Carolina,0.343,0.534,0.677,0.362,0.326,0.215
22,NY Jets,0.335,0.302,0.516,0.331,0.338,0.255
23,New Orleans,0.328,0.172,0.302,0.365,0.287,0.359
24,Jacksonville,0.323,0.306,0.338,0.362,0.295,0.338
25,Miami,0.319,0.365,0.294,0.382,0.261,0.452
26,Dallas,0.317,0.272,0.253,0.271,0.371,0.447
27,Tennessee,0.301,0.315,0.233,0.265,0.333,0.304
28,Chicago,0.291,0.253,0.421,0.310,0.274,0.328
29,Las Vegas,0.290,0.339,0.417,0.293,0.287,0.329
30,New England,0.281,0.288,0.377,0.308,0.257,0.231
31,NY Giants,0.257,0.401,0.241,0.230,0.287,0.252
32,Cleveland,0.231,0.098,0.182,0.219,0.242,0.326
