Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Dallas,27.0,28.7,29.6,26.1,28.2,28.3
2,Indianapolis,27.4,29.0,28.0,28.3,26.7,27.5
3,Cleveland,27.6,26.9,30.9,26.4,28.6,27.9
4,New Orleans,27.8,25.8,26.4,27.9,27.8,28.4
5,Jacksonville,27.9,27.7,27.2,27.5,28.1,28.3
6,Las Vegas,28.1,29.6,26.3,27.2,28.9,28.9
7,Atlanta,28.2,27.6,25.5,27.8,28.5,27.2
8,Washington,28.4,27.1,23.0,28.4,28.4,28.5
9,Carolina,28.8,29.4,31.5,28.7,28.8,29.0
10,Chicago,28.9,30.3,30.6,29.8,28.1,29.7
11,LA Rams,28.9,28.4,24.9,28.4,29.4,28.9
12,Seattle,28.9,32.1,32.6,27.8,30.2,27.6
13,Denver,28.9,30.0,26.1,29.2,28.7,29.6
14,Pittsburgh,29.0,25.2,27.3,28.1,29.7,29.2
15,NY Giants,29.0,30.5,33.6,28.8,29.2,28.5
16,Kansas City,29.1,29.3,28.2,29.1,29.1,28.8
17,New England,29.1,27.7,30.7,29.6,28.7,28.0
18,Detroit,29.2,28.7,23.0,28.0,30.7,28.0
19,Arizona,29.3,29.5,27.2,29.8,28.8,28.0
20,Cincinnati,29.3,31.5,32.1,30.1,28.6,30.1
21,NY Jets,29.3,29.3,27.0,29.6,29.1,28.2
22,Minnesota,29.5,27.1,27.3,29.7,29.2,27.9
23,Philadelphia,29.8,30.0,31.7,29.7,29.9,28.6
24,Houston,29.8,30.4,30.9,29.5,30.1,28.3
25,Buffalo,30.0,31.4,26.9,31.4,28.6,29.3
26,Miami,30.0,30.4,28.3,29.7,30.3,29.1
27,Baltimore,30.3,30.5,29.8,31.2,29.4,29.5
28,San Francisco,30.3,25.9,26.2,30.5,30.1,30.8
29,Green Bay,30.3,28.6,29.5,30.5,30.2,29.0
30,Tampa Bay,30.4,32.3,33.5,30.0,30.8,28.7
31,Tennessee,30.6,29.0,30.0,30.7,30.5,30.4
32,LA Chargers,30.6,31.1,28.4,29.6,31.4,26.7
