"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","17","653","579","385","28","76.6","4307","5","8.9","29","3","3","18","24","37","15","3","6.4","2.6","111","520","15","0","7","35","15","31.5","14","8","12.6","3","4","412.3","0.63"
"Jalen Hurts","PHI","17","622","538","352","17","75.5","3858","4","8.9","23","2","2","15","36","34","12","4","6.3","2.2","157","602","15","0","9","44","15","28","16","13","10.2","0","1","381.5","0.61"
"Dak Prescott","DAL","17","661","590","410","29","77.6","4516","5","8.4","36","3","1","9","38","67","28","1","11.4","4.7","56","242","2","0","4","14","2","25","2","0","3.6","2","3","351.8","0.53"
"Lamar Jackson","BLT","16","558","457","307","23","77.6","3678","3","9.1","24","4","2","7","37","30","12","1","6.6","2.6","148","821","5","0","11","32","5","21.6","5","1","3.4","1","2","348.2","0.62"
"Jordan Love","GB","17","633","579","372","24","72.9","4158","2","9","32","0","0","11","29","54","20","4","9.3","3.5","51","233","4","0","10","9","4","17.6","3","3","5.9","2","3","330.6","0.52"
"Brock Purdy","SF","16","498","444","308","14","78.3","4280","5","8.6","31","7","3","11","28","21","13","1","4.7","2.9","39","144","2","0","6","7","2","17.9","2","2","5.1","0","0","310.6","0.62"
"Jared Goff","DET","17","642","605","407","29","78.3","4574","5","7.3","30","3","1","12","30","22","11","0","3.6","1.8","32","21","2","0","6","12","2","37.5","2","2","6.3","2","6","305.1","0.48"
"Patrick Mahomes","KC","16","677","597","401","29","78.3","4183","4","6.8","27","1","0","14","27","31","12","2","5.2","2","75","389","0","0","5","13","0","17.3","6","0","8","0","0","300.2","0.44"
"Tua Tagovailoa","MIA","17","609","561","389","20","77","4620","5","8.2","29","7","5","14","29","34","13","3","6.1","2.3","35","74","0","0","14","9","0","25.7","2","0","5.7","0","2","294.2","0.48"
"Trevor Lawrence","JAX","16","645","564","370","26","74.7","4016","2","8.6","21","4","3","14","35","39","15","1","6.9","2.7","70","339","4","0","13","14","4","20","5","3","7.1","1","3","288.5","0.45"
"Baker Mayfield","TB","17","639","566","364","22","73.7","4045","3","9","28","5","2","10","40","43","17","0","7.6","3","62","163","1","0","9","16","1","25.8","3","1","4.8","2","5","286.1","0.45"
"C.J. Stroud","HST","15","562","499","319","24","73.9","4108","6","9.4","23","5","4","5","38","32","13","1","6.4","2.6","39","167","3","0","9","9","3","23.1","4","2","10.3","1","6","286","0.51"
"Sam Howell","WAS","17","712","612","388","28","75","3945","5","7.7","21","1","1","21","65","40","15","2","6.5","2.5","48","264","5","0","4","9","5","18.8","3","2","6.3","2","3","277.2","0.39"
"Russell Wilson","DEN","15","530","447","297","18","78.8","3075","2","7.8","26","4","2","8","45","41","19","1","9.2","4.3","80","341","3","0","10","19","3","23.8","5","3","6.3","2","4","271.1","0.51"
"Derek Carr","NO","17","588","548","375","20","76.8","3878","6","8.2","25","2","1","8","31","39","15","0","7.1","2.7","32","40","0","0","7","7","0","21.9","0","0","0","2","2","251.1","0.43"
"Matthew Stafford","LA","15","567","521","326","29","74","3965","5","8.2","24","2","2","11","30","31","14","0","6","2.7","21","65","0","0","0","3","0","14.3","1","0","4.8","2","4","250.1","0.44"
"Justin Fields","CHI","13","457","370","227","14","74.4","2562","1","8.8","16","1","1","9","43","32","13","3","8.6","3.5","125","653","4","0","10","22","4","17.6","5","2","4","0","2","246.8","0.54"
"Justin Herbert","LAC","13","520","456","297","22","74.7","3134","3","8.2","20","1","1","7","29","33","11","1","7.2","2.4","52","228","3","0","4","12","3","23.1","5","2","9.6","1","1","239.2","0.46"
"Geno Smith","SEA","15","553","499","323","22","77.4","3624","4","8.2","20","2","2","9","31","41","14","0","8.2","2.8","37","155","1","0","5","8","1","21.6","1","1","2.7","2","2","237.5","0.43"
"Joshua Dobbs","MIN","13","485","417","262","19","72.1","2464","0","8","13","0","0","10","30","17","7","0","4.1","1.7","77","421","6","0","15","11","4","14.3","2","1","2.6","3","6","218.7","0.45"
"Gardner Minshew","IND","16","546","490","305","26","74.2","3305","3","7.8","15","3","3","9","34","16","5","1","3.3","1","34","100","3","0","8","7","3","20.6","4","2","11.8","2","3","211.2","0.39"
"Desmond Ridder","ATL","15","439","388","249","15","72.7","2836","3","8.5","12","1","1","12","31","15","5","1","3.9","1.3","53","193","5","0","12","12","5","22.6","2","1","3.8","2","4","198.7","0.45"
"Bryce Young","CAR","16","622","527","315","18","71.9","2877","1","7.8","11","0","0","10","62","16","6","0","3","1.1","39","253","0","0","11","7","0","17.9","4","0","10.3","2","4","174.4","0.28"
"Kirk Cousins","MIN","8","331","311","216","20","80.5","2331","4","7.7","18","3","3","5","17","22","8","3","7.1","2.6","14","25","0","0","7","4","0","28.6","2","0","14.3","0","0","162.7","0.49"
"Joe Burrow","CIN","10","403","365","244","17","76.8","2309","3","6.9","15","2","2","6","24","23","9","2","6.3","2.5","31","88","0","0","2","2","0","6.5","0","0","0","0","0","155.2","0.39"
"Kyler Murray","ARZ","8","304","268","176","10","73.5","1799","0","7.5","10","1","0","5","18","16","6","0","6","2.2","44","244","3","0","7","13","3","29.5","6","2","13.6","1","6","149.4","0.49"
"Jake Browning","CIN","9","283","243","171","9","79.6","1936","3","6.6","12","3","3","7","24","6","4","0","2.5","1.6","27","127","3","0","3","9","3","33.3","4","3","14.8","1","1","149.1","0.53"
