"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Brock Bowers","LV","105.2","1,117.0","6.0","0.5","253.0"
"Trey McBride","ARI","104.4","1,053.3","5.8","0.5","243.9"
"George Kittle","SF","76.1","1,031.1","7.5","0.5","223.0"
"Travis Kelce","KC","81.0","773.5","5.2","0.9","188.1"
"Sam LaPorta","DET","68.3","765.9","6.8","0.4","184.8"
"T.J. Hockenson","MIN","74.1","775.9","4.7","0.5","178.7"
"David Njoku","CLE","76.9","738.9","4.9","0.8","178.6"
"Mark Andrews","BAL","58.8","701.2","7.7","0.8","173.4"
"Tyler Warren","IND","63.2","681.6","4.9","1.1","159.7"
"Evan Engram","DEN","70.1","626.5","4.2","0.9","156.0"
"Jake Ferguson","DAL","67.9","623.0","3.8","1.2","150.6"
"Tucker Kraft","GB","55.2","652.7","4.8","0.8","147.7"
"Dallas Goedert","PHI","57.7","635.8","3.9","0.5","144.0"
"Zach Ertz","WAS","57.9","537.0","5.1","0.1","141.7"
"Dalton Kincaid","BUF","57.1","603.9","4.0","0.5","140.7"
"Kyle Pitts Sr.","ATL","50.9","641.8","4.2","0.1","140.1"
"Hunter Henry","NE","54.9","574.3","3.9","0.4","134.7"
"Colston Loveland","CHI","53.6","562.6","3.8","0.8","131.0"
"Cade Otton","TB","52.0","530.0","4.2","0.5","129.4"
"Brenton Strange","JAC","55.2","550.4","3.3","0.5","129.0"
"Chig Okonkwo","TEN","54.7","546.7","3.0","0.8","126.0"
"Jonnu Smith","PIT","50.4","522.8","3.8","0.9","123.7"
"Darren Waller","MIA","49.5","545.9","3.2","0.1","122.9"
"Mike Gesicki","CIN","51.0","502.7","3.4","0.4","120.9"
"Isaiah Likely","BAL","41.4","491.0","4.8","0.7","118.0"
"Dalton Schultz","HOU","48.7","502.4","3.1","0.4","116.9"
"Pat Freiermuth","PIT","49.9","480.4","3.3","0.9","116.1"
"Juwan Johnson","NO","47.4","487.5","3.2","0.2","115.1"
"Robbie Ouzts","SEA","48.0","477.0","3.0","1.0","111.7"
"Mason Taylor","NYJ","48.1","484.9","2.7","0.8","111.4"
"Tyler Higbee","LAR","45.3","424.9","3.7","0.1","109.7"
"Theo Johnson","NYG","43.5","478.1","2.7","0.1","107.3"
"Elijah Arroyo","SEA","40.0","423.3","2.8","0.4","98.4"
"Will Dissly","LAC","38.6","378.0","2.5","0.1","91.6"
"Noah Fant","CIN","37.2","380.9","2.4","0.1","89.9"
"Ja'Tavion Sanders","CAR","38.5","389.3","2.1","0.1","89.6"
"Tyler Conklin","LAC","33.5","325.7","2.3","0.0","79.7"
"AJ Barner","SEA","32.7","305.0","2.4","0.1","77.5"
"Noah Gray","KC","29.6","301.4","2.7","0.0","75.9"
"Cole Kmet","CHI","30.2","291.0","2.3","0.4","72.2"
"Austin Hooper","NE","28.7","286.6","1.8","0.4","67.4"
"Michael Mayer","LV","28.5","262.3","1.8","0.1","65.3"
"Harold Fannin Jr.","CLE","27.2","268.3","1.5","0.4","62.2"
"Foster Moreau","NO","22.4","251.7","1.8","0.1","58.5"
"Dawson Knox","BUF","21.9","238.6","1.9","0.0","57.2"
"Terrance Ferguson","LAR","23.0","235.2","1.9","0.4","57.0"
"Josh Oliver","MIN","19.4","203.0","1.6","0.1","49.4"
"Oronde Gadsden II","LAC","19.1","195.2","1.6","0.1","47.9"
"Tommy Tremble","CAR","19.2","184.1","1.7","0.4","47.0"
"Gunnar Helm","TEN","20.2","200.8","1.1","0.4","46.3"
"Luke Musgrave","GB","19.1","186.4","1.4","0.0","46.2"
"Ben Sinnott","WAS","16.8","166.7","1.4","0.1","41.8"
"Brock Wright","DET","15.0","134.8","2.2","0.0","41.4"
"Cade Stover","HOU","16.9","160.6","1.2","0.0","40.2"
"Jeremy Ruckert","NYJ","17.6","152.2","1.2","0.0","39.7"
"Adam Trautman","DEN","13.0","141.2","1.4","0.0","35.5"
"Luke Schoonmaker","DAL","14.9","132.7","1.2","0.0","35.1"
"Charlie Woerner","ATL","14.6","139.0","1.1","0.0","34.9"
"Daniel Bellinger","NYG","14.7","135.2","0.8","0.0","33.1"
"Julian Hill","MIA","14.7","133.7","0.9","0.4","32.9"
"Grant Calcaterra","PHI","12.1","136.4","0.9","0.0","30.8"
"Jake Briningstool","KC","12.0","121.0","1.0","0.0","30.1"
"Johnny Mundt","JAC","13.4","115.2","0.8","0.0","30.0"
"Payne Durham","TB","11.1","109.3","1.2","0.0","29.4"
"Darnell Washington","PIT","12.3","123.3","0.7","0.0","28.9"
"Elijah Higgins","ARI","11.4","110.3","1.1","0.0","28.8"
"Keleki Latu","BUF","10.0","111.0","1.0","0.0","27.1"
"Colby Parkinson","LAR","10.6","106.5","0.9","0.0","26.3"
"Connor Heyward","PIT","10.2","87.6","1.2","0.0","25.9"
"Drew Sample","CIN","10.4","82.9","0.8","0.0","23.2"
"Drew Ogletree","IND","7.6","97.0","0.8","0.0","22.2"
"Nate Adkins","DEN","7.0","54.8","1.1","0.0","19.0"
"Lucas Krull","DEN","8.3","79.8","0.4","0.0","18.6"
"Hunter Long","JAC","8.4","76.0","0.4","0.0","18.2"
"Quintin Morris","JAC","7.9","71.5","0.5","0.0","18.1"
"Gavin Bartholomew","MIN","7.0","75.0","0.6","0.0","18.0"
"Brevyn Spann-Ford","DAL","7.3","69.7","0.6","0.0","18.0"
"Giovanni Ricci","MIN","8.0","96.0","0.0","0.0","17.6"
"Teagan Quitoriano","ATL","5.5","89.0","0.5","0.0","17.4"
"Lawrence Cager","WAS","5.5","57.0","1.0","0.0","17.2"
"Tanner McLachlan","CIN","7.0","68.5","0.5","0.0","16.9"
"Tanner Conner","MIA","7.5","58.3","0.6","0.0","16.8"
"Devin Culp","TB","6.1","65.6","0.6","0.0","16.1"
"Brenden Bates","CLE","6.5","61.6","0.5","0.0","15.9"
"Charlie Kolar","BAL","5.7","71.7","0.4","0.0","15.6"
"Taysom Hill","NO","2.3","22.3","0.0","0.0","15.6"
"Eric Saubert","SEA","6.8","59.8","0.5","0.0","15.5"
"John Bates","WAS","5.9","55.0","0.6","0.0","15.2"
"Kenny Yeboah","DET","6.0","60.5","0.5","0.0","15.0"
"Ian Thomas","LV","6.6","58.5","0.4","0.0","14.8"
"Mitchell Evans","CAR","6.3","59.4","0.4","0.0","14.5"
