Tight Ends
Receiving	Misc
Player	gp	tgt	rec	yds	yds/g	avg	td	fl	fpts	fppg
Brock Bowers TE  LV	17	144	105	1168	68.7	11.1	6	0	259.9	15.3
George Kittle TE  SF	17	99	79	1142	67.2	14.5	10	0	256.2	15.1
Trey McBride TE  ARI	17	131	99	1058	62.2	10.7	5	0	243.7	14.3
Travis Kelce TE  KC	17	119	88	868	51.1	9.9	5	1	206	12.1
Sam LaPorta TE  DET	17	89	65	767	45.1	11.8	8	0	192.8	11.3
Mark Andrews TE  BAL	17	78	59	761	44.8	12.9	9	1	189.1	11.1
David Njoku TE  CLE	17	127	85	699	41.1	8.2	6	1	188.7	11.1
T.J. Hockenson TE  MIN	17	105	73	859	50.5	11.8	4	0	182	10.7
Zach Ertz TE  WAS	17	94	67	647	38.1	9.7	7	0	173.6	10.2
Dallas Goedert TE  PHI	17	78	62	758	44.6	12.2	5	0	170.1	10.0
Evan Engram TE  DEN	17	101	76	609	35.8	8.0	5	1	166.8	9.8
Tyler Warren TE  IND	17	86	58	772	45.4	13.3	6	2	166.5	9.8
Jake Ferguson TE  DAL	17	100	70	624	36.7	8.9	4	2	151.2	8.9
Hunter Henry TE  NE	17	92	62	662	38.9	10.7	4	0	150.6	8.9
Tucker Kraft TE  GB	17	65	48	651	38.3	13.6	6	1	149.9	8.8
Brenton Strange TE  JAC	17	75	56	595	35.0	10.6	4	1	137.5	8.1
Jonnu Smith TE  PIT	17	61	48	548	32.2	11.4	6	1	136.4	8.0
Darren Waller TE  MIA	17	76	52	597	35.1	11.5	4	0	135.5	8.0
Dalton Kincaid TE  BUF	17	86	54	560	32.9	10.4	4	0	132.4	7.8
Isaiah Likely TE  BAL	17	60	43	553	32.5	12.9	6	1	131.4	7.7
Dalton Schultz TE  HOU	17	83	53	559	32.9	10.6	4	0	131.4	7.7
Tyler Higbee TE  LAR	17	70	49	460	27.1	9.4	6	0	130.9	7.7
Cade Otton TE  TB	17	76	52	561	33.0	10.8	4	1	130.1	7.7
Kyle Pitts TE  ATL	17	76	47	593	34.9	12.6	4	0	128.8	7.6
Juwan Johnson TE  NO	17	65	47	529	31.1	11.3	4	0	123.7	7.3
Colston Loveland TE  CHI	17	69	47	501	29.5	10.7	4	1	118.3	7.0
Pat Freiermuth TE  PIT	17	56	44	459	27.0	10.4	5	1	117.9	6.9
Chigoziem Okonkwo TE  TEN	17	67	49	494	29.1	10.1	3	1	117.6	6.9
Tyler Conklin TE  LAC	17	66	46	483	28.4	10.5	3	0	114.9	6.8
Mike Gesicki TE  CIN	17	66	49	504	29.6	10.3	3	1	114.3	6.7
Mason Taylor TE  NYJ	17	76	51	506	29.8	9.9	3	2	114.3	6.7
Noah Fant TE  CIN	17	61	46	500	29.4	10.9	3	0	113.3	6.7
Theo Johnson TE  NYG	17	64	43	524	30.8	12.2	3	0	112	6.6
Robbie Ouzts RB  SEA	17	71	48	477	28.1	9.9	3	1	111.6	6.6
Will Dissly TE  LAC	17	60	46	441	25.9	9.6	3	0	106.5	6.3
Cole Kmet TE  CHI	17	44	36	365	21.5	10.1	4	0	99	5.8
Foster Moreau TE  NO	17	45	33	415	24.4	12.6	4	0	97.8	5.8
Ja'Tavion Sanders TE  CAR	17	54	42	432	25.4	10.3	2	0	96.5	5.7
Josh Oliver TE  MIN	17	41	31	366	21.5	11.8	3	0	84.7	5.0
Noah Gray TE  KC	17	36	29	301	17.7	10.4	3	0	75.9	4.5
AJ Barner TE  SEA	17	41	32	262	15.4	8.2	3	0	75.5	4.4
Brock Wright TE  DET	17	32	26	231	13.6	8.9	4	0	72.1	4.2
Austin Hooper TE  NE	17	39	29	309	18.2	10.7	2	1	69.6	4.1
Andrew Ogletree TE  IND	17	35	21	296	17.4	14.1	3	0	67.9	4.0
Tommy Tremble TE  CAR	17	38	27	250	14.7	9.3	3	1	66.8	3.9
Connor Heyward TE  PIT	17	32	23	194	11.4	8.4	3	0	63	3.7
Michael Mayer TE  LV	17	47	31	254	14.9	8.2	1	0	60.8	3.6
Taysom Hill TE  NO	11	4	3	27	2.5	9.0	0	0	59.4	5.4
Josh Whyle TE  TEN	17	38	28	254	14.9	9.1	1	0	57.8	3.4
Terrance Ferguson TE  LAR	17	34	23	247	14.5	10.7	2	1	56.8	3.3
Jelani Woods TE  IND	17	25	16	273	16.1	17.1	2	0	55.2	3.2
Luke Musgrave TE  GB	17	30	22	211	12.4	9.6	2	0	54.4	3.2
Elijah Arroyo TE  SEA	17	35	24	238	14.0	9.9	1	1	51.8	3.0
Darnell Washington TE  PIT	17	33	23	234	13.8	10.2	1	0	51.1	3.0
Hunter Long TE  JAC	17	34	24	213	12.5	8.9	1	0	50.4	3.0
Jeremy Ruckert TE  NYJ	17	37	24	192	11.3	8.0	1	0	48.7	2.9
Harold Fannin Jr. TE  CLE	17	34	24	216	12.7	9.0	1	1	48.4	2.8
Grant Calcaterra TE  PHI	17	23	18	227	13.4	12.6	1	0	46.1	2.7
Gunnar Helm TE  TEN	17	29	20	204	12.0	10.2	1	1	44.4	2.6
Julian Hill TE  MIA	17	33	21	173	10.2	8.2	1	1	42	2.5
Luke Schoonmaker TE  DAL	17	25	18	155	9.1	8.6	1	0	39.3	2.3
Johnny Mundt TE  JAC	17	25	18	150	8.8	8.3	1	0	37.7	2.2
Adam Trautman TE  DEN	17	19	12	150	8.8	12.5	2	0	37.7	2.2
Colby Parkinson TE  LAR	17	25	16	163	9.6	10.2	1	0	37.3	2.2
Dawson Knox TE  BUF	17	21	14	174	10.2	12.4	1	0	37	2.2
Payne Durham TE  TB	17	15	12	129	7.6	10.8	2	0	36.1	2.1
Giovanni Ricci TE  MIN	17	17	16	192	11.3	12.0	0	0	34.7	2.0
Teagan Quitoriano TE  ATL	17	18	11	178	10.5	16.2	1	0	34	2.0
Tanner McLachlan TE  CIN	17	18	14	137	8.1	9.8	1	0	33.7	2.0
Lawrence Cager TE  WAS	17	15	11	114	6.7	10.4	2	0	33.6	2.0
Elijah Higgins TE  ARI	17	14	11	104	6.1	9.5	2	0	33.6	2.0
Charlie Kolar TE  BAL	17	12	10	139	8.2	13.9	1	0	33	1.9
Cam Grandy TE  CIN	17	18	14	121	7.1	8.6	1	0	32.1	1.9
Devin Culp TE  TB	17	15	12	145	8.5	12.1	1	0	31.7	1.9
Stone Smartt TE  NYJ	17	16	12	153	9.0	12.8	1	1	31.3	1.8
Nate Adkins TE  DEN	13	13	12	91	7.0	7.6	2	0	31.1	2.4
Brevyn Spann-Ford TE  DAL	17	17	13	125	7.4	9.6	1	0	31.1	1.8
Drew Sample TE  CIN	17	15	14	111	6.5	7.9	1	0	30.6	1.8
