Rank,Player,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT
1,Saquon Barkley (PHI),16,345,"2,005",5.8,"1,328",3.8,130,2.0,19,33,-80,72,46,17,10,7,6,72,33,43,9
2,Derrick Henry (BAL),17,325,"1,921",5.9,"1,011",3.1,85,2.8,42,26,-55,87,45,19,9,5,3,87,19,22,5
3,Jahmyr Gibbs (DET),17,250,"1,412",5.6,813,3.3,88,2.4,21,19,-58,70,42,13,4,3,1,70,52,63,11
4,Bijan Robinson (ATL),17,304,"1,456",4.8,728,2.4,125,2.4,23,23,-66,37,34,5,1,0,0,37,61,72,7
5,Josh Jacobs (GB),17,301,"1,329",4.4,592,2.0,142,2.4,35,28,-45,38,33,7,4,0,0,38,36,43,4
6,Kyren Williams (LAR),16,316,"1,299",4.1,693,2.2,53,1.9,27,28,-55,13,27,2,1,0,0,30,34,40,8
7,James Cook (BUF),16,207,"1,009",4.9,530,2.6,43,2.3,14,21,-37,65,21,6,4,4,1,65,32,38,3
8,Jonathan Taylor (IND),14,303,"1,431",4.7,859,2.8,58,1.9,15,29,-55,70,31,11,4,4,3,70,18,31,3
9,De'Von Achane (MIA),17,203,907,4.5,486,2.4,112,2.1,7,36,-73,50,21,5,4,3,2,61,78,87,14
10,James Conner (ARI),16,236,"1,094",4.6,528,2.2,204,2.4,24,21,-52,6,34,6,2,2,1,53,47,55,5
11,Joe Mixon (HOU),14,245,"1,016",4.1,540,2.2,110,1.9,19,36,-81,45,28,8,4,2,1,59,36,52,7
12,Chase Brown (CIN),16,229,990,4.3,599,2.6,102,1.7,23,19,-40,30,23,8,2,1,0,40,54,65,12
13,Chuba Hubbard (CAR),15,250,"1,195",4.8,656,2.6,43,2.2,14,15,-28,38,26,8,2,0,0,38,43,54,11
14,Bucky Irving (TB),17,207,"1,122",5.4,563,2.7,178,2.7,12,16,-36,12,27,8,7,3,2,56,47,52,8
15,Alvin Kamara (NO),14,228,950,4.2,548,2.4,118,1.8,13,29,-65,12,25,3,0,0,0,24,68,89,5
16,Aaron Jones Sr. (MIN),17,255,"1,138",4.5,614,2.4,82,2.1,11,21,-36,34,25,3,3,1,0,41,51,62,17
17,David Montgomery (DET),14,185,775,4.2,347,1.9,132,2.3,19,13,-19,16,17,1,0,0,0,21,36,38,3
18,Breece Hall (NYJ),16,209,876,4.2,432,2.1,189,2.1,7,21,-53,18,26,3,2,1,0,42,57,76,8
19,D'Andre Swift (CHI),17,253,959,3.8,511,2.0,100,1.8,7,31,-78,56,18,5,3,1,1,56,42,52,0
20,Najee Harris (LAC),17,263,"1,043",4.0,502,1.9,93,2.1,22,22,-49,36,29,9,2,0,0,36,36,48,4
21,J.K. Dobbins (DEN),13,195,905,4.6,416,2.1,28,2.5,24,18,-33,43,27,6,4,3,1,61,32,38,5
22,Tony Pollard (TEN),16,260,"1,079",4.2,520,2.0,60,2.2,22,25,-61,26,30,6,2,1,0,41,41,57,3
23,Rico Dowdle (CAR),16,235,"1,079",4.6,570,2.4,71,2.2,11,19,-39,4,26,2,0,0,0,27,39,49,5
24,Rachaad White (TB),16,144,613,4.3,231,1.6,125,2.7,9,17,-36,7,12,2,2,1,1,56,51,57,10
25,Zach Charbonnet (SEA),17,135,569,4.2,270,2.0,76,2.2,12,15,-17,51,16,3,1,1,1,51,42,52,1
26,Tyrone Tracy Jr. (NYG),17,192,839,4.4,511,2.7,69,1.7,6,13,-25,45,18,6,3,2,0,45,38,53,5
27,Rhamondre Stevenson (NE),15,207,801,3.9,370,1.8,58,2.1,14,20,-51,33,22,2,2,0,0,33,33,41,9
28,Brian Robinson Jr. (SF),14,187,799,4.3,378,2.0,58,2.3,10,18,-38,40,19,4,3,2,0,40,20,25,4
29,Kenneth Walker III (SEA),11,153,573,3.7,263,1.7,96,2.0,13,20,-52,23,13,5,0,0,0,28,46,53,8
30,Kareem Hunt (KC),13,200,728,3.6,399,2.0,88,1.6,7,11,-16,6,11,1,0,0,0,20,23,32,10
31,Tank Bigsby (JAC),16,168,766,4.6,295,1.8,10,2.8,14,12,-18,65,20,4,2,2,2,65,7,12,0
32,Javonte Williams (DAL),17,139,513,3.7,258,1.9,93,1.8,4,17,-36,14,13,1,0,0,0,20,52,70,4
33,Jordan Mason (MIN),12,153,789,5.2,440,2.9,26,2.3,13,15,-31,10,23,9,2,0,0,38,11,14,2
34,Alexander Mattison (MIA),14,132,420,3.2,209,1.6,105,1.6,7,17,-30,3,7,1,0,0,0,24,36,48,1
35,Ray Davis (BUF),17,113,442,3.9,217,1.9,16,2.0,6,11,-21,16,11,2,0,0,0,23,17,19,2
36,Austin Ekeler (WAS),12,77,367,4.8,231,3.0,145,1.8,3,6,-8,24,7,4,1,1,1,50,35,41,3
37,Jerome Ford (CLE),14,104,565,5.4,345,3.3,71,2.1,5,11,-26,62,13,5,4,2,2,66,37,43,1
38,Tyler Allgeier (ATL),17,137,644,4.7,288,2.1,35,2.6,7,11,-18,6,18,4,0,0,0,25,13,13,0
39,Travis Etienne Jr. (JAC),15,150,558,3.7,283,1.9,105,1.8,3,17,-41,4,16,2,0,0,0,22,39,52,5
40,Jaylen Warren (PIT),15,120,511,4.3,279,2.3,83,1.9,10,12,-21,3,14,1,0,0,0,22,38,47,6
41,Ameer Abdullah (FA),15,66,311,4.7,183,2.8,69,1.9,5,3,-7,7,8,1,1,1,0,40,40,47,6
42,Justice Hill (BAL),15,47,228,4.9,90,1.9,95,2.9,6,5,-10,51,6,2,1,1,1,51,42,51,8
43,Emanuel Wilson (GB),17,103,502,4.9,260,2.5,39,2.3,9,7,-14,21,13,1,0,0,0,21,11,14,2
44,Tyjae Spears (TEN),12,84,312,3.7,128,1.5,97,2.2,13,11,-24,11,9,1,0,0,0,23,30,35,2
45,Antonio Gibson (NE),17,120,538,4.5,215,1.8,41,2.7,12,15,-28,11,14,4,1,1,0,45,23,29,2
46,Isaac Guerendo (SF),16,84,420,5.0,180,2.1,25,2.9,3,6,-7,15,9,2,2,1,1,76,15,16,0
47,Cam Akers (FA),16,104,444,4.3,226,2.2,19,2.1,7,19,-37,15,16,2,1,1,1,58,14,18,4
48,Devin Singletary (NYG),16,113,437,3.9,206,1.8,29,2.0,10,6,-17,7,10,2,1,1,0,43,21,24,0
49,Ty Johnson (BUF),17,41,213,5.2,106,2.6,31,2.6,2,5,-7,3,7,0,0,0,0,19,18,25,6
50,Jaleel McLaughlin (DEN),16,113,496,4.4,302,2.7,24,1.7,8,14,-38,1,16,1,0,0,0,21,24,27,3
51,Braelon Allen (NYJ),17,92,334,3.6,143,1.6,49,2.1,4,7,-9,20,5,1,0,0,0,20,19,27,1
52,Roschon Johnson (CHI),13,55,150,2.7,80,1.5,34,1.3,0,4,-10,1,0,0,0,0,0,9,16,20,2
53,Gus Edwards (FA),11,101,365,3.6,125,1.2,2,2.4,9,6,-17,5,6,1,1,1,0,43,3,5,0
54,Sean Tucker (TB),17,50,308,6.2,179,3.6,32,2.6,5,1,-1,5,9,2,2,0,0,36,9,12,0
55,Zack Moss (FA),9,74,242,3.3,166,2.2,34,1.0,4,6,-11,5,5,0,0,0,0,16,23,27,3
56,Nick Chubb (HOU),8,102,332,3.3,170,1.7,4,1.6,4,11,-17,2,5,0,0,0,0,19,5,11,1
57,Jeremy McNichols (WAS),17,55,261,4.7,97,1.8,3,3.0,7,6,-13,27,6,2,0,0,0,28,9,12,2
58,Samaje Perine (CIN),17,20,92,4.6,54,2.7,77,1.9,0,0,0,2,3,0,0,0,0,13,28,35,3
59,Miles Sanders (DAL),11,55,205,3.7,124,2.3,25,1.5,2,6,-14,1,3,1,0,0,0,26,24,30,2
60,Raheem Mostert (LV),13,85,278,3.3,143,1.7,27,1.6,1,14,-27,6,9,1,0,0,0,21,19,23,2
61,Kenneth Gainwell (PIT),17,75,290,3.9,162,2.2,38,1.7,3,6,-11,13,11,1,0,0,0,20,16,22,3
62,Ezekiel Elliott (FA),15,74,226,3.1,115,1.6,19,1.5,2,6,-12,3,1,0,0,0,0,11,12,15,2
63,Isiah Pacheco (KC),7,83,310,3.7,181,2.2,15,1.6,0,5,-10,1,3,1,1,0,0,34,12,16,1
64,Audric Estime (FA),13,76,310,4.1,134,1.8,8,2.3,3,4,-6,3,5,1,0,0,0,21,5,5,0
65,Dameon Pierce (HOU),11,40,293,7.3,77,1.9,2,5.4,6,1,-1,92,6,2,2,2,2,92,2,4,1
66,Trey Benson (ARI),13,63,291,4.6,157,2.5,16,2.1,4,4,-6,1,10,1,0,0,0,20,6,6,0
67,Emari Demercado (ARI),13,24,223,9.3,86,3.6,9,5.7,3,1,-1,53,6,2,2,2,1,53,16,20,3
68,Kyle Juszczyk (SF),17,5,26,5.2,9,1.8,28,3.4,1,1,-1,6,1,0,0,0,0,14,19,31,2
69,Trey Sermon (PIT),15,56,159,2.8,75,1.3,21,1.5,3,7,-18,1,4,0,0,0,0,17,16,19,3
70,Dare Ogunbowale (HOU),17,30,112,3.7,70,2.3,28,1.4,1,6,-9,0,2,1,1,0,0,35,19,28,5
71,Isaiah Davis (NYJ),14,30,174,5.8,66,2.2,20,3.6,4,2,-6,17,8,1,0,0,0,20,9,12,3
72,Tyler Goodson (IND),16,32,153,4.8,93,2.9,27,1.9,0,3,-3,7,3,1,1,0,0,33,11,15,2
73,Christian McCaffrey (SF),4,50,202,4.0,116,2.3,29,1.7,3,5,-11,0,6,0,0,0,0,19,15,19,4
74,Chris Brooks (GB),13,36,183,5.1,74,2.1,30,3.0,6,1,-1,1,4,1,0,0,0,23,11,13,3
75,Chris Rodriguez Jr. (WAS),8,35,173,4.9,62,1.8,2,3.2,1,1,-3,7,3,1,0,0,0,25,1,1,0
76,Hassan Haskins (LAC),15,34,89,2.6,39,1.1,1,1.5,0,0,0,2,1,0,0,0,0,12,3,3,0
77,Jamaal Williams (FA),14,48,164,3.4,92,1.9,14,1.5,0,8,-14,14,3,0,0,0,0,14,9,11,1
78,Kimani Vidal (LAC),10,43,155,3.6,83,1.9,5,1.7,3,3,-6,0,2,0,0,0,0,19,5,9,0
79,Patrick Taylor Jr. (SF),9,39,183,4.7,89,2.3,2,2.4,0,1,-3,3,3,1,0,0,0,29,3,11,1
80,D'Onta Foreman (FA),10,71,232,3.3,131,1.8,16,1.4,0,2,-2,0,2,1,0,0,0,25,6,8,0
81,Blake Corum (LAR),15,58,207,3.6,122,2.1,13,1.5,0,5,-10,0,4,0,0,0,0,12,7,8,0
82,Cordarrelle Patterson (FA),13,32,135,4.2,46,1.4,14,2.8,3,3,-10,0,6,0,0,0,0,14,12,14,2
83,Michael Carter (ARI),4,35,131,3.7,81,2.3,29,1.4,1,2,-2,4,2,0,0,0,0,13,11,11,2
84,Kendre Miller (NO),7,39,148,3.8,55,1.4,5,2.4,6,8,-20,8,6,0,0,0,0,17,5,8,0
85,D'Ernest Johnson (BAL),12,32,143,4.5,79,2.5,39,2.0,0,3,-3,0,4,1,0,0,0,22,12,19,3
86,Jaylen Wright (MIA),15,68,249,3.7,126,1.9,2,1.8,3,15,-40,0,8,1,0,0,0,20,3,6,1
87,Zamir White (LV),8,65,183,2.8,93,1.4,17,1.4,4,4,-12,1,2,0,0,0,0,17,6,8,0
88,Ty Chandler (MIN),15,56,182,3.3,128,2.3,6,1.0,0,6,-13,0,3,1,0,0,0,25,6,6,1
89,Khalil Herbert (IND),12,36,130,3.6,74,2.1,15,1.6,0,2,-2,2,2,0,0,0,0,14,10,11,3
90,Pierre Strong Jr. (FA),13,26,108,4.2,69,2.7,22,1.5,0,1,-5,0,2,0,0,0,0,19,14,22,1
91,Sincere McCormick (LV),4,39,183,4.7,90,2.3,6,2.4,5,5,-9,0,6,1,0,0,0,29,6,7,1
