Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,FL,G,FPTS,FPTS/G,ROST
1,Ja'Marr Chase (CIN),127,175,32,13.4,70,19,0,3,0,17,403.0,23.7,99.8%
2,Justin Jefferson (MIN),103,154,3,14.9,97,28,0,1,0,17,317.5,18.7,99.8%
3,Amon-Ra St. Brown (DET),115,141,6,11.0,66,14,0,2,1,17,316.2,18.6,99.8%
4,Brian Thomas Jr. (JAC),87,133,48,14.7,85,18,0,6,0,17,284.0,16.7,99.7%
5,Drake London (ATL),100,158,-3,12.7,39,12,0,1,0,17,280.8,16.5,99.6%
6,Malik Nabers (NYG),109,170,2,11.0,59,16,0,5,0,15,273.6,18.2,99.7%
7,Terry McLaurin (WAS),82,117,2,13.4,86,12,0,2,1,17,267.8,15.8,98.5%
8,CeeDee Lamb (DAL),101,152,70,11.8,65,16,0,14,1,15,263.4,17.6,99.8%
9,Jaxon Smith-Njigba (SEA),100,137,26,11.3,46,14,0,5,0,17,253.0,14.9,99.2%
10,Garrett Wilson (NYJ),101,154,5,10.9,42,16,0,2,2,17,251.9,14.8,98.4%
11,Davante Adams (LAR),85,141,0,12.5,71,16,0,0,0,14,241.3,17.2,98.0%
12,Ladd McConkey (LAC),82,112,0,14.0,60,15,0,0,0,16,240.9,15.1,99.4%
13,Jerry Jeudy (CLE),90,145,0,13.7,89,13,0,0,0,17,240.9,14.2,91.2%
14,Mike Evans (TB),74,110,0,13.6,57,15,0,0,0,14,240.4,17.2,98.6%
15,Courtland Sutton (DEN),81,135,0,13.3,47,17,0,0,1,17,240.3,14.1,95.2%
16,DJ Moore (CHI),98,140,75,9.9,44,11,0,14,1,17,238.1,14.0,95.8%
17,Tee Higgins (CIN),73,109,0,12.5,42,12,0,0,1,12,222.1,18.5,99.5%
18,Tyreek Hill (MIA),81,123,53,11.8,80,13,0,8,0,17,218.2,12.8,99.1%
19,Jakobi Meyers (LV),87,129,23,11.8,43,16,0,2,0,15,218.0,14.5,88.2%
20,A.J. Brown (PHI),67,97,0,16.1,67,17,0,0,0,13,216.9,16.7,99.7%
21,Jordan Addison (MIN),63,99,20,13.9,69,13,1,3,0,15,212.5,14.2,84.8%
22,Jameson Williams (DET),58,91,61,17.3,82,17,1,11,0,15,212.2,14.1,93.6%
23,Nico Collins (HOU),68,99,0,14.8,67,14,0,0,0,12,210.6,17.6,99.7%
24,Jauan Jennings (SF),77,113,0,12.7,45,12,0,0,0,15,210.5,14.0,81.9%
25,Zay Flowers (BAL),74,116,56,14.3,53,19,0,9,0,17,209.5,12.3,96.1%
26,Puka Nacua (LAR),79,106,46,12.5,51,11,1,11,0,11,206.6,18.8,99.8%
27,DeVonta Smith (PHI),68,89,1,12.3,49,14,0,1,0,13,199.4,15.3,95.3%
28,Calvin Ridley (TEN),64,120,55,15.9,63,19,1,8,1,17,199.2,11.7,92.5%
29,Jayden Reed (GB),55,75,163,15.6,70,15,1,20,1,17,197.0,11.6,76.8%
30,Marvin Harrison Jr. (ARI),62,116,0,14.3,60,14,0,0,1,17,196.5,11.6,98.2%
