Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value,Is Rookie,Data Status
1,Ja'Marr Chase,CIN,WR,1,10,1.6,333.62,59,No,Complete
2,Bijan Robinson,ATL,RB,1,5,3.1,314.73,57,No,Complete
5,Jahmyr Gibbs,DET,RB,3,8,5.4,313.84,55,No,Complete
4,Justin Jefferson,MIN,WR,2,6,4.8,299.62,56,No,Complete
8,Puka Nacua,LAR,WR,4,8,10.3,290.3,45,No,Complete
14,Nico Collins,HOU,WR,7,6,15.7,273.74,40,No,Complete
6,CeeDee Lamb,DAL,WR,3,10,7.0,272.64,54,No,Complete
3,Saquon Barkley,PHI,RB,2,9,3.6,292.78,56,No,Complete
7,Christian McCaffrey,SF,RB,4,14,8.1,281.15,43,No,Complete
15,Brian Thomas Jr.,JAX,WR,8,8,18.9,272.36,41,No,Complete
10,Malik Nabers,NYG,WR,6,14,11.8,267.79,44,No,Complete
11,Ashton Jeanty,LV,RB,5,8,13.3,274.67,44,Yes,Complete
9,Amon-Ra St. Brown,DET,WR,5,8,10.5,266.12,42,No,Complete
23,Bucky Irving,TB,RB,10,9,24.9,274.54,38,No,Complete
21,Drake London,ATL,WR,10,5,22.2,258.28,41,No,Complete
16,A.J. Brown,PHI,WR,9,9,19.1,257.03,34,No,Complete
12,De'Von Achane,MIA,RB,6,12,15.3,269.42,38,No,Complete
24,Trey McBride,ARI,TE,2,8,26.4,241.1,25,No,Complete
13,Derrick Henry,BAL,RB,7,7,15.4,265.63,43,No,Complete
25,Chase Brown,CIN,RB,11,10,27.8,250.25,35,No,Complete
26,Tee Higgins,CIN,WR,11,10,28.3,252.8,33,No,Complete
18,Josh Jacobs,GB,RB,9,5,20.2,249.62,36,No,Complete
27,Jayden Daniels,WAS,QB,3,12,28.5,342.6,21,No,Complete
31,Kyren Williams,LAR,RB,12,8,32.1,227.01,29,No,Complete
35,George Kittle,SF,TE,3,14,36.1,193.89,16,No,Complete
20,Josh Allen,BUF,QB,1,7,20.9,321.73,21,No,Complete
22,Lamar Jackson,BAL,QB,2,7,22.3,320.12,24,No,Complete
