RANK,PLAYER,POSITION,TEAM,TREND,ADP,BEST_WORST,PCT_ROSTERED
1,Ja'Marr Chase,WR,CIN,—,1.84,1/7,100.0
2,Bijan Robinson,RB,ATL,—,2.75,1/7,100.0
3,Saquon Barkley,RB,PHI,—,3.00,1/7,100.0
4,Jahmyr Gibbs,RB,DET,—,4.50,2/8,100.0
5,Justin Jefferson,WR,MIN,—,7.20,3/17,100.0
6,CeeDee Lamb,WR,DAL,—,7.88,3/16,100.0
7,Derrick Henry,RB,BAL,1,10.14,4/18,100.0
8,De'Von Achane,RB,MIA,2,10.61,5/17,100.0
9,Christian McCaffrey,RB,SF,-2,11.51,4/21,100.0
10,Malik Nabers,WR,NYG,-1,13.04,6/26,100.0
11,Ashton Jeanty,RB,LV,1,13.67,7/22,100.0
12,Amon-Ra St. Brown,WR,DET,-1,13.75,8/23,100.0
13,Puka Nacua,WR,LAR,—,14.16,7/25,100.0
14,Josh Jacobs,RB,GB,2,14.18,7/25,100.0
15,Lamar Jackson,QB,BAL,7,16.20,3/37,97.7
16,Nico Collins,WR,HOU,-2,17.71,8/33,100.0
17,Josh Allen,QB,BUF,9,18.65,2/36,97.7
18,Brian Thomas Jr.,WR,JAC,-3,18.71,10/33,100.0
19,Kyren Williams,RB,LAR,2,20.26,9/31,100.0
20,Jonathan Taylor,RB,IND,-2,22.67,9/41,100.0
21,Bucky Irving,RB,TB,4,22.74,12/32,100.0
22,Chase Brown,RB,CIN,1,24.61,15/37,100.0
23,A.J. Brown,WR,PHI,-6,24.99,15/42,100.0
24,Drake London,WR,ATL,-5,25.00,16/44,100.0
25,Brock Bowers,TE,LV,-5,25.28,14/38,100.0
26,Joe Burrow,QB,CIN,5,26.97,6/47,97.7
27,Alvin Kamara,RB,NO,9,29.67,14/48,100.0
28,Ladd McConkey,WR,LAC,-4,29.88,19/50,100.0
29,Breece Hall,RB,NYJ,3,30.72,15/43,100.0
30,Tee Higgins,WR,CIN,-2,31.04,21/43,100.0
31,James Cook,RB,BUF,-1,31.63,18/47,100.0
32,Jayden Daniels,QB,WAS,6,31.99,7/46,97.7
33,Jalen Hurts,QB,PHI,10,32.55,6/52,97.7
34,Kenneth Walker III,RB,SEA,-1,33.39,22/47,100.0
35,Tyreek Hill,WR,MIA,-8,34.58,20/51,100.0
36,Trey McBride,TE,ARI,-7,35.50,20/54,100.0
37,Davante Adams,WR,LAR,-3,35.99,23/53,100.0
38,Jaxon Smith-Njigba,WR,SEA,-3,38.39,26/55,100.0
39,George Kittle,TE,SF,—,39.64,28/57,100.0
40,Mike Evans,WR,TB,—,40.13,25/53,100.0
41,James Conner,RB,ARI,3,43.00,28/58,100.0
42,Omarion Hampton,RB,LAC,—,43.18,26/64,100.0
43,Chuba Hubbard,RB,CAR,2,44.49,34/60,100.0
44,Garrett Wilson,WR,NYJ,-7,45.28,27/71,100.0
45,Marvin Harrison Jr.,WR,ARI,-4,45.28,30/65,100.0
46,Terry McLaurin,WR,WAS,—,47.07,33/61,100.0
47,Patrick Mahomes,QB,KC,10,47.89,16/76,97.7
48,DK Metcalf,WR,PIT,-1,50.63,32/70,100.0
49,Aaron Jones,RB,MIN,5,51.29,35/74,100.0
50,Xavier Worthy,WR,KC,—,52.08,36/65,100.0
51,DJ Moore,WR,CHI,-3,53.84,41/69,100.0
52,D'Andre Swift,RB,CHI,-1,53.91,40/72,100.0
53,Courtland Sutton,WR,DEN,—,56.87,41/79,100.0
54,Joe Mixon,RB,HOU,-2,57.75,34/82,100.0
55,David Montgomery,RB,DET,4,58.08,41/80,100.0
56,TreVeyon Henderson,RB,NE,—,58.67,41/78,100.0
57,Sam LaPorta,TE,DET,3,59.11,38/85,100.0
58,Baker Mayfield,QB,TB,13,59.26,23/93,97.7
59,DeVonta Smith,WR,PHI,-1,59.95,46/72,100.0
60,RJ Harvey,RB,DEN,-5,63.92,45/99,100.0
61,Zay Flowers,WR,BAL,2,65.83,50/89,100.0
62,Travis Kelce,TE,KC,6,67.18,27/96,100.0
63,Tony Pollard,RB,TEN,4,67.34,43/87,100.0
64,George Pickens,WR,DAL,-3,67.63,51/90,100.0
65,Rashee Rice,WR,KC,-16,68.00,34/121,96.6
66,Bo Nix,QB,DEN,14,72.78,31/105,97.7
67,Brian Robinson Jr.,RB,WAS,7,73.43,48/101,100.0
68,Jameson Williams,WR,DET,-4,73.64,53/104,98.9
69,Tetairoa McMillan,WR,CAR,-4,73.68,52/110,98.9
70,Calvin Ridley,WR,TEN,2,74.16,53/98,100.0
71,Kaleb Johnson,RB,PIT,-9,75.05,54/116,100.0
72,Travis Hunter,CB,JAC,-6,76.00,48/116,100.0
73,Chris Godwin,WR,TB,-3,76.07,55/106,98.9
74,Mark Andrews,TE,BAL,4,77.40,52/109,98.9
75,Jerry Jeudy,WR,CLE,-6,78.24,50/113,100.0
76,T.J. Hockenson,TE,MIN,-1,78.58,51/129,97.7
77,Isiah Pacheco,RB,KC,-4,79.08,54/124,100.0
78,Kyler Murray,QB,ARI,6,79.92,38/125,97.7
79,Jakobi Meyers,WR,LV,-2,80.49,58/110,100.0
80,Jaylen Waddle,WR,MIA,-4,82.64,63/117,96.6
81,David Njoku,TE,CLE,1,82.84,57/138,97.7
82,Dak Prescott,QB,DAL,9,83.09,46/116,97.7
83,Deebo Samuel,WR,WAS,-4,85.11,61/116,100.0
84,Eagles,DST,PHI,23,89.69,46/129,88.5
85,Stefon Diggs,WR,NE,4,90.03,66/123,96.6
86,Cooper Kupp,WR,SEA,2,90.82,69/120,97.7
87,Jared Goff,QB,DET,22,92.86,36/145,96.6
88,Jaylen Warren,RB,PIT,-3,93.72,72/134,98.9
89,Tyrone Tracy Jr.,RB,NYG,8,94.15,70/131,98.9
90,Brock Purdy,QB,SF,22,94.59,39/142,97.7
