POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Mike White,QB,14,45.8,46.2,-,59.3,-,60.0,20,12,-,1,-,7,30.4,A,"6'5""",218,5.1,W KENTUCKY,2018,5,171
-,Shane Buechele,QB,6,-,-,-,-,-,-,-,-,-,-,-,-,27.6,A,"6'0""",210,-,SMU,2021,-,-
-,Mitch Trubisky,QB,11,50.9,49.5,55.2,-,-,60.0,107,28,19,-,-,60,31.0,A,"6'3""",220,4.7,N CAROLINA,2017,1,2
3rd of 42,Josh Allen,QB,17,91.9,84.1,93.6,-,-,60.1,1171,686,89,-,-,396,29.2,A,"6'5""",237,4.8,WYOMING,2018,1,7
-,Kaden Prather,WR,00,-,-,-,-,-,-,-,-,-,-,-,-,22.9,IR,"6'3""",210,-,MARYLAND,2025,7,242
-,Tyrell Shavers,WR,80,77.6,-,-,78.7,-,54.2,32,-,-,14,-,18,0.0,A,"6'6""",211,-,S DIEGO ST,2023,-,-
-,KJ Hamler,WR,19,-,-,-,-,-,-,-,-,-,-,-,-,26.1,A,"5'9""",178,-,PENN STATE,2020,2,46
-,Deon Cain,WR,32,-,-,-,-,-,-,-,-,-,-,-,-,29.0,A,"6'2""",202,4.4,CLEMSON,2018,6,185
-,Kristian Wilkerson,WR,82,59.9,-,-,63.3,-,36.8,45,-,-,26,-,19,0.0,A,"6'1""",201,-,SE MO ST,2020,-,-
-,Stephen Gosnell,WR,89,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'2""",198,-,VA TECH,2025,-,-
110th of 133,Elijah Moore,WR,18,58.5,-,-,58.5,65.8,47.9,893,-,-,630,1,262,25.4,A,"5'10""",180,-,OLE MISS,2021,2,34
63rd of 133,Keon Coleman,WR,0,68.3,-,-,68.8,-,62.7,722,-,-,405,-,317,22.2,A,"6'4""",215,-,FLORIDA ST,2024,2,33
-,Laviska Shenault Jr.,WR,15,53.8,-,56.6,60.3,-,46.2,52,-,1,26,-,25,26.8,A,"6'2""",220,-,COLORADO,2020,2,42
66th of 133,Joshua Palmer,WR,5,67.0,-,-,68.3,-,50.0,616,-,-,428,-,188,25.9,A,"6'2""",210,-,TENNESSEE,2021,3,78
71st of 133,Curtis Samuel,WR,1,65.5,-,52.8,65.8,-,59.3,441,-,3,274,-,164,29.0,A,"5'11""",195,4.3,OHIO STATE,2017,2,40
22nd of 133,Khalil Shakir,WR,10,78.9,-,56.6,80.1,61.6,49.1,723,-,1,497,1,224,25.5,A,"6'0""",190,-,BOISE ST,2022,5,148
-,Frank Gore Jr.,HB,20,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,"5'8""",195,-,SO MISS,2024,-,-
33rd of 59,Ray Davis,HB,22,70.4,-,73.1,61.4,23.1,59.7,286,-,124,121,11,30,25.7,A,"5'10""",216,-,KENTUCKY,2024,4,128
26th of 59,Ty Johnson,HB,26,73.3,-,78.5,73.0,31.9,47.5,400,-,62,254,31,53,27.9,A,"5'10""",210,-,MARYLAND,2019,6,186
-,Darrynton Evans,HB,21,52.1,-,54.2,59.6,-,-,4,-,3,1,-,-,27.1,IR,"5'11""",190,-,APP STATE,2020,3,93
9th of 59,James Cook,HB,4,86.2,-,88.6,85.1,59.5,30.8,583,-,269,271,14,29,25.9,A,"5'11""",190,-,GEORGIA,2022,2,63
3rd of 9,Reggie Gilliam,FB,41,61.2,-,65.6,48.8,79.7,65.7,174,-,3,31,6,134,0.0,A,"6'0""",244,-,TOLEDO,2020,-,-
-,Zach Davidson,TE,84,65.2,-,-,51.1,-,62.0,42,-,-,21,-,21,0.0,A,"6'6""",251,-,CENTRAL MISSOURI STA..,2021,5,169
-,Keleki Latu,TE,83,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'7""",244,-,WASHINGTON,2025,-,-
-,Jackson Hawes,TE,85,-,-,-,-,-,-,-,-,-,-,-,-,24.7,A,"6'5""",260,-,GA TECH,2025,5,175
14th of 74,Dalton Kincaid,TE,86,71.5,-,-,71.1,69.8,61.5,562,-,-,361,8,193,25.8,A,"6'3""",240,-,UTAH,2023,1,25
53rd of 74,Dawson Knox,TE,88,57.1,-,-,56.4,61.8,56.7,741,-,-,371,26,344,28.7,A,"6'4""",254,-,OLE MISS,2019,3,96
-,Jacob Bayer,C,61,-,-,-,-,-,-,-,-,-,-,-,-,22.6,A,"6'3""",310,-,ARK STATE,2025,-,-
