POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Joe Milton III,QB,10,95.8,94.9,72.6,-,-,60.0,61,35,8,-,-,18,25.4,A,"6'5""",235,-,TENNESSEE,2024,6,194
-,Will Grier,QB,15,-,-,-,-,-,-,-,-,-,-,-,-,30.3,A,"6'1""",220,-,W VIRGINIA,2019,3,100
30th of 42,Dak Prescott,QB,4,67.9,67.2,59.6,-,-,60.0,500,344,7,-,-,149,32.0,A,"6'2""",238,4.8,MISS STATE,2016,4,135
-,Jalen Cropper,WR,16,54.1,-,-,54.5,-,59.6,12,-,-,7,-,5,24.3,A,"5'11""",172,4.4,FRESNO ST,2023,-,-
24th of 133,George Pickens,WR,3,78.6,-,56.6,79.7,-,63.6,809,-,1,498,-,310,24.4,A,"6'3""",200,-,GEORGIA,2022,2,52
104th of 133,Jalen Brooks,WR,83,59.2,-,-,58.6,-,58.9,370,-,-,236,-,134,0.0,A,"6'1""",205,4.7,S CAROLINA,2023,7,246
-,Traeshon Holden,WR,7,-,-,-,-,-,-,-,-,-,-,-,-,24.0,A,"6'3""",205,-,OREGON,2025,-,-
-,Josh Kelly,WR,6,-,-,-,-,-,-,-,-,-,-,-,-,24.1,A,"6'1""",195,-,TEXAS TECH,2025,-,-
-,Ryan Flournoy,WR,19,63.9,-,-,62.1,-,72.3,157,-,-,104,-,53,0.0,A,"6'2""",205,-,SE MO ST,2024,6,217
52nd of 133,KaVontae Turpin,WR,9,71.2,-,67.1,70.0,-,56.7,315,-,16,216,-,83,0.0,A,"5'9""",153,-,TCU,2022,-,-
98th of 133,Jalen Tolbert,WR,1,60.7,-,-,62.8,-,38.3,890,-,-,597,-,293,26.4,A,"6'1""",195,-,S ALABAMA,2022,3,88
126th of 133,Jonathan Mingo,WR,81,49.9,-,29.2,50.6,-,63.8,460,-,2,286,-,172,24.3,A,"6'2""",220,4.5,OLE MISS,2023,2,40
26th of 133,CeeDee Lamb,WR,88,77.3,-,56.3,79.9,67.1,55.0,824,-,14,573,1,236,26.3,A,"6'2""",200,-,OKLAHOMA,2020,1,17
