"POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#"
"75th of 118,Khalen Saunders,DI,68,54.7,49.2,60.6,65.7,460,227,228,5,29.0,A,6"
"104th of 118,Tyler Lacy,DI,93,45.2,47.0,50.4,59.5,340,162,176,2,25.7,A,6"
"66th of 118,Austin Johnson,DI,69,57.5,51.3,58.3,67.2,353,166,187,0,31.2,A,6"
"-,Kelvie Rose,DI,97,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,James Carpenter,DI,99,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"105th of 118,Maason Smith,DI,94,43.7,39.7,52.1,59.7,384,142,241,1,22.8,A,6"
"-,Jayden Jefferson,DI,98,62.7,63.3,62.8,59.8,151,91,59,1,23.9,A,6"
"76th of 118,DaVon Hamilton,DI,52,54.5,54.2,50.6,66.7,626,275,349,2,26.5,A,6"
"93rd of 119,Dawuane Smoot,ED,58,56.3,53.1,60.4,71.4,386,133,246,7,30.4,A,6"
"-,Dennis Gardeck,ED,57,72.0,62.8,68.2,79.0,206,81,96,29,31.0,A,6"
"-,Yasir Abdullah,ED,56,56.6,60.9,54.2,57.0,170,55,90,25,25.3,A,6"
"-,Danny Striggow,ED,92,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,B.J. Green II,ED,95,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"78th of 119,Emmanuel Ogbah,ED,90,59.7,72.4,51.2,52.9,734,265,414,55,31.7,A,6"
"-,Jalen McLeod,ED,53,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Ethan Downs,ED,96,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Myles Cole,ED,59,34.0,38.4,44.9,45.9,135,72,58,5,25.3,A,6"
"45th of 119,Arik Armstead,ED,91,68.7,62.0,70.0,63.8,569,187,380,2,31.7,A,6"
"47th of 119,Travon Walker,ED,44,68.2,69.2,66.2,60.9,911,340,555,16,24.6,A,6"
"14th of 119,Josh Hines-Allen,ED,41,82.7,70.1,83.4,65.1,821,313,489,19,28.1,A,6"
"-,Seth Henigan,QB,19,-,-,-,-,-,-,-,-,-,-,-,-,22.4,A,6"
"-,Nick Mullens,QB,14,76.1,75.5,60.5,-,-,60.0,7,2,3,-,-,2,30.4,A,6"
"-,John Wolford,QB,18,-,-,-,-,-,-,-,-,-,-,-,-,29.8,A,6"
"19th of 42,Trevor Lawrence,QB,16,76.8,73.8,75.6,-,-,60.0,536,332,13,-,-,191,25.8,A,6"
"-,Joshua Cephus,WR,00,55.7,-,-,56.3,-,60.0,6,-,-,4,-,2,24.4,IR,6"
"-,Darius Lassiter,WR,88,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Austin Trammell,WR,81,64.9,-,-,65.0,-,53.6,33,-,-,24,-,9,0.0,A,5"
"-,Trenton Irwin,WR,83,45.5,-,-,47.9,68.9,46.1,125,-,-,78,2,45,26.7,A,6"
"-,Dorian Singer,WR,13,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"100th of 133,Parker Washington,WR,11,59.7,-,-,60.6,-,39.6,583,-,-,405,-,178,23.4,A,5"
"-,Cam Camper,WR,17,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Eli Pancol,WR,10,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Chandler Brayboy,WR,15,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Travis Hunter,WR,12,-,-,-,-,-,-,-,-,-,-,-,-,22.2,A,6"
"18th of 133,Brian Thomas Jr.,WR,7,82.0,-,62.8,83.4,-,49.7,822,-,6,553,-,263,22.8,A,6"
"69th of 133,Dyami Brown,WR,5,66.5,73.4,63.5,66.5,66.3,48.4,637,1,3,375,1,257,25.8,A,6"
"-,Kevin Harris,HB,34,-,-,-,-,-,-,-,-,-,-,-,-,24.7,A,5"
"41st of 59,Tank Bigsby,HB,4,68.1,-,74.6,36.8,25.3,59.2,351,-,170,133,23,25,23.9,A,6"
"-,Ja"
"-,LeQuint Allen,HB,36,-,-,-,-,-,-,-,-,-,-,-,-,21.0,A,6"
