player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Joel Bitonio,8670,G,CLV,17,0,8,70.2,5,24,763,100.0,100.0,97.7,4,32,3,815,815,63.8,2,16,314,100.0,100.0,96.2,21,3,340,340
Ted Karras,10855,C,CIN,17,0,7,78.0,6,15,724,100.0,100.0,98.3,1,23,2,775,775,73.9,5,6,311,100.0,100.0,97.9,12,1,338,338
Alex Cappa,66578,G,CIN,17,1,7,39.7,7,36,723,100.0,100.0,95.9,1,51,8,774,774,32.4,3,27,311,100.0,100.0,92.9,37,7,338,338
Ethan Pocic,11813,C,CLV,16,0,8,66.2,6,19,700,100.0,100.0,97.8,2,28,3,747,747,61.9,4,9,297,100.0,100.0,97.5,14,1,318,318
Terence Steele,39461,T,DAL,17,0,9,57.5,6,26,687,100.0,100.0,96.4,0,41,9,746,746,47.7,4,23,319,100.0,100.0,92.9,36,9,353,353
Coleman Shelton,39316,C,CHI,17,0,6,68.4,3,20,679,100.0,100.0,97.9,0,26,3,743,743,56.8,2,16,349,100.0,100.0,96.6,21,3,387,387
Greg Van Roten,7746,G,NYG,17,0,21,64.9,4,24,670,100.0,100.0,96.9,2,35,7,727,727,55.8,3,17,310,100.0,100.0,95.8,23,3,334,334
Charles Cross,98401,T,SEA,17,2,29,81.3,5,36,670,100.0,100.0,96.0,2,47,6,724,724,75.8,3,25,333,100.0,100.0,94.0,34,6,363,363
Laken Tomlinson,9461,G,SEA,17,2,29,66.0,8,24,670,100.0,100.0,96.7,3,38,6,724,724,52.7,7,15,333,100.0,100.0,95.5,26,4,363,363
Kolton Miller,47013,T,LV,17,2,23,82.2,6,25,665,100.0,100.0,96.6,4,38,7,716,716,80.4,2,14,307,100.0,100.0,95.8,21,5,328,328
Aaron Brewer,46014,C,MIA,17,1,17,70.2,1,11,668,100.0,100.0,98.8,5,14,2,714,714,48.8,1,7,178,100.0,100.0,97.2,9,1,191,191
Joe Tippmann,101568,C,NYJ,17,0,22,63.1,3,15,668,100.0,100.0,97.9,2,23,5,712,712,35.8,2,13,227,100.0,100.0,94.9,19,4,243,243
Creed Humphrey,59996,C,KC,17,0,16,90.6,2,5,663,100.0,100.0,99.5,0,7,0,708,708,86.3,2,2,286,100.0,100.0,99.3,4,0,314,314
