fantasyPointsRank,playerName,teamName,position,byeWeek,games,fantasyPoints,auctionValue,passComp,passAtt,passYds,passTd,passInt,passSacked,rushAtt,rushYds,rushTd,recvTargets,recvReceptions,recvYds,recvTd,fumbles,fumblesLost,twoPt,returnYds,returnTd,fgMade019,fgAtt019,fgMade2029,fgAtt2029,fgMade3039,fgAtt3039,fgMade4049,fgAtt4049,fgMade50plus,fgAtt50plus,patMade,patAtt,dstSacks,dstSafeties,dstInt,dstFumblesForced,dstFumblesRecovered,dstTd,dstReturnYds,dstReturnTd,dstPts0,dstPts16,dstPts713,dstPts1420,dstPts2127,dstPts2834,dstPts35plus,idpTacklesSolo,idpTacklesAssist,idpSacks,idpTacklesForLoss,idpPassDefended,idpInt,idpFumblesForced,idpFumblesRecovered,idpSafeties,idpTd,adp,marketValue,adpSource,teamSeasonSOS
1,Bijan Robinson,ATL,RB,5,17,326.9,57,0,0,0,0,0,0,300.3656,1349.1709,11.0762,76.7903,62.0458,422.9125,2.0474,4.7311,2.1562,0.5211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,57,adp0_2025,3.96
2,Jahmyr Gibbs,DET,RB,8,17,315.7,57,0,0,0,0,0,0,242.7024,1137.0484,11.303,84.8377,68.994,490.1121,2.81,4.0262,1.8545,0.5786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,55,adp0_2025,9.81
3,Saquon Barkley,PHI,RB,9,17,321,51,0,0,0,0,0,0,323.5768,1522.4448,12.9275,41.9436,34.0154,240.4546,1.3465,4.7429,2.1276,0.5434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,56,adp0_2025,9.18
4,Ja'Marr Chase,CIN,WR,10,17,344.4,50,0,0,0,0,0,0,2.82,16.8327,0.117,171.9332,123.166,1423.7246,11.0457,1.3658,0.7495,0.4594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,59,adp0_2025,7.42
5,Christian McCaffrey,SF,RB,14,17,299,48,0,0,0,0,0,0,242.1122,1096.6816,8.3159,75.4526,60.6341,476.7366,2.6505,3.9281,1.8013,0.4889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,43,adp0_2025,0
6,Ashton Jeanty,LV,RB,8,17,243,46,0,0,0,0,0,0,253.7913,1128.3138,8.5047,71.5292,58.3336,420.1282,2.207,4.0612,1.8571,0.4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,44,adp0_2025,2.83
7,Bucky Irving,TB,RB,9,17,244,46,0,0,0,0,0,0,257.1995,1213.7722,8.1635,65.9612,55.4735,384.2052,2.1665,4.0765,1.8603,0.5043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,38,adp0_2025,4.15
8,De'Von Achane,MIA,RB,12,17,281,45,0,0,0,0,0,0,196.0388,893.5249,6.7327,85.7194,71.4046,503.6194,3.3643,3.421,1.5912,0.4521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,38,adp0_2025,3.71
9,Derrick Henry,BAL,RB,7,17,267.6,44,0,0,0,0,0,0,298.5019,1441.0892,11.8425,32.6284,27.2336,192.3487,1.1548,4.3307,1.9381,0.4743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,43,adp0_2025,7.17
10,Justin Jefferson,MIN,WR,6,17,299.6,40,0,0,0,0,0,0,0,0,0,177.6034,114.9925,1386.9263,7.5243,0,0,0.3964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,56,adp0_2025,8.93
11,Chase Brown,CIN,RB,10,17,259,39,0,0,0,0,0,0,233.7062,1008.7282,6.8325,69.0289,56.2149,401.6182,2.3945,3.7667,1.7249,0.5427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,35,adp0_2025,7.42
12,Josh Jacobs,GB,RB,5,17,255.4,39,0,0,0,0,0,0,260.2919,1130.7127,10.8702,48.2957,39.2888,279.1234,1.1288,3.9438,1.7824,0.4597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,36,adp0_2025,8.93
13,Puka Nacua,LAR,WR,8,17,291,38,0,0,0,0,0,0,10.8348,64.7104,0.5666,157.8156,112.4073,1306.0855,6.3355,1.3583,0.7332,0.4332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,45,adp0_2025,4.78
