"POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#"
"-,Jake Hummel,LB,35,77.0,81.5,61.5,65.7,78,31,6,41,0.0,A,6"
"36th of 84,Roquan Smith,LB,0,66.8,69.7,63.4,62.6,1099,354,94,651,28.3,A,6"
"-,William Kwenkeu,LB,57,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"80th of 118,John Jenkins,DI,62,53.1,49.0,57.5,60.6,606,335,270,1,36.1,A,6"
"-,Jayson Jones,DI,69,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Brent Urban,DI,58,53.5,56.4,53.5,57.1,209,101,105,3,34.3,A,6"
"-,Aeneas Peebles,DI,93,-,-,-,-,-,-,-,-,-,-,-,-,23.9,A,6"
"-,Basil Okoye,DI,97,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"26th of 118,Travis Jones,DI,98,69.9,72.0,64.2,60.5,675,231,439,5,25.8,A,6"
"83rd of 118,Broderick Washington,DI,96,51.9,48.6,56.5,61.4,488,196,281,11,28.7,A,6"
"30th of 118,Nnamdi Madubuike,DI,92,69.1,64.3,69.4,62.6,894,270,611,13,27.7,A,6"
"-,Adedayo Odeleye,ED,94,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,CJ Ravenell,ED,91,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Kaimon Rucker,ED,56,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,6"
"-,Malik Hamm,ED,59,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"66th of 119,Tavius Robinson,ED,95,62.0,58.3,54.0,85.2,548,251,279,18,26.6,A,6"
"-,Mike Green,ED,45,-,-,-,-,-,-,-,-,-,-,-,-,22.0,A,6"
"-,Adisa Isaac,ED,50,66.2,73.0,53.8,62.0,32,8,21,3,23.8,A,6"
"23rd of 119,Kyle Van Noy,ED,53,75.8,68.4,74.7,65.3,696,183,451,62,34.4,A,6"
"107th of 119,David Ojabo,ED,90,52.9,58.6,55.7,44.3,292,77,194,21,26.2,A,6"
"31st of 119,Odafe Oweh,ED,99,71.5,64.6,74.7,69.9,683,162,486,35,26.6,A,6"
"-,Devin Leary,QB,13,-,-,-,-,-,-,-,-,-,-,-,-,25.9,A,6"
"41st of 42,Cooper Rush,QB,15,52.9,59.8,24.0,-,-,60.2,570,352,22,-,-,196,31.7,A,6"
"1st of 42,Lamar Jackson,QB,8,94.9,83.3,90.4,-,-,60.9,1207,635,116,-,-,456,28.6,A,6"
"-,Dayton Wade,WR,82,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5"
"-,Anthony Miller,WR,6,71.3,-,-,70.6,-,55.6,26,-,-,15,-,11,30.8,A,5"
"-,Malik Cunningham,WR,12,-,-,-,-,-,-,-,-,-,-,-,-,26.8,A,6"
"16th of 133,Zay Flowers,WR,4,82.1,-,68.6,83.8,-,46.5,832,-,9,500,-,323,24.9,A,5"
"-,Xavier Guillory,WR,87,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"-,Jahmal Banks,WR,86,-,-,-,-,-,-,-,-,-,-,-,-,23.9,A,6"
"-,LaJohntay Wester,WR,83,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,5"
"-,Devontez Walker,WR,81,64.7,-,-,64.6,-,57.4,60,-,-,22,-,38,24.1,A,6"
"70th of 133,Tylan Wallace,WR,16,66.2,-,-,65.8,28.9,72.4,343,-,-,148,0,195,26.2,A,5"
"26th of 133,DeAndre Hopkins,WR,10,77.8,-,-,77.0,-,58.1,582,-,-,438,-,144,33.2,A,6"
"-,Keith Kirkwood,WR,18,-,-,-,-,-,-,-,-,-,-,-,-,31.6,A,6"
"48th of 133,Rashod Bateman,WR,7,71.8,-,-,72.8,-,47.0,839,-,-,522,-,317,25.7,A,6"
"-,D"
"-,Myles Gaskin,HB,38,63.1,-,50.6,84.2,-,-,6,-,3,3,-,-,28.5,A,5"
"-,Keaton Mitchell,HB,34,50.8,-,49.8,62.3,70.4,58.7,36,-,17,9,1,9,23.6,A,5"
"14th of 59,Justice Hill,HB,43,79.5,-,81.1,69.0,52.3,52.0,467,-,62,282,64,59,27.6,A,5"
"-,Rasheen Ali,HB,26,57.0,-,64.9,28.5,78.1,60.1,29,-,10,9,2,8,24.5,A,6"
"1st of 59,Derrick Henry,HB,22,94.1,-,93.5,62.4,61.2,55.5,715,-,375,213,60,67,31.1,A,6"
"-,Lucas Scott,FB,47,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6"
"4th of 9,Patrick Ricard,FB,42,55.8,-,-,37.7,65.2,61.3,495,-,-,79,70,346,31.2,A,6"
