Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Washington,66.0,73.0,77.0,68.1,64.3,62.4
2,Detroit,65.9,67.7,68.0,67.3,64.1,66.8
3,Cleveland,65.8,64.7,55.0,67.9,63.9,69.8
4,Philadelphia,65.1,65.7,70.0,65.4,64.9,64.7
5,Dallas,64.9,63.7,75.0,66.0,63.8,67.3
6,Atlanta,63.9,67.3,77.0,64.9,62.8,64.2
7,Miami,63.6,63.0,68.0,64.8,62.7,61.8
8,Cincinnati,63.5,70.3,71.0,62.4,64.6,61.6
9,Tampa Bay,63.2,60.7,44.0,64.0,62.3,61.9
10,Houston,62.8,64.3,65.0,61.9,63.6,61.8
11,Kansas City,62.7,54.0,49.0,65.2,60.1,64.5
12,Las Vegas,62.6,63.0,48.0,60.5,64.6,59.4
13,Chicago,62.6,58.0,57.0,61.6,63.6,64.5
14,Pittsburgh,62.6,58.7,45.0,64.8,60.8,60.7
15,NY Giants,62.5,54.0,54.0,62.7,62.4,62.2
16,Minnesota,62.5,67.7,71.0,60.6,64.0,63.0
17,Baltimore,62.3,65.3,57.0,62.9,61.8,63.2
18,Indianapolis,61.2,70.7,77.0,58.9,63.3,64.4
19,Buffalo,61.2,66.3,68.0,60.9,61.5,66.3
20,LA Rams,61.1,62.0,70.0,63.0,59.4,63.8
21,Denver,60.9,58.0,42.0,61.8,60.3,59.8
22,Arizona,60.9,66.7,62.0,59.0,63.1,62.8
23,New Orleans,60.7,56.3,63.0,59.0,62.6,65.9
24,Tennessee,60.7,60.3,60.0,60.4,61.0,58.9
25,Seattle,60.6,54.7,53.0,61.0,60.1,58.5
26,New England,60.4,59.0,61.0,61.6,59.3,60.0
27,Green Bay,60.4,59.3,60.0,64.3,56.4,61.5
28,San Francisco,60.4,64.7,73.0,60.4,60.3,61.3
29,LA Chargers,59.5,67.7,54.0,57.5,61.1,65.1
30,NY Jets,59.4,60.7,62.0,61.6,57.4,61.9
31,Carolina,58.4,58.7,65.0,58.6,58.2,64.5
32,Jacksonville,58.4,62.0,68.0,58.9,58.0,65.5
