Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Detroit,4.1,4.3,4.0,4.4,3.8,3.5
2,Baltimore,3.8,4.0,3.0,3.9,3.7,3.2
3,Buffalo,3.8,3.3,4.0,4.0,3.5,3.2
4,Tampa Bay,3.4,3.7,2.0,3.3,3.5,2.3
5,Philadelphia,3.4,5.0,4.0,3.4,3.4,2.8
6,Cincinnati,3.4,2.7,1.0,3.6,3.1,2.4
7,Washington,3.3,3.3,2.0,3.3,3.2,2.3
8,Green Bay,2.9,2.0,1.0,3.0,2.9,2.8
9,Minnesota,2.7,1.3,1.0,3.3,2.2,2.3
10,Denver,2.7,3.0,1.0,3.6,1.9,2.2
11,Kansas City,2.6,3.0,3.0,2.4,2.7,2.3
12,Seattle,2.5,2.3,4.0,2.3,2.8,2.2
13,Atlanta,2.5,4.0,5.0,2.8,2.3,1.9
14,San Francisco,2.5,3.3,3.0,2.7,2.3,3.5
15,Arizona,2.5,3.3,6.0,3.1,1.8,2.1
16,Indianapolis,2.4,3.7,2.0,2.5,2.3,2.5
17,LA Rams,2.4,2.3,2.0,2.7,2.1,2.6
18,NY Jets,2.4,2.3,4.0,2.4,2.3,1.3
19,Carolina,2.4,4.3,6.0,2.4,2.3,1.4
20,LA Chargers,2.3,2.7,1.0,2.6,2.1,2.1
21,Houston,2.2,2.3,1.0,2.0,2.4,2.5
22,New Orleans,2.2,0.7,1.0,2.3,2.0,2.6
23,Pittsburgh,2.2,1.7,2.0,2.0,2.3,1.8
24,Chicago,2.1,1.7,3.0,2.0,2.1,2.2
25,Jacksonville,2.0,2.0,2.0,2.1,1.9,2.4
26,Miami,2.0,2.0,2.0,2.5,1.6,3.4
27,Dallas,1.9,1.3,1.0,1.4,2.5,3.4
28,Tennessee,1.9,2.0,1.0,1.8,2.1,1.8
29,NY Giants,1.8,2.7,1.0,1.6,2.0,1.7
30,Las Vegas,1.8,2.0,2.0,1.9,1.7,2.1
31,New England,1.8,2.0,2.0,2.0,1.6,1.6
32,Cleveland,1.7,0.7,1.0,1.8,1.7,2.4
