player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,ED,ATL,17,1,0,2,68.5,10,25,388,97.6,11.9,46,1,6.3,7,423,413,42,1,71.8,7,20,199,97.7,16.6,33,9.3,5,219,214,32
Matthew Slater,4467,WR,NE,2,0,0,19,60.0,0,0,0,50.0,,0,0,,0,2,1,0,0,,0,0,0,,,0,,0,0,0,0
Tyson Alualu,5535,DI,DET,2,0,0,11,50.0,0,0,34,100.0,0.0,0,0,0.0,0,37,37,0,0,52.1,0,0,10,100.0,0.0,0,0.0,0,11,11,0
Brandon Graham,5538,ED,PHI,17,0,0,24,78.5,2,23,211,91.4,19.0,40,1,7.8,4,255,233,29,0,90.0,2,17,99,94.1,30.3,30,13.6,4,118,111,23
Jason Pierre-Paul,5540,ED,MIA,2,0,0,17,51.3,0,0,8,100.0,0.0,0,0,0.0,0,8,8,0,0,55.3,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Kareem Jackson,5545,S,HST,10,0,0,13,62.8,0,0,1,0.3,100.0,1,4,0.0,0,290,1,0,0,,0,0,0,0.0,,0,,0,134,0,0
Jerry Hughes,5556,ED,HST,17,0,0,13,67.2,1,26,262,96.8,11.5,30,1,6.3,3,285,276,30,0,54.6,1,11,128,97.8,9.4,12,5.5,1,137,134,13
Linval Joseph,5571,DI,BUF,7,0,0,4,53.2,1,4,83,100.0,1.2,1,0,4.2,1,87,87,6,0,64.2,1,2,26,100.0,3.8,1,9.6,1,27,27,4
Al Woods,5646,DI,NYJ,6,0,0,22,53.0,1,0,63,100.0,1.6,1,0,2.4,1,66,66,2,0,53.2,1,0,29,100.0,3.4,1,1.7,0,30,30,1
Von Miller,6154,ED,BUF,12,0,0,4,48.9,3,10,164,92.7,6.1,10,1,4.0,0,193,179,13,0,50.8,3,7,100,94.7,8.0,8,5.0,0,114,108,10
Patrick Peterson,6157,CB,PIT,17,0,1,25,75.3,0,2,6,0.9,16.7,1,5,16.7,0,689,6,2,0,80.8,0,1,4,1.1,25.0,1,12.5,0,367,4,1
Cameron Jordan,6176,ED,NO,17,3,0,20,63.8,3,39,420,97.6,11.0,46,1,5.7,3,460,449,45,0,73.0,2,20,180,99.0,18.3,33,7.2,2,197,195,24
Cameron Heyward,6183,DI,PIT,11,1,0,25,64.2,1,15,259,100.0,9.3,24,0,3.9,2,275,275,18,0,66.8,0,8,129,100.0,10.9,14,4.7,2,139,139,10
Justin Houston,6222,ED,CAR,7,1,0,5,61.8,2,7,95,83.9,9.5,9,1,5.8,1,118,99,10,0,70.6,1,6,35,81.4,22.9,8,12.9,1,43,35,8
Lawrence Guy Sr.,6385,DI,NE,17,1,0,19,44.9,0,6,206,100.0,1.0,2,0,1.5,0,221,221,6,1,47.8,0,4,56,100.0,1.8,1,3.6,0,63,63,4
Nick Bellore,6515,LB,SEA,5,0,0,29,58.3,0,0,1,20.0,0.0,0,0,0.0,0,5,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Fletcher Cox,7018,DI,PHI,15,2,0,24,72.4,13,23,450,100.0,10.9,49,2,5.6,7,480,480,43,1,68.1,10,13,228,100.0,11.4,26,7.2,5,245,245,28
Bruce Irvin,7021,ED,DET,3,0,0,11,59.4,2,2,33,87.2,9.1,3,1,9.1,1,39,34,5,0,62.7,2,2,24,86.2,12.5,3,12.5,1,29,25,5
Melvin Ingram III,7024,ED,MIA,3,0,0,17,57.0,0,3,44,86.8,6.8,3,0,5.7,1,53,46,4,0,62.5,0,2,20,91.3,10.0,2,10.0,1,23,21,3
Bobby Wagner,7050,LB,SEA,17,0,0,29,75.1,2,11,75,11.6,17.3,13,1,14.0,4,696,81,17,0,74.5,1,6,48,16.2,16.7,8,13.5,3,315,51,10
Lavonte David,7060,LB,TB,15,0,1,30,70.4,0,14,77,12.9,14.3,11,3,15.6,5,628,81,19,0,70.9,0,7,31,11.5,22.6,7,17.7,2,295,34,9
Demario Davis,7079,LB,NO,17,0,1,20,73.9,3,12,75,12.1,12.0,9,1,19.3,7,645,78,22,0,68.1,1,8,53,17.9,11.3,6,16.0,4,302,54,13
Rodney McLeod,7271,S,CLV,10,0,0,8,52.5,0,1,5,2.9,0.0,0,0,10.0,0,174,5,1,0,56.6,0,1,2,2.4,0.0,0,25.0,0,84,2,1
Tashaun Gipson Sr.,7288,S,SF,16,0,1,28,54.0,0,7,14,2.2,14.3,2,4,32.1,1,682,15,8,0,47.2,0,6,8,2.4,12.5,1,37.5,0,334,8,6
Harrison Smith,7641,S,MIN,17,1,0,18,58.6,3,6,97,14.3,2.1,2,1,7.7,3,692,99,12,0,65.4,2,4,34,14.2,2.9,1,17.6,3,246,35,9
Justin Bethel,7654,CB,MIA,9,0,0,17,90.9,0,1,4,5.5,0.0,0,0,37.5,1,91,5,2,0,91.8,0,1,2,5.5,0.0,0,75.0,1,55,3,2
Johnathan Hankins,7830,DI,DAL,14,2,0,9,62.8,0,4,159,98.9,5.0,8,3,3.1,3,178,176,7,1,66.1,0,3,54,100.0,7.4,4,6.5,2,61,61,5
Tyrann Mathieu,7850,S,NO,17,1,2,20,61.5,1,4,15,2.4,0.0,0,4,16.7,0,664,16,5,0,56.5,0,4,9,2.9,0.0,0,22.2,0,313,9,4
John Jenkins,7863,DI,LV,17,2,0,23,66.7,1,13,264,100.0,6.8,18,0,3.0,1,272,272,15,0,72.0,0,9,70,100.0,15.7,11,6.4,0,73,73,9
Logan Ryan,7864,S,SF,3,0,0,28,60.0,0,0,1,1.3,0.0,0,1,0.0,0,78,1,0,0,,0,0,0,0.0,,0,,0,32,0,0
Duron Harmon,7872,S,CLV,6,0,0,8,69.4,0,1,7,4.9,0.0,0,0,21.4,1,143,7,2,0,69.6,0,0,2,3.1,0.0,0,50.0,1,65,2,1
William Gholston,7908,DI,TB,15,0,0,30,60.3,1,5,108,100.0,7.4,8,1,2.8,0,115,115,6,0,66.6,1,2,29,100.0,13.8,4,5.2,0,30,30,3
Micah Hyde,7941,S,BUF,14,1,0,4,61.4,1,2,15,3.3,0.0,0,0,10.0,0,520,17,3,0,52.9,0,0,3,2.1,0.0,0,0.0,0,242,5,0
Jordan Poyer,8000,S,BUF,16,0,0,4,52.0,1,5,35,6.5,5.7,2,2,11.4,1,635,41,7,0,59.1,1,2,13,5.9,15.4,2,19.2,1,303,18,4
Nick Williams,8006,DI,LAC,14,0,0,27,63.5,0,9,183,100.0,5.5,10,0,3.0,1,195,195,10,0,67.4,0,4,63,100.0,9.5,6,3.2,0,66,66,4
Mike Purcell,8530,DI,DEN,16,3,1,10,57.8,5,3,195,97.2,3.6,7,2,2.1,0,214,208,8,1,59.8,3,0,61,96.9,4.9,3,2.5,0,65,63,3
Jadeveon Clowney,8636,ED,BLT,17,4,0,3,81.2,10,51,451,96.8,17.5,79,2,9.0,10,498,482,71,2,86.4,7,38,245,96.4,24.1,59,11.6,6,274,264,51
