player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,DI,MIA,17,1,,,3.1,,,0,0,0,,17,63.5,82.3,89.9,66.2,85.9,28.2,0,,57.1,4,0,0,0.0,0,13,414,6,2,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,11,0,-3.0,100.0,8.7,16.0,16.0,0,0,0,0.0,24,51.6,78.6,63.9,71.9,80.1,34.0,0,5,75.0,3,0,1,87.5,1,16,184,5,1,1,0,5,8,0.3,5.0
Kareem Jackson,5545,S,BUF,1,1,8.5,50.0,93.5,28.0,14.0,0,0,0,0.0,4,65.9,67.6,90.6,57.1,60.0,80.0,0,4,0.0,0,0,0,56.3,1,29,31,0,2,2,0,4,0,0.1,4.0
Jerry Hughes,5556,ED,HST,7,0,,,5.4,,,0,0,0,,13,60.9,51.3,83.8,48.9,55.3,74.5,0,,0.0,0,0,0,0.0,0,3,56,0,1,0,0,0,0,0.0,
Von Miller,6154,ED,BUF,13,1,,,4.6,,,0,0,0,,4,68.1,82.4,40.3,83.0,62.3,59.3,0,,25.0,1,0,2,0.0,0,10,219,7,2,0,0,0,0,0.0,
Cameron Jordan,6176,ED,NO,17,2,,,2.3,,,0,0,0,,20,73.6,57.4,78.1,54.3,54.5,44.6,1,,14.3,1,0,1,0.0,0,8,349,7,4,0,0,0,0,0.0,
Nick Bellore,6515,LB,WAS,4,0,-3.5,100.0,80.0,2.0,2.0,0,0,0,0.0,32,79.8,86.2,68.6,60.0,63.2,73.2,0,2,0.0,0,0,0,79.2,2,4,5,1,1,2,0,-4,3,-1.0,-2.0
Stephon Gilmore,7016,CB,MIN,15,8,8.0,67.1,99.8,10.1,6.8,0,0,8,9.8,18,60.4,63.9,87.8,58.8,77.6,68.9,1,27,7.5,4,8,5,100.6,55,585,586,16,41,82,5,538,229,1.0,9.8
Bobby Wagner,7050,LB,WAS,17,7,5.5,68.6,83.5,19.8,13.6,0,0,3,8.6,32,68.1,89.9,67.3,91.0,90.8,87.2,0,32,3.3,1,3,2,99.6,24,517,619,13,22,35,1,259,167,0.5,10.8
Lavonte David,7060,LB,TB,17,9,4.6,86.4,80.4,7.3,6.3,0,0,4,4.5,30,59.5,68.7,85.8,65.7,75.8,45.6,1,49,17.1,12,4,2,107.5,76,583,725,23,49,88,3,723,416,1.3,9.5
