POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
12th of 74,Evan Engram,TE,1,72.5,-,-,70.2,81.2,70.3,363,-,-,253,9,101,30.9,A,6'3",240,4.4,OLE MISS,2017,1,23
64th of 74,Adam Trautman,TE,82,56.9,-,-,54.1,62.8,56.6,580,-,-,197,92,291,28.5,A,6'5",253,-,DAYTON,2020,3,105
-,Joe Michalski,C,68,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",305,-,OKLA STATE,2025,-,-
18th of 40,Luke Wattenberg,C,60,64.3,-,-,-,82.5,57.8,864,-,-,-,544,320,27.9,A,6'5",300,-,WASHINGTON,2022,5,171
-,Nick Gargiulo,G,66,-,-,-,-,-,-,-,-,-,-,-,-,25.0,IR,6'5",327,-,S CAROLINA,2024,7,257
-,Alex Palczewski,G,63,63.4,-,-,-,67.4,61.0,179,-,-,-,102,77,28.0,A,6'6",314,-,ILLINOIS,2023,-,-
-,Clay Webb,G,64,-,-,-,-,-,-,-,-,-,-,-,-,25.4,A,6'3",290,-,JVILLE ST,2025,-,-
-,Xavier Truss,G,71,-,-,-,-,-,-,-,-,-,-,-,-,24.1,A,6'7",320,-,GEORGIA,2025,-,-
-,Alex Forsyth,G,54,65.2,-,-,-,58.8,65.6,292,-,-,-,173,119,26.5,A,6'4",312,-,OREGON,2023,7,259
38th of 77,Ben Powers,G,74,64.4,-,-,-,66.5,61.4,1130,-,-,-,715,415,28.8,A,6'4",310,-,OKLAHOMA,2019,4,123
-,Will Sherman,G,78,-,-,-,-,-,-,-,-,-,-,-,-,26.2,A,6'4",300,-,COLORADO,2021,6,198
-,Calvin Throckmorton,G,76,42.3,-,-,-,62.1,43.5,3,-,-,-,1,2,29.0,A,6'5",309,-,OREGON,2020,-,-
2nd of 77,Quinn Meinerz,G,77,87.3,-,-,-,81.4,85.7,1131,-,-,-,711,420,26.7,A,6'3",320,-,WISCONSIN-WHITEWATER,2021,3,98
-,Frank Crum,T,73,59.3,-,-,-,66.2,58.2,8,-,-,-,1,7,0.0,A,6'7",315,-,WYOMING,2024,-,-
-,Marques Cox,T,70,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",318,-,KENTUCKY,2025,-,-
34th of 81,Mike McGlinchey,T,69,72.2,-,-,-,72.1,70.2,891,-,-,-,563,328,30.9,A,6'8",315,-,NOTRE DAME,2018,1,9
-,Matt Peart,T,79,67.4,-,-,52.6,69.8,62.0,190,-,-,3,98,89,28.2,A,6'7",318,-,UCONN,2020,3,99
14th of 81,Garett Bolles,T,72,80.0,-,-,-,88.2,72.8,1111,-,-,-,700,411,33.2,A,6'5",300,5.0,UTAH,2017,1,20
-,Sam Ehlinger,QB,4,-,-,-,-,-,-,-,-,-,-,-,-,26.8,A,6'1",225,-,TEXAS,2021,6,218
17th of 42,Bo Nix,QB,10,78.3,73.8,81.2,90.3,-,60.0,1129,712,43,2,-,372,25.4,A,6'2",217,-,OREGON,2024,1,12
-,Jarrett Stidham,QB,8,68.7,-,65.7,-,-,60.0,14,-,3,-,-,10,29.0,A,6'3",215,-,AUBURN,2019,4,133
-,Michael Bandy,WR,83,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",190,-,SAN DIEGO,2021,-,-
-,Kyrese Rowan,WR,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",185,-,UTAH ST,2025,-,-
