POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Shedeur Sanders,QB,12,-,-,-,-,-,-,-,-,-,-,-,-,23.5,A,6'2",215,-,COLORADO,2025,5,144
-,Dillon Gabriel,QB,5,-,-,-,-,-,-,-,-,-,-,-,-,24.6,A,6'0",200,-,OREGON,2025,3,94
26th of 42,Joe Flacco,QB,15,71.6,70.7,55.4,60.0,-,60.0,467,290,6,1,-,170,40.6,A,6'6",245,4.8,DELAWARE,2008,1,18
-,Kenny Pickett,QB,8,65.7,63.0,66.0,59.9,-,60.2,146,57,13,1,-,75,27.2,A,6'3",220,-,PITTSBURGH,2022,1,20
33rd of 42,Deshaun Watson,QB,4,63.1,63.4,57.6,-,-,60.0,415,290,10,-,-,115,29.9,APUP,6'2",223,4.7,CLEMSON,2017,1,12
-,Chase Cota,WR,38,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",205,-,OREGON,2023,-,-
-,Isaiah Bond,WR,81,-,-,-,-,-,-,-,-,-,-,-,-,21.4,A,5'11",180,-,TEXAS,2025,-,-
-,David Bell,WR,18,78.7,-,-,72.3,-,81.4,9,-,-,5,-,4,24.6,ANFI,6'1",212,-,PURDUE,2022,3,99
-,Cade McDonald,WR,31,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'11",200,-,MIAMI OH,2025,-,-
-,Keenan Johnson,WR,83,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",216,-,W KENTUCKY,2025,-,-
-,Gage Larvadain,WR,84,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'9",180,-,S CAROLINA,2025,-,-
81st of 133,Cedric Tillman,WR,19,63.6,-,56.2,65.8,70.7,39.5,432,-,1,297,5,129,25.3,A,6'3",215,4.5,TENNESSEE,2023,3,75
73rd of 133,Diontae Johnson,WR,16,65.1,-,59.2,65.3,-,58.8,413,-,2,277,-,134,29.1,A,5'10",183,-,TOLEDO,2019,3,66
-,DeAndre Carter,WR,2,53.3,-,-,56.5,73.7,29.6,137,-,-,92,2,43,32.3,A,5'8",190,-,SACRAMENTO,2015,-,-
-,Jamari Thrash,WR,80,43.0,-,-,45.7,66.2,40.1,144,-,-,97,1,46,24.6,A,6'1",185,-,LOUISVILLE,2024,5,157
38th of 133,Jerry Jeudy,WR,3,73.5,-,59.2,74.9,-,55.6,1062,-,1,761,-,300,26.3,A,6'1",193,-,ALABAMA,2020,1,15
-,Kaden Davis,WR,89,53.8,-,-,54.0,-,59.1,15,-,-,8,-,7,0.0,A,6'1",190,-,NORTHWEST MISSOURI,2022,-,-
-,Pierre Strong Jr.,HB,20,58.4,-,71.3,48.5,42.8,57.3,192,-,25,138,20,9,26.7,A,5'11",212,-,S DAK ST,2022,4,127
-,Alyamani Marshall,HB,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",225,-,APP STATE,2025,-,-
-,Trayveon Williams,HB,36,42.9,-,-,56.7,15.4,60.0,10,-,-,3,3,4,27.8,A,5'8",206,-,TEXAS A&M,2019,6,182
-,Dylan Sampson,HB,22,-,-,-,-,-,-,-,-,-,-,-,-,20.9,A,5'11",201,-,TENNESSEE,2025,4,126
-,Quinshon Judkins,HB,10,-,-,-,-,-,-,-,-,-,-,-,-,21.8,A,6'0",219,-,OHIO STATE,2025,2,36
32nd of 59,Jerome Ford,HB,34,71.2,-,80.3,59.7,45.1,57.7,527,-,109,324,76,18,25.9,A,5'10",210,-,CINCINNATI,2022,5,156
-,Mason Graham,DI,94,-,-,-,-,-,-,-,-,-,-,-,-,21.9,A,6'3",320,-,MICHIGAN,2025,1,5
-,Michael Hall Jr.,DI,51,67.7,67.8,61.6,61.0,232,65,162,5,22.1,APUP,6'2",280,-,OHIO STATE,2024,2,54
