POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
45th of 84,Mack Wilson Sr.,LB,2,63.8,68.5,61.4,56.8,760,329,159,272,27.5,A,6'1",246,-,ALABAMA,2019,5,155
-,PJ Mustipher,DI,79,-,-,-,-,-,-,-,-,-,-,-,-,25.7,A,6'4",315,5.4,PENN STATE,2023,-,-
-,Patrick Jenkins,DI,90,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",293,-,TULANE,2025,-,-
-,Kyon Barrs,DI,65,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",290,-,USC,2024,-,-
68th of 118,Dante Stills,DI,55,57.0,64.5,51.0,58.2,532,219,313,0,25.6,A,6'3",286,4.8,W VIRGINIA,2023,6,215
-,Elijah Simmons,DI,96,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",340,-,TENNESSEE,2025,-,-
-,Walter Nolen,DI,97,-,-,-,-,-,-,-,-,-,-,-,-,21.8,APUP,6'3",305,-,OLE MISS,2025,1,-
6th of 118,Calais Campbell,DI,93,82.3,85.9,66.2,63.5,616,202,401,13,38.9,A,6'8",282,5.0,MIAMI FL,2008,2,50
-,Darius Robinson,DI,56,48.4,53.4,48.4,-,184,64,120,-,23.9,A,6'5",296,-,MISSOURI,2024,1,27
32nd of 118,Dalvin Tomlinson,DI,94,67.4,64.2,64.8,60.9,609,286,316,7,31.4,A,6'3",325,5.2,ALABAMA,2017,2,55
93rd of 118,L.J. Collier,DI,91,49.2,44.1,57.4,60.1,588,260,328,0,29.9,A,6'2",291,-,TCU,2019,1,29
-,Justin Jones,DI,98,30.2,28.3,51.6,-,100,39,61,-,28.9,A,6'3",309,-,NC STATE,2018,3,84
-,Bilal Nichols,DI,92,39.6,39.8,54.1,60.0,173,88,85,0,28.9,APUP,6'4",313,5.0,DELAWARE,2018,5,145
-,Anthony Goodlow,DI,95,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",283,-,OKLA STATE,2024,-,-
-,BJ Ojulari,ED,9,-,-,-,-,-,-,-,-,-,-,-,-,23.3,APUP,6'2",248,-,LSU,2023,2,42
-,Jordan Burch,ED,52,-,-,-,-,-,-,-,-,-,-,-,-,23.8,A,6'6",295,-,OREGON,2025,3,78
-,Xavier Thomas,ED,54,39.4,53.4,54.5,27.9,208,52,129,27,25.6,A,6'2",255,-,CLEMSON,2024,5,139
36th of 119,Josh Sweat,ED,10,70.3,67.8,67.1,55.9,821,231,549,41,28.4,A,6'5",265,4.5,FLORIDA ST,2018,4,130
86th of 119,Baron Browning,ED,5,58.0,43.5,76.3,47.7,378,125,215,38,26.5,A,6'3",240,-,OHIO STATE,2021,3,105
-,Elliott Brown Jr.,ED,41,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",225,-,VIRGINIA,2025,-,-
-,Vi Jones,ED,53,71.7,69.9,58.6,67.6,55,19,2,34,0.0,A,6'3",227,-,NC STATE,2022,-,-
-,Benton Whitley,ED,49,57.9,60.0,59.1,-,2,1,1,-,0.0,A,6'3",260,-,PRINCETON,2022,-,-
31st of 119,Zaven Collins,ED,25,71.5,84.3,60.3,66.0,600,220,289,91,26.2,A,6'4",260,-,TULSA,2021,1,16
-,Clayton Tune,QB,15,45.6,61.5,43.1,-,-,60.0,31,2,7,-,-,22,26.4,A,6'2",220,4.6,HOUSTON,2023,5,141
38th of 42,Jacoby Brissett,QB,7,59.1,58.5,56.7,-,-,60.2,350,200,7,-,-,143,32.7,A,6'4",235,4.9,NC STATE,2016,3,91
11th of 42,Kyler Murray,QB,1,82.1,77.9,81.8,-,-,60.6,1065,656,40,-,-,369,28.0,A,5'10",207,-,OKLAHOMA,2019,1,1
-,Tejhaun Palmer,WR,83,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",210,-,UAB,2024,6,192
-,Andre Baccellia,WR,82,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",175,-,WASHINGTON,2020,-,-
-,Nate McCollum,WR,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'9",185,-,N CAROLINA,2025,-,-
89th of 133,Michael Wilson,WR,14,62.9,-,60.0,64.5,46.8,51.6,822,-,1,537,1,283,25.5,A,6'2",213,4.6,STANFORD,2023,3,95
-,Bryson Green,WR,30,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",213,-,WISCONSIN,2025,-,-
-,Xavier Weaver,WR,89,49.7,-,-,49.3,-,62.3,57,-,-,36,-,21,0.0,A,6'1",189,-,COLORADO,2024,-,-
-,Simi Fehoko,WR,80,56.0,-,-,56.0,-,44.8,249,-,-,136,-,113,25.6,A,6'3",220,-,STANFORD,2021,5,180
77th of 133,Greg Dortch,WR,4,63.9,-,44.4,65.2,-,54.6,432,-,4,310,-,118,27.2,A,5'7",175,-,WAKE,2019,-,-
27th of 133,Marvin Harrison Jr.,WR,18,77.7,-,-,77.2,-,64.0,865,-,-,579,-,286,23.0,A,6'4",205,-,OHIO STATE,2024,1,4
-,Zay Jones,WR,17,53.1,-,-,53.6,-,45.8,257,-,-,184,-,73,30.4,A,6'2",200,4.5,E CAROLINA,2017,2,37
-,Trishton Jackson,WR,86,57.8,-,-,57.6,-,61.2,10,-,-,2,-,8,27.4,IR,6'1",191,-,SYRACUSE,2020,-,-
-,Michael Carter,HB,22,61.8,-,61.8,60.4,69.9,59.4,132,-,36,81,11,4,26.2,A,5'8",201,-,N CAROLINA,2021,4,108
-,Emari Demercado,HB,31,70.8,-,79.0,68.6,43.9,47.7,164,-,24,100,30,10,26.5,A,5'11",215,-,TCU,2023,-,-
-,Trey Benson,HB,33,62.8,-,59.4,70.2,77.0,57.6,137,-,64,52,11,10,23.0,A,6'1",223,-,FLORIDA ST,2024,3,66
-,DeeJay Dallas,HB,20,75.8,-,72.4,61.3,67.3,91.9,55,-,10,24,12,9,26.9,A,5'10",215,-,MIAMI FL,2020,4,144
-,Zonovan Knight,HB,35,-,-,-,-,-,-,-,-,-,-,-,-,24.3,A,5'11",209,-,NC STATE,2022,-,-
5th of 59,James Conner,HB,6,90.4,-,90.6,67.3,76.9,66.6,619,-,248,284,57,30,30.3,A,6'1",233,4.7,PITTSBURGH,2017,3,105
-,Josiah Deguara,TE,47,49.4,-,-,51.4,81.2,62.2,86,-,-,32,4,50,28.5,A,6'2",238,-,CINCINNATI,2020,3,94
38th of 74,Elijah Higgins,TE,84,61.9,-,-,66.1,50.4,57.6,412,-,-,179,6,227,24.8,A,6'3",235,4.5,STANFORD,2023,6,199
-,Oscar Cardenas,TE,45,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",265,-,UTSA,2025,-,-
68th of 74,Tip Reiman,TE,87,49.3,-,-,45.7,52.8,60.5,451,-,-,114,64,273,23.9,A,6'5",265,-,ILLINOIS,2024,3,82
2nd of 74,Trey McBride,TE,85,86.8,-,63.8,89.8,70.5,63.4,934,-,1,576,8,349,25.7,A,6'3",246,-,COLO STATE,2022,2,55
-,Travis Vokolek,TE,81,48.2,-,-,-,-,52.3,12,-,-,-,-,12,27.2,A,6'6",260,-,NEBRASKA,2023,-,-
-,Jon Gaines II,C,59,63.0,-,-,60.0,62.4,61.1,22,-,-,1,1,20,25.2,A,6'4",303,5.0,UCLA,2023,4,123
6th of 40,Hjalte Froholdt,C,72,76.1,-,-,-,66.1,78.1,1078,-,-,-,658,420,29.0,A,6'5",310,-,ARKANSAS,2019,4,118
-,Donovan West,G,67,-,-,-,-,-,-,-,-,-,-,-,-,24.2,A,6'3",295,-,ARIZONA ST,2022,-,-
-,Will Hernandez,G,60,69.3,-,-,-,74.2,66.0,280,-,-,-,163,117,29.9,APUP,6'2",332,5.2,UTEP,2018,2,34
-,Hayden Conner,G,58,-,-,-,-,-,-,-,-,-,-,-,-,23.3,A,6'5",320,-,TEXAS,2025,6,213
-,Royce Newman,G,71,60.0,-,-,-,-,59.7,3,-,-,-,-,3,28.0,A,6'5",310,-,OLE MISS,2021,4,143
-,Jake Curhan,G,64,45.8,-,-,-,38.4,54.9,260,-,-,-,171,89,0.0,A,6'6",330,-,CAL,2021,-,-
52nd of 77,Isaiah Adams,G,74,58.4,-,-,-,50.3,64.7,462,-,-,-,294,168,25.4,A,6'5",315,-,ILLINOIS,2024,3,71
30th of 77,Evan Brown,G,63,65.9,-,-,-,73.5,58.7,1070,-,-,-,644,426,28.9,A,6'3",320,-,SMU,2018,-,-
-,Sincere Haynesworth,G,61,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",310,-,TULANE,2024,-,-
