POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Bailey Zappe,QB,14,41.0,43.7,57.9,-,-,60.0,53,37,1,-,-,15,26.3,A,6'1",215,-,W KENTUCKY,2022,4,137
37th of 42,Gardner Minshew,QB,17,60.7,61.7,46.1,-,-,60.2,564,370,8,-,-,186,29.6,A,6'1",225,-,WASH STATE,2019,6,178
-,Chris Oladokun,QB,19,26.2,60.0,57.9,-,-,60.0,5,2,0,-,-,3,27.9,A,6'2",195,-,S DAK ST,2022,7,242
8th of 42,Patrick Mahomes,QB,15,84.1,78.6,88.1,-,-,60.4,1277,825,29,-,-,423,29.9,A,6'2",225,4.8,TEXAS TECH,2017,1,10
-,Nikko Remigio,WR,81,76.9,-,-,75.2,-,63.9,42,-,-,26,-,17,25.8,A,5'11",187,-,FRESNO ST,2023,-,-
-,Key'Shawn Smith,WR,8,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",186,-,SMU,2025,-,-
-,Jimmy Holiday,WR,82,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",211,-,LA TECH,2025,-,-
-,Hal Presley,WR,13,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",210,-,BAYLOR,2025,-,-
-,Elijah Badger,WR,80,-,-,-,-,-,-,-,-,-,-,-,-,24.0,A,6'1",192,-,FLORIDA,2025,-,-
-,Mac Dalena,WR,84,-,-,-,-,-,-,-,-,-,-,-,-,23.8,A,5'11",180,-,FRESNO ST,2025,-,-
-,Rashee Rice,WR,4,85.1,-,64.6,85.5,-,43.7,155,-,1,99,-,55,25.3,A,6'1",204,4.5,SMU,2023,2,55
-,Jalen Royals,WR,11,-,-,-,-,-,-,-,-,-,-,-,-,22.5,A,6'0",205,-,UTAH ST,2025,4,133
101st of 133,JuJu Smith-Schuster,WR,9,59.5,-,-,60.1,77.6,55.1,513,-,-,342,5,166,28.7,A,6'1",215,4.5,USC,2017,2,62
48th of 133,Xavier Worthy,WR,1,71.8,-,65.2,71.6,-,64.1,903,-,16,655,-,232,22.3,A,6'1",172,-,TEXAS,2024,1,28
-,Marquise Brown,WR,5,65.5,-,-,64.9,-,60.7,163,-,-,122,-,41,28.2,A,5'9",180,-,OKLAHOMA,2019,1,25
-,Jason Brownlee,WR,89,-,-,-,-,-,-,-,-,-,-,-,-,26.5,A,6'2",198,4.6,SO MISS,2023,-,-
-,Tyquan Thornton,WR,2,53.5,-,-,53.0,-,59.5,111,-,-,69,-,42,25.0,A,6'2",185,-,BAYLOR,2022,2,50
-,Michael Wiley,HB,39,-,-,-,-,-,-,-,-,-,-,-,-,24.7,A,6'0",210,-,ARIZONA,2024,-,-
-,Keaontay Ingram,HB,00,-,-,-,-,-,-,-,-,-,-,-,-,25.8,IR,6'0",221,-,USC,2022,6,202
-,Brashaud Smith,HB,30,-,-,-,-,-,-,-,-,-,-,-,-,22.3,A,5'10",196,-,SMU,2025,7,230
-,Carson Steele,HB,42,52.6,-,59.0,52.5,18.0,47.9,210,-,57,89,11,53,22.8,A,6'1",225,-,UCLA,2024,-,-
21st of 59,Kareem Hunt,HB,29,74.4,-,74.9,62.0,59.8,60.6,548,-,235,258,35,20,30.0,A,5'11",216,4.6,TOLEDO,2017,3,86
-,Elijah Mitchell,HB,25,-,-,-,-,-,-,-,-,-,-,-,-,27.5,A,5'10",200,-,LA LAFAYET,2021,6,-
47th of 59,Isiah Pacheco,HB,10,63.3,-,65.2,54.6,66.9,55.6,276,-,98,141,30,7,25.4,A,5'10",216,-,RUTGERS,2022,7,252
-,Jake Briningstool,TE,88,-,-,-,-,-,-,-,-,-,-,-,-,22.7,A,6'6",240,-,CLEMSON,2025,-,-
-,Tre Watson,TE,49,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",250,-,TEXAS A&M,2025,-,-
-,Geor'Quarius Spivey,TE,45,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",240,-,MISS STATE,2024,-,-
-,Jared Wiley,TE,12,51.5,-,-,47.5,71.0,62.4,94,-,-,26,2,66,24.8,A,6'7",260,-,TCU,2024,4,132
-,Robert Tonyan,TE,85,50.8,-,-,51.2,-,56.4,15,-,-,6,-,9,31.3,A,6'5",240,-,INDIANA ST,2017,-,-
16th of 74,Noah Gray,TE,83,71.3,-,-,73.2,71.4,56.8,739,-,-,375,37,327,26.3,A,6'3",240,-,DUKE,2021,5,162
13th of 74,Travis Kelce,TE,87,71.7,-,-,72.2,53.2,59.6,1092,-,-,718,37,337,35.8,A,6'5",250,-,CINCINNATI,2013,3,63
-,Joey Lombard,C,68,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",315,-,S DAKOTA,2025,-,-
-,Hunter Nourzad,C,60,67.8,-,-,-,81.2,62.9,31,-,-,-,24,7,26.7,A,6'3",315,-,PENN STATE,2024,5,160
1st of 40,Creed Humphrey,C,52,92.4,-,-,-,91.5,90.5,1288,-,-,-,829,459,26.1,A,6'4",302,-,OKLAHOMA,2021,2,63
-,C.J. Hanson,G,61,48.6,-,-,-,1.6,73.4,31,-,-,-,24,7,24.4,A,6'6",305,-,HOLY CROSS,2024,7,249
-,Kingsley Suamataia,G,76,37.9,-,-,-,30.5,46.2,198,-,-,-,131,67,22.5,A,6'6",315,-,BYU,2024,2,63
14th of 77,Trey Smith,G,65,75.1,-,-,-,65.7,77.9,1288,-,-,-,829,459,26.1,A,6'6",321,-,TENNESSEE,2021,6,227
-,Jason Godrick,T,72,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",295,-,NO COLLEGE,2023,-,-
-,Dalton Cooper,T,73,-,-,-,-,-,-,-,-,-,-,-,-,24.4,A,6'7",315,-,OKLA STATE,2025,-,-
-,Esa Pole,T,79,-,-,-,-,-,-,-,-,-,-,-,-,24.1,A,6'7",319,-,WASH STATE,2025,-,-
71st of 81,Wanya Morris,T,64,53.0,-,-,90.2,55.4,55.2,732,-,-,1,453,278,24.8,A,6'5",307,5.1,OKLAHOMA,2023,3,93
-,Josh Simmons,T,71,-,-,-,-,-,-,-,-,-,-,-,-,22.6,A,6'5",310,-,OHIO STATE,2025,1,32
-,Ethan Driskell,T,75,58.2,-,-,58.8,-,59.7,4,-,-,1,-,3,0.0,A,6'7",329,-,MARSHALL,2024,-,-
61st of 81,Jawaan Taylor,T,74,60.1,-,-,-,69.5,57.3,1265,-,-,-,818,447,27.7,A,6'5",330,-,FLORIDA,2019,2,35
-,Jaylon Moore,T,77,74.9,-,-,59.9,73.1,70.1,271,-,-,1,158,112,28.1,A,6'4",311,-,W MICHIGAN,2021,5,155
73rd of 77,Mike Caliendo,T,66,44.8,-,-,90.1,39.3,45.6,410,-,-,1,261,148,0.0,A,6'4",301,-,W MICHIGAN,2022,-,-
-,Brandon George,LB,50,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",240,-,PITTSBURGH,2025,-,-
-,Jeffrey Bassa,LB,31,-,-,-,-,-,-,-,-,-,-,-,-,22.9,A,6'2",235,-,OREGON,2025,5,159
-,Cole Christiansen,LB,48,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",230,-,ARMY,2020,-,-
46th of 84,Nick Bolton,LB,32,63.7,65.8,50.0,65.6,1150,429,121,600,25.4,A,5'11",237,-,MISSOURI,2021,2,58
37th of 84,Drue Tranquill,LB,23,66.5,67.5,69.7,60.0,968,410,120,438,30.0,A,6'2",234,-,NOTRE DAME,2019,4,130
6th of 84,Leo Chenal,LB,54,81.6,80.1,86.3,69.6,523,238,122,163,24.8,A,6'3",250,-,WISCONSIN,2022,3,103
-,Jack Cochrane,LB,43,61.5,60.4,67.1,62.7,9,3,2,4,0.0,A,6'3",236,-,S DAKOTA,2022,-,-
112th of 118,Derrick Nnadi,DI,00,40.8,45.7,45.9,57.7,273,167,103,3,29.2,A,6'1",317,5.4,FLORIDA ST,2018,3,75
-,Fabien Lovett,DI,96,-,-,-,-,-,-,-,-,-,-,-,-,25.7,A,6'4",318,-,FLORIDA ST,2024,-,-
-,Coziah Izzard,DI,93,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",305,-,PENN STATE,2025,-,-
-,Omarr Norman-Lott,DI,55,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,6'3",315,-,TENNESSEE,2025,2,63
-,Marion Tuipulotu,DI,92,47.9,47.0,58.2,-,61,36,25,-,26.2,A,6'2",307,-,USC,2021,6,190
54th of 118,Mike Pennel,DI,69,59.4,62.4,58.0,55.1,387,208,173,6,34.2,A,6'4",332,5.2,COLORADO STATE - PUEBLO,2014,-,-
89th of 118,Jerry Tillery,DI,99,50.2,52.1,54.0,54.3,482,225,256,1,28.8,A,6'6",295,-,NOTRE DAME,2019,1,28
1st of 118,Chris Jones,DI,95,90.2,64.0,91.5,67.6,930,287,641,2,31.1,A,6'6",310,5.0,MISS STATE,2016,2,37
-,Owen Carney,ED,53,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",275,-,ILLINOIS,2022,-,-
-,Nate Matlack,ED,57,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,6'5",250,-,PITTSBURGH,2025,-,-
-,Cooper McDonald,ED,59,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",240,-,TCU,2025,-,-
-,BJ Thompson,ED,00,-,-,-,-,-,-,-,-,-,-,-,-,26.4,RNFI,6'6",243,-,STF AUSTIN,2023,5,166
70th of 119,Felix Anudike-Uzomah,ED,91,61.2,61.1,60.3,58.1,358,156,191,11,23.5,IR,6'3",255,-,KANSAS ST,2023,1,32
-,Ashton Gillotte,ED,97,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",275,-,LOUISVILLE,2025,3,66
-,Janarius Robinson,ED,98,42.6,48.2,52.3,63.4,109,36,70,3,27.3,IR,6'5",260,-,FLORIDA ST,2021,4,135
69th of 119,Charles Omenihu,ED,90,61.3,64.1,57.8,70.0,347,119,222,6,28.0,A,6'5",280,-,TEXAS,2019,5,161
82nd of 119,Mike Danna,ED,51,59.2,57.6,55.8,64.4,626,235,359,32,27.7,A,6'2",257,-,MICHIGAN,2020,5,177
-,Malik Herring,ED,94,60.2,62.1,57.7,51.4,193,93,96,4,0.0,A,6'3",275,-,GEORGIA,2021,-,-
38th of 119,George Karlaftis,ED,56,69.8,56.7,70.3,59.0,1006,328,644,34,24.3,A,6'4",263,-,PURDUE,2022,1,30
-,Ajani Carter,CB,46,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",190,-,HOUSTON,2025,-,-
-,Major Williams,CB,42,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",190,-,CARSON - NEWMAN,2025,-,-
-,Melvin Smith,CB,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",185,-,-,2025,-,-
42nd of 116,Chamarri Conner,CB,27,68.2,83.2,67.1,62.0,728,211,41,476,25.1,A,6'0",206,4.5,VA TECH,2023,4,120
-,Jacobe Covington,CB,40,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",200,-,USC,2025,-,-
-,Kevin Knowles II,CB,38,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",190,-,FLORIDA ST,2025,-,-
-,Eric Scott Jr.,CB,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'2",197,-,SO MISS,2023,6,180
-,Azizi Hearn,CB,47,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",204,-,UCLA,2023,-,-
-,Nohl Williams,CB,20,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",200,-,CAL,2025,3,85
39th of 116,Kristian Fulton,CB,8,68.9,73.1,60.0,66.6,827,325,1,501,26.9,A,5'11",197,-,LSU,2020,2,61
35th of 116,Jaylen Watson,CB,35,69.6,62.0,51.3,71.7,507,193,5,309,26.9,A,6'2",197,-,WASH STATE,2022,7,243
60th of 116,Joshua Williams,CB,2,64.3,62.0,75.9,68.3,411,126,3,282,25.8,A,6'3",193,-,FAYETVL ST,2022,4,135
3rd of 116,Trent McDuffie,CB,22,82.0,81.6,88.6,79.2,1206,433,23,750,24.9,A,5'11",193,-,WASHINGTON,2022,1,21
100th of 116,Nazeeh Johnson,CB,13,54.0,55.6,64.1,52.8,548,181,9,358,0.0,A,6'2",199,-,MARSHALL,2022,7,260
-,Deon Bush,S,26,69.5,60.8,-,67.3,10,3,-,7,32.0,IR,6'0",200,4.6,MIAMI FL,2016,4,124
-,Glendon Miller,S,25,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",205,-,MARYLAND,2025,-,-
-,Christian Roland-Wallace,S,30,62.3,72.2,61.5,61.1,197,44,20,133,0.0,A,6'0",200,-,USC,2024,-,-
-,Mike Edwards,S,34,70.1,67.3,48.7,63.3,251,71,11,169,29.2,A,5'10",205,-,KENTUCKY,2019,3,99
16th of 98,Jaden Hicks,S,21,75.1,71.5,51.2,67.7,469,166,15,288,23.0,A,6'3",212,-,WASH STATE,2024,4,133
70th of 98,Bryan Cook,S,6,59.6,77.0,55.1,51.8,1099,385,2,712,25.9,A,6'1",206,-,CINCINNATI,2022,2,62
-,Xander Mueller,LB,49,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",232,-,NWESTERN,2025,-,-
-,Cam Jones,LB,44,54.4,57.1,55.5,55.5,80,41,2,37,25.8,A,6'1",227,4.7,INDIANA,2023,-,-
