POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Jason Bean,QB,12,-,-,-,-,-,-,-,-,-,-,-,-,26.2,A,6'3",195,-,KANSAS,2024,-,-
35th of 42,Anthony Richardson,QB,5,62.2,59.8,65.1,57.6,-,60.0,620,317,66,1,-,236,23.2,A,6'4",244,4.4,FLORIDA,2023,1,4
-,Riley Leonard,QB,15,-,-,-,-,-,-,-,-,-,-,-,-,22.9,A,6'4",216,-,NOTRE DAME,2025,6,191
25th of 42,Daniel Jones,QB,17,72.0,67.5,79.0,59.9,-,60.0,674,418,63,1,-,202,28.2,A,6'5",230,-,DUKE,2019,1,6
-,Laquon Treadwell,WR,13,54.2,-,-,55.9,-,57.0,7,-,-,4,-,3,30.1,A,6'2",215,-,OLE MISS,2016,1,23
-,D.J. Montgomery,WR,2,-,-,-,-,-,-,-,-,-,-,-,-,28.7,IR,6'1",201,-,AUSTINPEAY,2019,-,-
-,Blayne Taylor,WR,4,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",215,-,ABILENE CH,2025,-,-
-,Landon Parker,WR,8,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",205,-,TROY,2025,-,-
-,Tyler Kahmann,WR,43,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,0'0",-,-,EMPORIA STATE,2025,-,-
-,Coleman Owen,WR,3,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",191,-,OHIO,2025,-,-
12th of 133,Josh Downs,WR,1,84.8,-,-,85.1,64.5,62.5,602,-,-,385,1,216,24.0,A,5'9",171,4.5,N CAROLINA,2023,3,80
-,Anthony Gould,WR,6,69.6,-,-,68.5,-,60.2,15,-,-,7,-,8,24.3,A,5'8",172,-,OREGON ST,2024,5,143
112th of 133,Adonai Mitchell,WR,10,57.9,36.4,55.4,61.4,-,43.4,383,2,3,219,-,159,22.7,A,6'4",196,-,TEXAS,2024,2,52
-,Ashton Dulin,WR,16,54.9,-,69.1,55.6,70.4,43.7,182,-,5,68,2,107,28.2,A,6'1",215,-,MALONE,2019,-,-
-,Ajou Ajou,WR,9,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",218,-,-,2025,-,-
35th of 133,Alec Pierce,WR,14,74.3,-,-,75.3,68.1,52.2,817,-,-,484,1,332,25.3,A,6'3",211,-,CINCINNATI,2022,2,53
46th of 133,Michael Pittman Jr.,WR,11,72.2,-,-,72.6,67.0,64.3,904,-,-,509,2,393,27.8,A,6'4",223,-,USC,2020,2,34
-,Nate Noel,HB,41,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",190,-,MISSOURI,2025,-,-
-,Nay'Quan Wright,HB,42,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'9",206,-,USF,2025,-,-
