POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Troy Andersen,LB,44,60.4,63.5,53.4,58.6,287,112,27,148,26.3,APUP,6'4",235,-,MONTANA ST,2022,2,58
34th of 118,Zach Harrison,DI,96,67.2,64.0,61.4,67.1,272,120,152,0,24.0,A,6'5",272,-,OHIO STATE,2023,3,76
-,Simeon Barrow Jr.,DI,91,-,-,-,-,-,-,-,-,-,-,-,-,23.2,A,6'3",290,-,MIAMI FL,2025,-,-
46th of 118,Kentavius Street,DI,83,61.5,60.4,57.4,74.5,280,118,163,1,28.4,A,6'2",287,4.9,NC STATE,2018,4,128
-,Brandon Dorlus,DI,54,63.0,66.4,53.2,-,19,11,8,-,24.4,A,6'3",290,-,OREGON,2024,4,110
-,Ruke Orhorhoro,DI,98,56.2,56.7,55.0,60.6,147,43,103,1,23.8,A,6'4",295,-,CLEMSON,2024,2,35
-,Ta'Quon Graham,DI,55,63.9,67.4,58.7,60.0,193,85,107,1,26.7,A,6'4",294,-,TEXAS,2021,5,149
38th of 118,David Onyemata,DI,90,66.2,64.5,61.3,60.0,567,249,314,4,32.7,A,6'4",300,-,MANITOBA (CANADA),2016,4,120
-,LaCale London,DI,94,-,-,-,-,-,-,-,-,-,-,-,-,28.0,A,6'5",280,-,W ILLINOIS,2020,-,-
-,Khalid Kareem,ED,92,79.1,72.7,72.3,60.4,32,18,11,3,27.3,A,6'4",268,-,NOTRE DAME,2020,5,147
-,James Pearce Jr.,ED,27,-,-,-,-,-,-,-,-,-,-,-,-,21.8,A,6'5",243,-,TENNESSEE,2025,1,26
-,JaLon Walker,ED,11,-,-,-,-,-,-,-,-,-,-,-,-,21.4,A,6'2",245,-,GEORGIA,2025,1,15
-,Bralen Trice,ED,48,-,-,-,-,-,-,-,-,-,-,-,-,24.4,A,6'4",274,-,WASHINGTON,2024,3,74
102nd of 119,Leonard Floyd,ED,56,53.9,54.4,54.5,75.4,604,224,373,7,32.9,A,6'5",240,4.6,GEORGIA,2016,1,9
