POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Bryce Perkins,QB,10,-,-,-,-,-,-,-,-,-,-,-,-,28.6,A,6'3",214,-,VIRGINIA,2020,-,-
-,Jack Plummer,QB,16,-,-,-,-,-,-,-,-,-,-,-,-,25.8,A,6'5",215,-,LOUISVILLE,2024,-,-
22nd of 42,Bryce Young,QB,9,74.4,75.1,59.5,58.9,60.9,60.0,728,477,6,1,1,243,24.0,A,5'10",204,-,ALABAMA,2023,1,1
-,Andy Dalton,QB,14,68.1,67.4,58.0,-,-,60.0,305,185,5,-,-,115,37.8,A,6'2",220,4.8,TCU,2011,2,35
43rd of 133,Jalen Coker,WR,18,72.8,68.8,-,73.8,-,43.2,430,1,-,297,-,132,0.0,A,6'3",213,-,HOLY CROSS,2024,-,-
-,Ja'seem Reed,WR,88,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",230,-,SAN DIEGO,2025,-,-
-,T.J. Luther,WR,81,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",189,-,GARD-WEBB,2023,-,-
-,Jacolby George,WR,80,-,-,-,-,-,-,-,-,-,-,-,-,22.5,A,6'0",176,-,MIAMI FL,2025,-,-
-,Kobe Hudson,WR,86,-,-,-,-,-,-,-,-,-,-,-,-,23.9,A,6'1",200,-,UCF,2025,-,-
-,Hunter Renfrow,WR,13,-,-,-,-,-,-,-,-,-,-,-,-,29.6,A,5'10",185,-,CLEMSON,2019,5,149
-,Jimmy Horn Jr.,WR,15,-,-,-,-,-,-,-,-,-,-,-,-,22.9,A,5'10",170,-,COLORADO,2025,6,210
-,Tetairoa McMillan,WR,4,-,-,-,-,-,-,-,-,-,-,-,-,22.3,A,6'5",212,-,ARIZONA,2025,1,8
30th of 133,Adam Thielen,WR,19,76.4,60.0,-,76.5,-,60.2,429,1,-,318,-,110,35.0,A,6'2",195,-,MINNESOTA STATE,2013,-,-
88th of 133,David Moore,WR,83,63.1,-,56.2,64.0,65.7,57.7,569,-,1,358,1,209,30.6,A,6'0",219,-,EAST CENT,2017,7,226
105th of 133,Xavier Legette,WR,17,59.1,-,57.3,59.1,46.2,54.3,679,-,6,439,2,232,24.5,A,6'3",227,-,S CAROLINA,2024,1,32
-,Brycen Tremayne,WR,87,59.2,-,-,54.4,-,61.3,21,-,-,12,-,9,0.0,A,6'4",212,-,STANFORD,2023,-,-
-,Kay'Ron Lynch-Adams,HB,34,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",215,-,MICH STATE,2025,-,-
-,Trevor Etienne,HB,23,-,-,-,-,-,-,-,-,-,-,-,-,21.1,A,5'9",205,-,GEORGIA,2025,4,114
-,Raheem Blackshear,HB,3,58.9,-,70.2,51.2,21.9,60.0,61,-,15,27,13,6,0.0,A,5'9",190,-,VA TECH,2022,-,-
-,Jonathon Brooks,HB,24,61.5,-,53.0,83.5,52.2,-,23,-,9,11,3,-,22.0,APUP,6'0",207,-,TEXAS,2024,2,46
22nd of 59,Rico Dowdle,HB,5,73.9,-,74.4,64.9,62.1,54.3,634,-,240,299,59,36,27.1,A,6'0",215,-,S CAROLINA,2020,-,-
-,Emani Bailey,HB,39,-,-,-,-,-,-,-,-,-,-,-,-,23.7,A,5'9",207,-,TCU,2024,-,-
19th of 59,Chuba Hubbard,HB,30,75.4,-,86.3,39.5,56.9,63.3,711,-,251,357,79,24,26.2,A,6'1",210,-,OKLA STATE,2021,4,127
-,Tyler Mabry,TE,43,60.0,-,-,-,-,58.9,4,-,-,-,-,4,0.0,IR,6'3",265,-,MARYLAND,2020,-,-
-,Bryce Pierre,TE,45,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",255,-,UCLA,2025,-,-
-,Mitchell Evans,TE,84,-,-,-,-,-,-,-,-,-,-,-,-,22.4,A,6'5",260,-,NOTRE DAME,2025,5,165
63rd of 74,Ja'Tavion Sanders,TE,0,52.5,-,-,63.8,56.3,54.8,531,-,-,334,28,169,22.4,A,6'4",243,-,TEXAS,2024,4,102
57th of 74,Tommy Tremble,TE,82,54.4,-,-,53.8,30.0,60.4,518,-,-,277,31,210,25.2,A,6'4",250,-,NOTRE DAME,2021,3,84
-,James Mitchell,TE,85,60.4,-,-,52.4,72.6,64.0,25,-,-,6,2,17,26.0,A,6'4",246,-,VA TECH,2022,5,177
-,Dominique Dafney,TE,46,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",235,-,INDIANA ST,2020,-,-
24th of 40,Brady Christensen,C,70,63.6,-,-,52.8,56.1,70.7,399,-,-,2,223,174,28.9,A,6'6",300,-,BYU,2021,3,70
-,Austin Corbett,C,63,62.2,-,-,-,64.7,59.3,291,-,-,-,187,104,29.6,A,6'4",305,5.2,NEVADA,2018,2,33
13th of 40,Cade Mays,C,64,66.1,-,-,-,74.9,66.9,495,-,-,-,327,168,26.3,A,6'6",325,-,TENNESSEE,2022,6,200
