POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Cody Lindenberg,LB,55,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",240,-,MINNESOTA,2025,7,224
-,Devin White,LB,45,57.0,58.4,37.7,62.4,176,66,14,96,27.5,A,6'0",237,-,LSU,2019,1,5
-,Tommy Eichenberg,LB,44,29.8,69.4,53.8,27.5,78,40,4,34,24.6,A,6'2",239,-,OHIO STATE,2024,5,149
8th of 84,Elandon Roberts,LB,52,79.7,91.0,66.7,49.6,525,291,49,185,31.3,A,6'1",238,-,HOUSTON,2016,6,214
96th of 118,Jonah Laulu,DI,96,47.4,47.9,49.6,63.4,474,225,244,5,0.0,A,6'5",292,-,OKLAHOMA,2024,7,235
-,Thomas Booker IV,DI,47,56.0,53.6,54.8,65.5,179,88,91,0,25.7,A,6'3",301,-,STANFORD,2022,5,150
-,Keondre Coburn,DI,75,45.1,46.4,56.7,60.0,125,74,51,0,25.2,A,6'2",332,5.2,TEXAS,2023,6,196
-,Anthony Booker Jr.,DI,73,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",348,-,SMU,2025,-,-
-,Trevon Ma'ae,DI,68,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",290,-,BAYLOR,2025,-,-
-,JJ Pegues,DI,92,-,-,-,-,-,-,-,-,-,-,-,-,23.7,A,6'2",325,-,OLE MISS,2025,6,182
-,Tonka Hemingway,DI,97,-,-,-,-,-,-,-,-,-,-,-,-,23.8,A,6'3",288,-,S CAROLINA,2025,4,135
-,Zach Carter,DI,93,47.2,51.8,48.9,60.0,263,127,136,0,26.3,A,6'4",290,-,FLORIDA,2022,3,95
-,Leki Fotu,DI,95,36.3,38.1,53.0,-,46,32,14,-,27.0,A,6'5",334,-,UTAH,2020,4,114
