Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Detroit,0.146,0.051,-0.161,0.131,0.168,0.020
2,Buffalo,0.144,0.042,-0.081,0.246,0.048,0.086
3,Philadelphia,0.142,0.283,0.122,0.152,0.130,-0.012
4,Baltimore,0.137,0.128,-0.019,0.178,0.103,0.189
5,Green Bay,0.103,-0.077,-0.219,0.118,0.094,0.053
6,Denver,0.100,0.074,-0.264,0.233,-0.005,-0.030
7,Tampa Bay,0.099,0.207,0.121,0.062,0.156,0.040
8,LA Chargers,0.086,0.068,-0.235,0.070,0.101,-0.045
9,Minnesota,0.074,-0.255,-0.403,0.177,-0.005,-0.009
10,Cincinnati,0.038,0.086,-0.025,0.007,0.065,-0.015
11,Kansas City,0.036,0.066,-0.122,0.058,0.014,0.072
12,Washington,0.025,-0.180,-0.535,0.087,-0.025,-0.153
13,Arizona,0.023,0.050,0.429,0.142,-0.107,-0.120
14,Seattle,0.019,0.069,0.181,-0.041,0.086,0.015
15,Pittsburgh,0.011,-0.145,-0.078,0.047,-0.017,-0.017
16,LA Rams,0.003,0.036,-0.145,-0.032,0.030,0.018
17,Houston,-0.002,0.059,-0.245,0.009,-0.013,0.038
18,Indianapolis,-0.022,-0.093,-0.001,0.054,-0.095,-0.003
19,New Orleans,-0.028,-0.244,-0.120,0.023,-0.083,0.048
20,Atlanta,-0.038,0.064,-0.183,-0.023,-0.056,-0.048
21,Miami,-0.041,0.104,-0.222,-0.011,-0.070,0.084
22,NY Jets,-0.044,-0.137,0.222,0.035,-0.108,-0.072
23,San Francisco,-0.045,-0.208,-0.429,0.062,-0.163,0.166
24,Jacksonville,-0.064,0.028,0.001,0.011,-0.117,-0.006
25,Chicago,-0.069,-0.097,0.060,-0.023,-0.107,-0.038
26,New England,-0.109,-0.112,0.131,-0.103,-0.115,-0.104
27,Carolina,-0.119,-0.005,0.183,-0.068,-0.165,-0.194
28,Las Vegas,-0.122,0.027,-0.056,-0.103,-0.140,0.025
29,Dallas,-0.130,-0.201,-0.165,-0.234,-0.011,0.107
30,NY Giants,-0.138,-0.021,-0.053,-0.200,-0.071,-0.121
31,Tennessee,-0.155,-0.143,-0.163,-0.108,-0.203,-0.030
32,Cleveland,-0.188,-0.341,-0.341,-0.154,-0.219,-0.062
